completeness	contamination	strain_heterogeneity	genome_size	number_scaffolds	N50	mean_scaffold_length	longest_scaffold	GC	genome	classification	phylum	class	order	family	genus	species	domain
68.19	4.27	33.33	3193273	529	6855	6036	32927	51.8	coassembly.bin.274.fa	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__GCA-002050365;s__	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	Unknown	Bacteria
73.69	2.06	0	2523890	356	8751	7089	29542	59.8	coassembly.bin.28.fa	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__;s__	Myxococcota	XYA12-FULL-58-9	XYA12-FULL-58-9	XYA12-FULL-58-9	Unknown	Unknown	Bacteria
98.11	3.85	17.39	7327209	231	65308	31719	226028	46.5	coassembly.bin.284.fa	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__;s__	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsidaceae	Unknown	Unknown	Bacteria
70.24	1.41	80	2456534	477	5594	5149	16873	63.4	coassembly.bin.287.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Unknown	Unknown	Bacteria
81.74	0.59	88.89	2247592	144	22184	15608	74834	68.3	coassembly.bin.291.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	UBA1936	Unknown	Bacteria
83.31	2.92	72.73	4472583	588	9674	7606	47413	72.3	coassembly.bin.299.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Friedmanniella	Unknown	Bacteria
82.87	5.2	87.5	4758003	477	13107	9974	52026	63.8	coassembly.bin.304.fa	d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__;s__	Armatimonadota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Unknown	Unknown	Bacteria
97.75	1.67	25	4203392	129	58455	32584	313471	43.5	coassembly.bin.315.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unknown	Bacteria
93.42	1.01	80	5693532	470	16037	12113	67050	47	coassembly.bin.324.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Unknown	Bacteria
58.64	2.68	71.43	2705410	585	4868	4624	18100	73	coassembly.bin.33.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Friedmanniella	Unknown	Bacteria
89.04	0	0	3770954	313	17165	12047	68562	75.8	coassembly.bin.330.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Quadrisphaeraceae;g__Quadrisphaera;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Quadrisphaeraceae	Quadrisphaera	Unknown	Bacteria
99.15	0	0	3472323	39	183409	89033	386598	72.5	coassembly.bin.334.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Unknown	Unknown	Bacteria
83.84	2.32	83.33	4059397	425	12106	9551	49671	69.9	coassembly.bin.34.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
73.61	5.38	75	3583304	333	13997	10760	46583	61.8	coassembly.bin.341.fa	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__	Armatimonadota	Armatimonadia	Armatimonadales	Capsulimonadaceae	Unknown	Unknown	Bacteria
67.06	5.74	18.18	2585803	540	4987	4788	23374	66.9	coassembly.bin.35.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Subtercola;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Subtercola	Unknown	Bacteria
88.1	2.89	50	3324852	277	18569	12003	63535	41.2	coassembly.bin.352.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	HMF7410	Unknown	Bacteria
80.03	3.84	57.89	2463975	225	17347	10951	67764	69.8	coassembly.bin.356.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
88.61	4.67	56.52	4793342	660	8857	7262	44506	64.5	coassembly.bin.357.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Unknown	Bacteria
86.35	6.09	39.29	4695000	533	12103	8808	55923	62.5	coassembly.bin.363.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
84.17	6.19	65	2222793	338	8323	6576	28492	64.5	coassembly.bin.372.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	UBA1936	Unknown	Bacteria
92.08	3.92	30.77	5816390	356	24083	16338	115118	74.7	coassembly.bin.374.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CADCTP01;g__CADCTP01;s__	Actinobacteriota	Actinomycetia	Mycobacteriales	CADCTP01	CADCTP01	Unknown	Bacteria
85.42	0.59	66.67	3084912	288	15673	10711	91112	67.8	coassembly.bin.377.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Unknown	Bacteria
92.87	7.52	23.53	3783734	145	52191	26094	216756	68.8	coassembly.bin.385.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
87.09	0.9	14.29	2674991	390	8515	6858	37335	70.4	coassembly.bin.53.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unknown	Bacteria
65.67	5.17	100	2591537	604	4371	4290	14637	66.5	coassembly.bin.63.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Unknown	Bacteria
71.21	4.38	45.45	3592946	661	5928	5435	25912	72.6	coassembly.bin.66.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Unknown	Bacteria
89.04	5.99	20	4210161	634	7854	6640	43970	67	coassembly.bin.70.fa	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	SCSIO-52915	Unknown	Bacteria
92.59	6.42	36.11	7176731	606	22643	11842	126857	60.4	coassembly.bin.73.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
65.51	9.72	20	5992682	1170	5280	5121	160784	69.5	coassembly.bin.80.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus	Unknown	Bacteria
84.89	2.68	4.55	4946902	738	7959	6703	29264	70.4	coassembly.bin.86.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineococcaceae;g__Kineococcus;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Kineococcaceae	Kineococcus	Unknown	Bacteria
79.66	1.72	100	3486284	173	34819	20151	105700	67.9	coassembly.bin.88.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae;g__Hansschlegelia;s__	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylopilaceae	Hansschlegelia	Unknown	Bacteria
61.82	8.77	78.43	2832436	559	5451	5066	36311	70.1	GTX0465.bin.15.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
71.55	1.72	0	4960437	353	19456	14052	67878	63.1	GTX0465.bin.32.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
87.48	1.37	80	3826392	506	9756	7562	39062	69.8	GTX0465.bin.6.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
73.87	0.84	22.22	3401273	602	6129	5649	21039	45.7	GTX0466.bin.17.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Unknown	Bacteria
63.8	7.8	62.16	2087728	478	4412	4367	20297	68.5	GTX0466.bin.23.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia_A;s__Leifsonia_A sp004801905	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leifsonia_A	Leifsonia_A sp004801905	Bacteria
91.83	5.65	0	8346304	52	355888	160505	484135	65.9	GTX0466.bin.25.fa	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__PMG-095;s__	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	PMG-095	Unknown	Bacteria
55.42	0	0	601848	133	4812	4525	13990	35.8	GTX0466.bin.27.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Unknown	Unknown	Bacteria
67.24	0	0	2489479	410	6814	6071	27329	41.9	GTX0466.bin.31.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	HMF7410	Unknown	Bacteria
89.74	0.26	0	3941867	213	28612	18506	118623	70.4	GTX0466.bin.44.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__RP-AC37;f__Motilibacteraceae;g__Motilibacter;s__	Actinobacteriota	Actinomycetia	RP-AC37	Motilibacteraceae	Motilibacter	Unknown	Bacteria
84.84	5.11	0	8657775	1165	9122	7431	75754	69.7	GTX0466.bin.47.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1161;f__UBA1161;g__;s__	Planctomycetota	Phycisphaerae	UBA1161	UBA1161	Unknown	Unknown	Bacteria
84.88	4.07	83.33	3535148	290	16530	12190	65331	65.7	GTX0466.bin.55.fa	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Unknown	Bacteria
94.72	7.63	94.74	4037988	260	20843	15530	80260	41.9	GTX0466.bin.56.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	HMF7410	Unknown	Bacteria
76.55	2.31	40	2896482	335	11185	8646	40015	68.2	GTX0466.bin.6.fa	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Unknown	Bacteria
72.39	2.57	66.67	2444245	426	6568	5737	28993	64.6	GTX0466.bin.67.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xylophilus;s__	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Xylophilus	Unknown	Bacteria
74.74	1.79	0	3773236	734	5592	5140	24354	73.3	GTX0466.bin.69.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__SEOHO-28;s__	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	SEOHO-28	Unknown	Bacteria
68.31	0	0	2748676	433	7130	6347	32950	61.9	GTX0466.bin.7.fa	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__	Armatimonadota	Armatimonadia	Armatimonadales	Capsulimonadaceae	Unknown	Unknown	Bacteria
82.08	6.67	61.9	4975890	701	8535	7098	41606	70	GTX0466.bin.71.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
97.13	0.67	0	3969347	149	41983	26639	211326	71.8	GTX0466.bin.74.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Unknown	Bacteria
98.51	1.24	33.33	3950272	55	109324	71823	366784	51.6	GTX0466.bin.75.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__46-32;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	Unknown	Bacteria
63.21	0	0	546415	65	10217	8406	32880	54.7	GTX0466.bin.79.fa	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Unknown	Unknown	Bacteria
95.44	6.82	17.39	4246426	301	22474	14107	67868	72.2	GTX0466.bin.81.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Friedmanniella	Unknown	Bacteria
