full	id	new_name	source
DQ247793.1 Glomerobolus gelineus isolate AFTOL-ID 1349 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ247793.1	DQ247793.1 Glomerobolus gelineus	literature
ON492049.1 Glyphis atrofusca isolate P14630 DNA-directed RNA polymerase II subunit (RPB2) gene, partial cds	ON492049.1	ON492049.1 Glyphis atrofusca	literature
ON492048.1 Allographa consanguinea isolate P14629 DNA-directed RNA polymerase II subunit (RPB2) gene, partial cds	ON492048.1	ON492048.1 Allographa consanguinea	literature
ON492044.1 Fissurina sp. 3 IM-2023 isolate P14178 DNA-directed RNA polymerase II subunit (RPB2) gene, partial cds	ON492044.1	ON492044.1 Fissurina sp.	literature
ON492045.1 Diploschistes sp. 1 IDM-2022 isolate P14430 DNA-directed RNA polymerase II subunit (RPB2) gene, partial cds	ON492045.1	ON492045.1 Diploschistes sp.	literature
ON807609.1 Ebollia kunmingensis voucher HKAS:124175 RNA polymerase II second largest subunit (RPB2) gene, partial cds	ON807609.1	ON807609.1 Ebollia kunmingensis	literature
ON807608.1 Ostropomyces thailandicus voucher MFLU:21-0116 RNA polymerase II second largest subunit (RPB2) gene, partial cds	ON807608.1	ON807608.1 Ostropomyces thailandicus	literature
MT832000.1 Thelopsis corticola voucher Sanderson 2202 (BM) RNA polymerase II second largest subunit (RPB2) gene, partial cds	MT832000.1	MT832000.1 Thelopsis corticola	literature
JX420946.1 Chapsa aff. laceratula Luecking 24009 bio-material DNA5638 RNA polymerase II second largest subunit (RPB2) gene, partial cds	JX420946.1	JX420946.1 Chapsa aff.	literature
JX420925.1 Ocellularia allosporoides bio-material DNA4736 RNA polymerase II second largest subunit (RPB2) gene, partial cds	JX420925.1	JX420925.1 Ocellularia allosporoides	literature
JX420907.1 Melanotrema lynceodes bio-material DNA4154 RNA polymerase II second largest subunit (RPB2) gene, partial cds	JX420907.1	JX420907.1 Melanotrema lynceodes	literature
JX420863.1 Chroodiscus parvisporus bio-material DNA2680 RNA polymerase II second largest subunit (RPB2) gene, partial cds	JX420863.1	JX420863.1 Chroodiscus parvisporus	literature
KX999147.1 Cyanodermella oleoligni strain DTO 301-G1 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KX999147.1	KX999147.1 Cyanodermella oleoligni	literature
HM244815.1 Stictis confusa voucher Wedin 7105 (UPS) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244815.1	HM244815.1 Stictis confusa	literature
HM244814.1 Stictis brunnescens voucher Wedin 7651 (UPS) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244814.1	HM244814.1 Stictis brunnescens	literature
HM244798.1 Gyalidea praetermissa voucher Svensson 949 (herb. Svensson) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244798.1	HM244798.1 Gyalidea praetermissa	literature
HM244791.1 Cryptodiscus rhopaloides voucher Laessoe 12881 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244791.1	HM244791.1 Cryptodiscus rhopaloides	literature
HM244789.1 Cryptodiscus pallidus voucher Baloch & Wedin SW174 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244789.1	HM244789.1 Cryptodiscus pallidus	literature
HM244788.1 Cryptodiscus gloeocapsa voucher Tibell 23543 (UPS) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244788.1	HM244788.1 Cryptodiscus gloeocapsa	literature
HM244786.1 Coenogonium pineti voucher Thor 19164 (UPS) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244786.1	HM244786.1 Coenogonium pineti	literature
KR017521.1 Xylographa pallens isolate T1133 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KR017521.1	KR017521.1 Xylographa pallens	literature
KR017496.1 Schizoxylon albescens isolate L547 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KR017496.1	KR017496.1 Schizoxylon albescens	literature
LC322059.1 Huriopsis xanthophaea RPB2 gene for RNA polymerase II second largest subunit, partial cds, specimen_voucher: CBM: Watanuki L01491	LC322059.1	LC322059.1 Huriopsis xanthophaea	literature
LC322058.1 Pyxine subcinerea RPB2 gene for RNA polymerase II second largest subunit, partial cds, specimen_voucher: APUL: Yamamoto 18042802	LC322058.1	LC322058.1 Pyxine subcinerea	literature
LC322051.1 Dirinaria sp. RPB2 gene for RNA polymerase II second largest subunit, partial cds, specimen_voucher: CBM: Izumu 1510	LC322051.1	LC322051.1 Dirinaria sp.	literature
LC322043.1 Calicium chlorosporum RPB2 gene for RNA polymerase II second largest subunit, partial cds, specimen_voucher: APUL: Yamamoto 24031674	LC322043.1	LC322043.1 Calicium chlorosporum	literature
LC322040.1 Buellia subnexa RPB2 gene for RNA polymerase II second largest subunit, partial cds, specimen_voucher: CBM: Watanuki L01037	LC322040.1	LC322040.1 Buellia subnexa	literature
OQ867277.1 Culbersonia nubila voucher v.d. Boom 54629 (herb. v.d. Boom) DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	OQ867277.1	OQ867277.1 Culbersonia nubila	literature
MT610735.1 Pseudothelomma occidentale voucher Fryday 10069 (MSC) RNA polymerase II second largest subunit (RPB2) gene, partial cds	MT610735.1	MT610735.1 Pseudothelomma occidentale	literature
MT610733.1 Burrowsia cataractae voucher Fryday 11591 (PRE) RNA polymerase II second largest subunit (RPB2) gene, partial cds	MT610733.1	MT610733.1 Burrowsia cataractae	literature
DQ973086.1 Tholurna dissimilis isolate AFTOL-ID 1695 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ973086.1	DQ973086.1 Tholurna dissimilis	literature
DQ912394.1 Rinodina tephraspis isolate AFTOL-ID 1314 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ912394.1	DQ912394.1 Rinodina tephraspis	literature
DQ912393.1 Physconia muscigena isolate AFTOL-ID 220 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ912393.1	DQ912393.1 Physconia muscigena	literature
DQ912392.1 Phaeophyscia orbicularis isolate AFTOL-ID 1308 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ912392.1	DQ912392.1 Phaeophyscia orbicularis	literature
JQ301788.1 Physcia dubia isolate Gaya 81 RNA polymerase II second largest subunit (RPB2) gene, partial cds	JQ301788.1	JQ301788.1 Physcia dubia	literature
DQ992419.1 Candelaria concolor isolate AFTOL 1706 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992419.1	DQ992419.1 Candelaria concolor	literature
MH468793.1 Pycnora sorophora RNA polymerase II second largest subunit (RPB2) gene, partial cds	MH468793.1	MH468793.1 Pycnora sorophora	literature
DQ992427.1 Candelariella terrigena isolate AFTOL 227 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992427.1	DQ992427.1 Candelariella terrigena	literature
DQ912380.1 Candelariella reflexa isolate AFTOL-ID 1271 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ912380.1	DQ912380.1 Candelariella reflexa	literature
KJ766967.1 Candelariella placodizans isolate AFTOL-ID 1367 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KJ766967.1	KJ766967.1 Candelariella placodizans	literature
KJ766950.1 Candelina submexicana isolate AFTOL-ID 4371 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KJ766950.1	KJ766950.1 Candelina submexicana	literature
KF862712.1 Chaenotheca xyloxena RNA polymerase II (RPB2) gene, partial cds	KF862712.1	KF862712.1 Chaenotheca xyloxena	literature
KF158006.1 Sclerophora sanguinea strain CBS 100924 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	KF158006.1	KF158006.1 Sclerophora sanguinea	literature
MW401765.1 Watsoniomyces obsoletus voucher POWELL 4724 DNA-directed RNA polymerase II second largest subunit (RPB2) gene, partial cds	MW401765.1	MW401765.1 Watsoniomyces obsoletus	literature
OQ110707.1 Lichina intermedia isolate s1552_hap26 RNA polymerase II second largest subunit (RPB2) gene, partial cds	OQ110707.1	OQ110707.1 Lichina intermedia	literature
OP348229.1 Peltula confusa voucher HMAS-L_154709 RNA polymerase II second largest subunit (RPB2) gene, partial cds	OP348229.1	OP348229.1 Peltula confusa	literature
DQ832328.1 Lichinella iodopulchra isolate AFTOL-ID 896 second largest RNA polymerase II (RPB2) gene, partial cds	DQ832328.1	DQ832328.1 Lichinella iodopulchra	literature
LC513885.1 Sarea resinae AH1164 rpb2 gene for DNA-directed RNA polymerase II subunit 2, partial cds	LC513885.1	LC513885.1 Sarea resinae	literature
LC513882.1 Sarea difformis AH1309 rpb2 gene for DNA-directed RNA polymerase II subunit 2, partial cds	LC513882.1	LC513882.1 Sarea difformis	literature
OP082177.1 Aspergillus niger strain IHEM 9709 RNA polymerase II second largest subunit (RPB2) gene, partial cds	OP082177.1	OP082177.1 Aspergillus niger	literature
GTX0486b100 rpb2 reverse complement	GTX0486b10	GTX0486_487.bin.100	Xanthoria metagenomes
cob378 rpb2 reverse complement	cob378	coassembly.bin.378	Xanthoria metagenomes
cob376 rpb2	cob376	coassembly.bin.376	Xanthoria metagenomes
