Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.26	root (UID1)	5656	56	24	0.00	0.00	0.00	1294318	0	26	26	62570	62570	49781	49781	99341	99341	43.1	0.68	54.98	11	2115	56	0	0	0	0	0
bin.27	root (UID1)	5656	56	24	0.00	0.00	0.00	226233	0	4	4	167940	167940	56558	56558	167940	167940	33.4	0.61	27.98	11	196	56	0	0	0	0	0
bin.28	root (UID1)	5656	56	24	0.00	0.00	0.00	352448	0	44	44	10024	10024	8010	8010	39099	39099	63.7	1.41	83.46	11	452	56	0	0	0	0	0
bin.29	k__Bacteria (UID1452)	924	161	108	79.84	2.31	100.00	3650445	0	228	228	24287	24287	16010	16010	91833	91833	56.6	1.57	89.38	11	3336	45	113	3	0	0	0
bin.3	k__Bacteria (UID1453)	901	171	117	6.75	0.00	0.00	230579	0	11	11	30604	30604	20961	20961	55473	55473	33.6	1.07	42.66	11	168	141	30	0	0	0	0
bin.30	root (UID1)	5656	56	24	0.00	0.00	0.00	203207	0	30	30	7236	7236	6773	6773	15735	15735	50.6	1.25	59.96	11	277	56	0	0	0	0	0
bin.31	o__Rhodospirillales (UID3754)	63	336	201	97.14	1.74	14.29	5808279	0	196	196	54248	54248	29634	29634	249284	249284	69.7	1.83	89.72	11	5836	42	289	4	1	0	0
bin.32	root (UID1)	5656	56	24	0.00	0.00	0.00	259412	0	2	2	230415	230415	129706	129706	230415	230415	44.4	1.06	88.43	11	222	56	0	0	0	0	0
bin.33	k__Archaea (UID2)	207	149	107	49.78	19.78	1.35	67503976	0	3521	3521	28337	28337	19171	19171	161640	161640	50.6	1.29	64.42	11	142536	65	53	20	9	1	1
bin.34	root (UID1)	5656	56	24	0.00	0.00	0.00	1545575	0	90	90	25595	25595	17173	17173	85240	85240	29.2	2.80	5.48	11	490	56	0	0	0	0	0
bin.35	o__Rhizobiales (UID3447)	356	414	248	51.41	0.20	0.00	2240142	0	516	516	4448	4448	4341	4341	16157	16157	68.4	2.50	89.24	11	2556	211	202	1	0	0	0
bin.36	k__Bacteria (UID3187)	2258	188	117	97.44	5.98	0.00	5799771	0	130	130	106754	106754	44613	44613	374782	374782	50.8	1.52	88.65	11	5326	3	177	6	2	0	0
bin.37	k__Bacteria (UID203)	5449	104	58	63.10	3.45	100.00	4722732	0	423	423	15677	15677	11164	11164	78547	78547	72.7	2.26	89.18	11	4875	58	44	2	0	0	0
bin.38	k__Bacteria (UID203)	5449	103	57	97.93	84.18	23.81	6033802	0	694	694	11365	11365	8694	8694	67278	67278	68.7	2.02	90.00	11	6189	3	20	78	2	0	0
bin.39	o__Rhizobiales (UID3654)	92	481	319	93.19	3.29	36.36	4928022	0	589	589	10443	10443	8366	8366	44380	44380	69.9	1.90	86.31	11	5096	56	414	11	0	0	0
bin.4	k__Bacteria (UID203)	5449	104	58	20.69	0.00	0.00	1149331	0	314	314	3632	3632	3660	3660	8936	8936	47.0	2.19	90.29	11	1320	90	14	0	0	0	0
bin.40	o__Actinomycetales (UID1802)	274	385	212	94.94	6.05	5.00	3704303	0	271	271	20668	20668	13669	13669	63905	63905	74.0	1.33	91.35	11	3862	14	351	20	0	0	0
bin.41	root (UID1)	5656	56	24	0.00	0.00	0.00	290262	0	5	5	66392	66392	58052	58052	79105	79105	45.4	0.68	59.72	11	422	56	0	0	0	0	0
bin.42	k__Bacteria (UID203)	5449	104	58	99.22	201.09	25.45	12704149	0	2208	2208	6404	6404	5753	5753	136502	136502	68.4	2.35	90.93	11	14346	5	20	25	23	21	10
bin.43	root (UID1)	5656	56	24	0.00	0.00	0.00	6187734	0	506	506	20973	20973	12228	12228	132423	132423	29.1	3.84	5.00	11	1753	56	0	0	0	0	0
bin.44	o__Actinomycetales (UID1697)	387	330	193	72.36	25.82	10.26	4617209	0	1057	1057	4489	4489	4368	4368	17554	17554	70.7	2.42	90.09	11	5354	105	149	75	1	0	0
bin.45	o__Actinomycetales (UID2012)	35	495	282	66.99	24.53	11.02	4811420	0	1324	1324	3512	3512	3634	3634	14747	14747	73.7	2.00	91.36	11	5759	160	235	91	9	0	0
bin.46	k__Bacteria (UID203)	5449	104	58	85.03	82.01	72.00	7258610	0	628	628	15653	15653	11558	11558	114197	114197	68.8	1.77	89.41	11	7617	34	17	42	11	0	0
bin.47	root (UID1)	5656	56	24	0.00	0.00	0.00	281507	0	5	5	49579	49579	56301	56301	75539	75539	45.3	0.44	59.88	11	463	56	0	0	0	0	0
bin.48	root (UID1)	5656	56	24	100.00	143.60	24.43	6985748	0	426	426	28604	28604	16398	16398	228986	228986	69.4	1.93	90.04	11	7262	0	1	17	38	0	0
bin.5	p__Actinobacteria (UID1454)	732	196	114	16.97	0.00	0.00	387534	0	118	118	3139	3139	3284	3284	7679	7679	67.3	1.42	91.29	11	508	152	44	0	0	0	0
bin.6	k__Bacteria (UID203)	5449	103	57	10.53	0.00	0.00	649490	0	186	186	3337	3337	3491	3491	10722	10722	68.1	1.94	92.17	11	741	97	6	0	0	0	0
bin.7	o__Cytophagales (UID2936)	47	454	336	92.60	1.93	87.50	3960916	0	374	374	13402	13402	10590	10590	61265	61265	63.3	2.39	87.40	11	3707	54	392	8	0	0	0
bin.8	k__Bacteria (UID2565)	2921	143	88	38.72	2.08	0.00	2092130	0	499	499	4310	4310	4192	4192	15112	15112	68.9	2.04	88.41	11	2326	81	59	3	0	0	0
bin.9	p__Bacteroidetes (UID2591)	364	302	203	61.03	0.00	0.00	2513133	0	15	15	369193	369193	167542	167542	588879	588879	47.5	0.67	85.90	11	2213	126	176	0	0	0	0
