bin	completeness	contamination	ncbi_lng
bin.312.fa	19.48	5.19	1-131567-2759-2698737-33630-5878-431838-6020-31277-37093-291294
bin.354.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058181-2058184
bin.20.fa	1.2	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546
bin.376.fa	87.22	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.10.fa	93.23	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546
bin.182.fa	23.0	8.6	1-131567-2759-554915-555280-1485168-555407-33677
bin.108.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651-89043
bin.174.fa	7.39	0.0	1-131567-2759-33154-4751-112252-6029-6032-27974
bin.34.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058181-2058184
bin.60.fa	37.97	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395
bin.233.fa	18.4	5.0	1-131567-2759-2698737-33634-2696291-5747-425074-425072
bin.256.fa	14.46	3.61	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.124.fa	4.82	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.285.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.273.fa	5.26	0.0	1-131567-2759-2698737-33634-2696291-2825-96792
bin.165.fa	18.65	4.59	1-131567-2759-2698737-33630-2497438-27997-27998-27999
bin.379.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.217.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.28.fa	9.64	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.142.fa	96.62	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395
bin.381.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-569578
bin.167.fa	16.8	4.4	1-131567-2759-554915-2605435
bin.40.fa	0.53	0.0	1-131567-2759-2698737-33630-5878-431838-33829-5934-33831-100127
bin.315.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.79.fa	18.6	7.6	1-131567-2759-554915-555280-1485168-555407-33677
