Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.21	k__Bacteria (UID203)	5449	104	58	32.18	11.75	0.00	21448810	0	999	999	35481	35481	21470	21470	173195	173195	52.1	1.24	84.12	4	30439	53	27	14	10	0	0
bin.22	k__Bacteria (UID203)	5449	102	58	6.90	0.00	0.00	231664	0	68	68	3311	3311	3406	3406	7179	7179	62.7	1.40	91.44	11	278	98	4	0	0	0	0
bin.23	k__Bacteria (UID203)	5449	103	57	63.80	0.00	0.00	4338035	0	152	152	43901	43901	28539	28539	111978	111978	69.9	1.40	85.95	11	4256	53	50	0	0	0	0
bin.24	k__Bacteria (UID203)	5449	104	58	1.72	0.00	0.00	370399	0	82	82	4703	4703	4517	4517	16982	16982	72.0	1.94	91.88	11	532	103	1	0	0	0	0
bin.25	o__Actinomycetales (UID1593)	69	400	198	94.79	4.19	25.00	2761866	0	250	250	14422	14422	11047	11047	47303	47303	73.2	1.69	89.19	11	2754	16	374	9	1	0	0
bin.26	k__Bacteria (UID203)	5449	104	58	26.97	0.00	0.00	1937523	0	522	522	3637	3637	3711	3711	17476	17476	68.0	1.85	91.27	11	2305	78	26	0	0	0	0
bin.27	root (UID1)	5656	56	24	8.33	0.00	0.00	1623813	0	416	416	3840	3840	3903	3903	12952	12952	71.1	2.19	92.51	11	1882	54	2	0	0	0	0
bin.28	root (UID1)	5656	56	24	0.00	0.00	0.00	300769	0	40	40	8163	8163	7519	7519	26334	26334	51.6	1.02	78.27	4	340	56	0	0	0	0	0
bin.29	root (UID1)	5656	56	24	0.00	0.00	0.00	202647	0	29	29	10650	10650	6987	6987	19856	19856	66.5	1.76	84.35	11	268	56	0	0	0	0	0
bin.3	k__Bacteria (UID1453)	901	171	117	6.65	0.00	0.00	230046	0	11	11	33050	33050	20913	20913	48035	48035	34.3	0.98	39.74	11	126	142	29	0	0	0	0
bin.30	root (UID1)	5656	56	24	0.00	0.00	0.00	311652	0	12	12	31973	31973	25971	25971	76288	76288	49.8	0.33	41.44	11	364	56	0	0	0	0	0
bin.31	root (UID1)	5656	56	24	0.00	0.00	0.00	201660	0	16	16	18104	18104	12603	12603	46520	46520	50.8	0.98	59.87	11	236	56	0	0	0	0	0
bin.32	k__Bacteria (UID203)	5449	104	58	71.55	1.72	0.00	4960437	0	353	353	19456	19456	14052	14052	67878	67878	63.1	2.30	83.52	11	4496	57	46	1	0	0	0
bin.33	k__Bacteria (UID203)	5449	104	58	34.48	11.21	62.50	5582602	0	1357	1357	4084	4084	4113	4113	28133	28133	61.8	2.24	88.12	11	5753	80	16	8	0	0	0
bin.34	k__Bacteria (UID1452)	924	161	108	18.39	0.00	0.00	640982	0	189	189	3280	3280	3391	3391	8892	8892	67.1	1.78	91.87	11	801	129	32	0	0	0	0
bin.4	root (UID1)	5656	56	24	0.00	0.00	0.00	545267	0	17	17	54341	54341	32074	32074	113693	113693	50.1	0.68	38.63	11	755	56	0	0	0	0	0
bin.5	k__Bacteria (UID203)	5449	103	57	1.17	0.00	0.00	344544	0	55	55	7064	7064	6264	6264	42625	42625	65.4	1.34	84.07	11	404	101	2	0	0	0	0
bin.6	o__Rhodospirillales (UID3754)	63	336	201	87.48	1.37	80.00	3826392	0	506	506	9756	9756	7562	7562	39062	39062	69.8	2.06	92.06	11	4076	71	260	5	0	0	0
bin.7	k__Bacteria (UID203)	5449	104	58	6.90	0.00	0.00	461564	0	132	132	3416	3416	3496	3496	9967	9967	66.9	1.60	93.02	11	567	99	5	0	0	0	0
bin.8	root (UID1)	5656	56	24	0.00	0.00	0.00	794737	0	86	86	11841	11841	9241	9241	56097	56097	68.2	1.57	83.57	11	918	56	0	0	0	0	0
bin.9	root (UID1)	5656	56	24	0.00	0.00	0.00	743865	0	146	146	5825	5825	5094	5094	15373	15373	39.6	2.20	7.79	11	346	56	0	0	0	0	0
