Comparison	change	target_id	b	InterPro_new	CAZyme_new	Protease_new	KO	secreted_consensus	lichen_ortho
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000622-T1	-1.05518104772748	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002098-T1	-1.05617506451136	IPR000504 RNA recognition motif domain, IPR012677 Nucleotide-binding alpha-beta plait domain superfamily, IPR035979 RNA-binding domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007365-T1	-1.05636201575334	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004102-T1	-1.05868089793362	IPR000420 Yeast PIR protein repeat	NA	NA	K26550	TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001825-T1	-1.06340611778628	IPR003663 Sugar/inositol transporter, IPR005828 Major facilitator, sugar transporter-like, IPR005829 Sugar transporter, conserved site, IPR020846 Major facilitator superfamily domain, IPR036259 MFS transporter superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001223-T1	-1.06421390974727	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005815-T1	-1.06427652160364	IPR000210 BTB/POZ domain, IPR011333 SKP1/BTB/POZ domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000036-T1	-1.06883801900701	IPR006640 SprT-like	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002019-T1	-1.07041392450832	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005619-T1	-1.07048230859362	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009599-T1	-1.07092858502939	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001964-T1	-1.07117902346111	IPR001611 Leucine-rich repeat, IPR003591 Leucine-rich repeat, typical subtype, IPR019487 RAM signalling pathway, SOG2, IPR032675 Leucine-rich repeat domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000888-T1	-1.07165922019952	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009795-T2	-1.07173562078592	IPR023631 Amidase signature domain, IPR036928 Amidase signature (AS) superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008200-T1	-1.07307564962454	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008888-T1	-1.07570133331007	IPR007527 Zinc finger, SWIM-type	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010001-T1	-1.07595278861523	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010379-T1	-1.07642048288667	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001965-T1	-1.07879965761482	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010094-T1	-1.07926882463003	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006459-T1	-1.08955229386067	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002123-T1	-1.09269668652756	IPR000504 RNA recognition motif domain, IPR007855 RNA-dependent RNA polymerase, eukaryotic-type, IPR035979 RNA-binding domain superfamily	NA	NA	K11699	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009326-T1	-1.09755147603938	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001948-T1	-1.09935109538121	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009293-T1	-1.1016509569987	NA	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007899-T1	-1.1033350050293	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000420-T1	-1.10404663155574	IPR013087 Zinc finger C2H2-type	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006246-T1	-1.10436614074561	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006114-T1	-1.10480392270758	IPR001680 WD40 repeat, IPR015943 WD40/YVTN repeat-like-containing domain superfamily, IPR036322 WD40-repeat-containing domain superfamily	NA	NA	K12782	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006310-T1	-1.10504462083038	IPR022137 Zinc finger protein, DUF3669 domain	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001963-T1	-1.11183258759566	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004008-T1	-1.11718333234565	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002410-T1	-1.11736260512653	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002963-T1	-1.11835358699077	IPR000172 Glucose-methanol-choline oxidoreductase, N-terminal, IPR007867 Glucose-methanol-choline oxidoreductase, C-terminal, IPR012132 Glucose-methanol-choline oxidoreductase, IPR036188 FAD/NAD(P)-binding domain superfamily	AA3	NA	K00108	TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006909-T1	-1.12033034824181	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010145-T1	-1.12056538795959	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005584-T1	-1.12434077817466	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002007-T1	-1.12690953763293	NA	NA	NA		TRUE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005278-T1	-1.12843895135155	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000872-T1	-1.1285888371277	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001710-T1	-1.13064585320233	IPR007577 Glycosyltransferase, DXD sugar-binding motif, IPR029044 Nucleotide-diphospho-sugar transferases	GT32	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007869-T1	-1.13633229401293	IPR000210 BTB/POZ domain, IPR011333 SKP1/BTB/POZ domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009511-T1	-1.13647815995731	IPR000757 Glycoside hydrolase family 16, IPR001002 Chitin-binding, type 1, IPR008264 Beta-glucanase, IPR013320 Concanavalin A-like lectin/glucanase domain superfamily, IPR036861 Endochitinase-like superfamily	GH16	NA	K01216	TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000691-T1	-1.14080993635664	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010007-T1	-1.14636613587682	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001820-T2	-1.14737475778666	IPR021109 Aspartic peptidase domain superfamily, IPR033121 Peptidase family A1 domain	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008863-T1	-1.14930816074948	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010381-T1	-1.15724757417577	IPR002293 Amino acid/polyamine transporter I	NA	NA	K03294	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003361-T1	-1.1573935118508	NA	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009666-T1	-1.16335404647266	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000910-T1	-1.16486078594762	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009942-T1	-1.16491145642351	IPR001810 F-box domain, IPR036047 F-box-like domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008874-T1	-1.1686437337115	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005296-T1	-1.17084204823327	IPR018750 Protein of unknown function DUF2306, membrane	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004853-T1	-1.17089109536447	IPR000719 Protein kinase domain, IPR000961 AGC-kinase, C-terminal, IPR011009 Protein kinase-like domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001512-T1	-1.17132550515821	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006203-T1	-1.17504924418997	IPR001841 Zinc finger, RING-type, IPR002867 IBR domain, IPR013083 Zinc finger, RING/FYVE/PHD-type, IPR017907 Zinc finger, RING-type, conserved site	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001436-T1	-1.17821574523947	IPR002048 EF-hand domain, IPR011992 EF-hand domain pair, IPR018247 EF-Hand 1, calcium-binding site	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007750-T1	-1.18145048532817	IPR027417 P-loop containing nucleoside triphosphate hydrolase	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002820-T1	-1.18355794225213	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010051-T1	-1.18456755255729	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003247-T1	-1.18464328664213	IPR001878 Zinc finger, CCHC-type, IPR025836 Zinc knuckle CX2CX4HX4C, IPR036875 Zinc finger, CCHC-type superfamily	NA	NA	K09250	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009621-T1	-1.18820435358494	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005620-T1	-1.18851245605248	IPR001841 Zinc finger, RING-type, IPR004331 SPX domain, IPR011016 Zinc finger, RING-CH-type, IPR013083 Zinc finger, RING/FYVE/PHD-type, IPR017907 Zinc finger, RING-type, conserved site	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009321-T1	-1.19022845798834	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003448-T1	-1.19198701485924	NA	NA	NA		TRUE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009141-T1	-1.19272184939899	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009887-T1	-1.20078566414533	NA	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000610-T1	-1.20742648284816	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001643-T1	-1.21574643436226	IPR001810 F-box domain, IPR032675 Leucine-rich repeat domain superfamily, IPR036047 F-box-like domain superfamily	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010380-T1	-1.22322436887385	IPR000210 BTB/POZ domain, IPR011333 SKP1/BTB/POZ domain superfamily	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007403-T1	-1.22828500775752	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001082-T1	-1.23206009186542	IPR004853 Sugar phosphate transporter domain	NA	NA	K26222	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004416-T1	-1.23426138447445	IPR000246 Peptidase T2, asparaginase 2, IPR029055 Nucleophile aminohydrolases, N-terminal, IPR037464 Threonine aspartase 1	NA	T02	K08657	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001064-T1	-1.2346435160577	IPR021765 Mycotoxin biosynthesis protein UstYa-like	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001061-T1	-1.23530908368854	IPR002328 Alcohol dehydrogenase, zinc-type, conserved site, IPR011032 GroES-like superfamily, IPR013149 Alcohol dehydrogenase-like, C-terminal, IPR013154 Alcohol dehydrogenase-like, N-terminal, IPR020843 Polyketide synthase, enoylreductase domain, IPR036291 NAD(P)-binding domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004018-T2	-1.23569474674768	IPR011009 Protein kinase-like domain superfamily, IPR016477 Fructosamine/Ketosamine-3-kinase	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007231-T1	-1.24031789440962	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009316-T1	-1.24601124540902	IPR001810 F-box domain, IPR036047 F-box-like domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003283-T1	-1.24685607470028	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007244-T1	-1.24989795041139	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008533-T1	-1.25351507809431	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007343-T1	-1.2554194061006	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001952-T1	-1.25714569040423	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001950-T1	-1.25900059328426	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002213-T1	-1.26217704213158	IPR000629 ATP-dependent RNA helicase DEAD-box, conserved site, IPR001650 Helicase, C-terminal, IPR011545 DEAD/DEAH box helicase domain, IPR014001 Helicase superfamily 1/2, ATP-binding domain, IPR014014 RNA helicase, DEAD-box type, Q motif, IPR027417 P-loop containing nucleoside triphosphate hydrolase	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001951-T1	-1.26277847873575	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000604-T1	-1.26422327447734	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010117-T1	-1.26794144984136	IPR002110 Ankyrin repeat, IPR011009 Protein kinase-like domain superfamily, IPR016477 Fructosamine/Ketosamine-3-kinase, IPR020683 Domain of unknown function DUF3447, IPR036770 Ankyrin repeat-containing domain superfamily	NA	NA	K15523	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000697-T1	-1.27311700705325	NA	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008628-T1	-1.27494397581683	IPR023346 Lysozyme-like domain superfamily	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001956-T1	-1.27663105879559	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000398-T1	-1.27782361301868	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002057-T1	-1.28264393069368	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001888-T1	-1.28904304740102	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006449-T1	-1.29122227088238	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008008-T1	-1.29157557544843	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003282-T1	-1.29355170750459	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008426-T1	-1.29428331600311	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005613-T1	-1.29486091846876	IPR003615 HNH nuclease	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007464-T1	-1.29810845701766	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007870-T1	-1.30079840591171	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006245-T1	-1.30126440767969	NA	NA	NA		TRUE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008420-T1	-1.3017073744303	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001947-T1	-1.30315676018297	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006330-T1	-1.3079150015013	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000892-T1	-1.30966577314878	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_010304-T1	-1.31420961287647	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001362-T1	-1.3145764722183	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004628-T1	-1.31748044507668	IPR002156 Ribonuclease H domain, IPR012337 Ribonuclease H-like superfamily, IPR036397 Ribonuclease H superfamily	NA	NA	K03469	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001330-T1	-1.32052987496767	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005658-T1	-1.32245771002829	IPR001153 Barwin domain, IPR009009 RlpA-like protein, double-psi beta-barrel domain, IPR036908 RlpA-like domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005402-T1	-1.32404330757903	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002165-T1	-1.32580166198506	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008534-T1	-1.32739101520943	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002170-T1	-1.32882000384742	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009317-T1	-1.33046941682959	IPR008979 Galactose-binding-like domain superfamily	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005394-T1	-1.3344920749649	IPR002575 Aminoglycoside phosphotransferase, IPR011009 Protein kinase-like domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005631-T1	-1.33647503245004	IPR023631 Amidase signature domain, IPR036928 Amidase signature (AS) superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002103-T1	-1.336659087544	IPR036910 High mobility group box domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_008856-T1	-1.33951064398229	IPR001810 F-box domain, IPR032675 Leucine-rich repeat domain superfamily	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000681-T1	-1.34421530508468	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002185-T1	-1.3520608588417	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003775-T1	-1.35214761193831	IPR003100 PAZ domain, IPR003165 Piwi domain, IPR012337 Ribonuclease H-like superfamily, IPR014811 Argonaute, linker 1 domain, IPR032472 Argonaute linker 2 domain, IPR032473 Protein argonaute, Mid domain, IPR032474 Protein argonaute, N-terminal, IPR036085 PAZ domain superfamily, IPR036397 Ribonuclease H superfamily	NA	NA	K11593	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004580-T1	-1.35597740256836	IPR007292 Nuclear fusion protein Kar5	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001010-T1	-1.35673401959023	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002104-T1	-1.36084372279363	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004494-T1	-1.36218853210687	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001859-T1	-1.36775476266606	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000025-T1	-1.3681353772835	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005597-T1	-1.3716042675573	IPR006421 Glycogen debranching enzyme, metazoa, IPR008928 Six-hairpin glycosidase superfamily, IPR012341 Six-hairpin glycosidase-like superfamily, IPR017853 Glycoside hydrolase superfamily, IPR029436 Eukaryotic glycogen debranching enzyme, N-terminal domain, IPR032788 Glycogen debranching enzyme, central domain, IPR032790 Glycogen debranching enzyme, C-terminal, IPR032792 Glycogen debranching enzyme, glucanotransferase domain	GH133	NA	K01196	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004950-T1	-1.37232608863775	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005048-T1	-1.37448651251845	NA	NA	NA		FALSE	FALSE
