Orthogroup	GTX0493.bin.23.proteins	Other
OG0000743	GTX0493b23_012273-T1	jgi|Auxeprot1|3847|XM_011403078.1
OG0000743	GTX0493b23_012273-T1	jgi|Chloso1228_1|507|CSI_122800000507-RA
OG0000743	GTX0493b23_012273-T1	jgi|ChlNC64A_1|37364|estExt_Genewise1Plus.C_290029
OG0000743	GTX0493b23_012273-T1	jgi|Botrbrau1|11249|Bobra.0038s0021.1
OG0000743	GTX0493b23_012273-T1	jgi|Coc_C169_1|12800|e_gw1.3.56.1
OG0000743	GTX0493b23_012273-T1	jgi|Chabra1|349862|rna-CBR_g46902
OG0000743	GTX0493b23_012273-T1	jgi|Batpra1|4410|XM_007514132.1
OG0000743	GTX0493b23_012273-T1	jgi|Astpho2|5234|e_gw1.00074.68.1_t
OG0000743	GTX0493b23_012273-T1	BDIU01000120.1_49871-53446
OG0000749	GTX0493b23_003053-T1	jgi|ChlNC64A_1|22093|e_gw1.7.304.1
OG0000856	GTX0493b23_006005-T1	GTX0465b1_006586-T1
OG0000860	GTX0493b23_007238-T1	jgi|Chleu1|12095|rna-CEUSTIGMA_g9368.t1
OG0000951	GTX0493b23_002353-T1	jgi|ChlNC64A_1|51898|fgenesh3_pg.C_scaffold_8000185
OG0001014	GTX0493b23_010641-T1	jgi|Chloso1228_1|5601|CSI_122800001485-RA
OG0001123	GTX0493b23_012339-T1	jgi|Chleu1|10861|rna-CEUSTIGMA_g1604.t1
OG0001123	GTX0493b23_012339-T1	jgi|Botrbrau1|4870|Bobra.0032s0026.1
OG0001141	GTX0493b23_010958-T1	jgi|Chleu1|8194|rna-CEUSTIGMA_g6561.t1
OG0001162	GTX0493b23_003560-T1	jgi|ChlNC64A_1|134096|IGS.gm_10_00387
OG0001267	GTX0493b23_003420-T1	jgi|Chloso1228_1|1430|CSI_122800005068-RA
OG0001267	GTX0493b23_003420-T1	jgi|ChlNC64A_1|134635|IGS.gm_12_00021
OG0001267	GTX0493b23_003420-T1	jgi|Coc_C169_1|38065|fgenesh1_pm.18_#_18
OG0001267	GTX0493b23_003420-T1	jgi|Auxeprot1|1496|XM_011401156.1
OG0001267	GTX0493b23_003420-T1	jgi|Batpra1|5520|XM_007513049.1
OG0001267	GTX0493b23_003420-T1	jgi|Ulvmu1|4585|UM002_0314.1, jgi|Ulvmu1|4583|UM002_0312.1
OG0001359	GTX0493b23_009059-T1	jgi|Chloso1228_1|8685|CSI_122800002603-RA
OG0001392	GTX0493b23_012472-T1, GTX0493b23_011663-T1, GTX0493b23_010274-T1	jgi|Chloso1228_1|11235|CSI_122800005600-RA
OG0001412	GTX0493b23_002778-T1, GTX0493b23_011633-T1	jgi|ChlNC64A_1|59481|estExt_fgenesh3_pg.C_840001
OG0001472	GTX0493b23_007505-T1	jgi|ChlNC64A_1|57914|estExt_fgenesh3_pg.C_110014
OG0001472	GTX0493b23_007505-T1	jgi|Chloso1228_1|11708|CSI_122800006073-RA
OG0001472	GTX0493b23_007505-T1	jgi|Chleu1|5151|rna-CEUSTIGMA_g13363.t1, jgi|Chleu1|12149|rna-CEUSTIGMA_g9422.t1
OG0001472	GTX0493b23_007505-T1	jgi|Volca2_1|14749|Vocar.0071s0019.1
OG0001503	GTX0493b23_001410-T1	jgi|Volca2_1|13318|Vocar.0006s0013.1
OG0001526	GTX0493b23_001899-T1	jgi|ChlNC64A_1|34843|estExt_Genewise1Plus.C_60045
OG0001526	GTX0493b23_001899-T1	jgi|Chleu1|5918|rna-CEUSTIGMA_g13624.t1, jgi|Chleu1|3751|rna-CEUSTIGMA_g12844.t1
OG0001590	GTX0493b23_010960-T1	jgi|Botrbrau1|21052|Bobra.0144s0053.1, jgi|Botrbrau1|21053|Bobra.0144s0053.2
OG0001659	GTX0493b23_001409-T1	jgi|Chloso1228_1|6015|CSI_122800010113-RA
OG0001810	GTX0493b23_011684-T1, GTX0493b23_012247-T1	GTX0465b1_003507-T1
OG0001889	GTX0493b23_010038-T1	jgi|Chleu1|84|rna-CEUSTIGMA_g84.t1
OG0001889	GTX0493b23_005665-T1	jgi|Auxeprot1|2487|XM_011401992.1
OG0001889	GTX0493b23_005665-T1	jgi|Chleu1|84|rna-CEUSTIGMA_g84.t1
OG0001889	GTX0493b23_005665-T1	jgi|Chleu1|84|rna-CEUSTIGMA_g84.t1
OG0001889	GTX0493b23_005665-T1	jgi|Botrbrau1|2435|Bobra.0395s0056.1
OG0001889	GTX0493b23_005665-T1	KN805369.1_1811787-1815855
OG0001889	GTX0493b23_005665-T1	BDIU01000046.1_128804-136989
OG0001938	GTX0493b23_003990-T1	jgi|ChlNC64A_1|142408|IGS.gm_4_00549
OG0001950	GTX0493b23_003465-T1	jgi|Chleu1|12854|rna-CEUSTIGMA_g9912.t1
OG0002119	GTX0493b23_000209-T1	jgi|Chleu1|12650|rna-CEUSTIGMA_g2060.t1
OG0002120	GTX0493b23_000237-T1	jgi|Chloso1228_1|4147|CSI_122800009283-RA
OG0002231	GTX0493b23_003187-T1	jgi|ChlNC64A_1|135365|IGS.gm_13_00293
OG0002279	GTX0493b23_004457-T1	jgi|Chloso1228_1|1513|CSI_122800005151-RA
OG0002279	GTX0493b23_004457-T1	jgi|ChlNC64A_1|56190|estExt_fgenesh3_pm.C_120013
OG0002279	GTX0493b23_004457-T1	jgi|Auxeprot1|3913|XM_011403144.1, jgi|Auxeprot1|3155|XM_011402584.1
OG0002279	GTX0493b23_004457-T1	KN805362.1_1772517-1774690
OG0002317	GTX0493b23_002556-T1	jgi|Chleu1|3880|rna-CEUSTIGMA_g3878.t1
OG0002441	GTX0493b23_010843-T1	jgi|Volca2_1|10645|Vocar.0004s0048.1
OG0002581	GTX0493b23_001253-T1	jgi|Chloso1228_1|3023|CSI_122800007690-RA
OG0002705	GTX0493b23_003986-T1	jgi|Botrbrau1|22936|Bobra.0030s0013.1
OG0002952	GTX0493b23_007100-T1	jgi|Volca2_1|11819|Vocar.0045s0031.1
OG0002952	GTX0493b23_007100-T1	jgi|Chleu1|10884|rna-CEUSTIGMA_g1627.t1
OG0002952	GTX0493b23_007100-T1	jgi|Ulvmu1|8461|UM043_0041.1
OG0002952	GTX0493b23_007100-T1	jgi|Chloso1228_1|314|CSI_122800000314-RA
OG0002952	GTX0493b23_007100-T1	jgi|Auxeprot1|5756|XM_011397334.1
OG0002952	GTX0493b23_007100-T1	jgi|Batpra1|1727|XM_007509731.1
OG0003322	GTX0493b23_012309-T1, GTX0493b23_010865-T1	jgi|Botrbrau1|756|Bobra.0181s0015.1
OG0003530	GTX0493b23_011028-T1	jgi|ChlNC64A_1|143401|IGS.gm_559_00001
OG0003583	GTX0493b23_001210-T1	jgi|Chleu1|9260|rna-CEUSTIGMA_g7324.t1
OG0003607	GTX0493b23_002658-T1	jgi|Chloso1228_1|5101|CSI_122800000985-RA
OG0003607	GTX0493b23_002658-T1	jgi|ChlNC64A_1|139898|IGS.gm_27_00076
OG0003607	GTX0493b23_002658-T1	jgi|Auxeprot1|1067|XM_011400728.1
OG0003607	GTX0493b23_002658-T1	jgi|Ulvmu1|7310|UM035_0099.1
OG0003607	GTX0493b23_002658-T1	jgi|Chleu1|13832|rna-CEUSTIGMA_g10673.t1
OG0003607	GTX0493b23_002658-T1	jgi|Volca2_1|9333|Vocar.0031s0122.1
OG0004196	GTX0493b23_002334-T1	jgi|Astpho2|3996|e_gw1.00063.318.1_t
OG0004209	GTX0493b23_002342-T1	jgi|Auxeprot1|5121|XM_011398065.1
OG0004294	GTX0493b23_011857-T1	jgi|Chleu1|11453|rna-CEUSTIGMA_g8903.t1
OG0004294	GTX0493b23_011857-T1	jgi|Volca2_1|7128|Vocar.0024s0168.1
OG0004294	GTX0493b23_011857-T1	jgi|Coc_C169_1|62683|Genemark1.3466_g
OG0004294	GTX0493b23_011857-T1	jgi|Auxeprot1|4084|XM_011403169.1
OG0004294	GTX0493b23_012302-T1	jgi|Ulvmu1|10508|UM064_0046.1
OG0004586	GTX0493b23_009406-T1	jgi|Chleu1|11472|rna-CEUSTIGMA_g8922.t1
OG0004787	GTX0493b23_001713-T1	jgi|Volca2_1|9507|Vocar.0032s0131.1
OG0004931	GTX0493b23_007640-T1	jgi|Volca2_1|1795|Vocar.0001s1613.1
OG0007033	GTX0493b23_005303-T1	jgi|Volca2_1|14436|Vocar.0007s0228.1
