Orthogroup	GTX0468.bin.53.proteins	Other
OG0001540	GTX0468b53_001763-T1	jgi|Botrbrau1|3926|Bobra.0365s0002.1
OG0001540	GTX0468b53_001763-T1	jgi|Coc_C169_1|46285|estExt_fgenesh1_pg.C_20478
OG0001540	GTX0468b53_001763-T1	jgi|Volca2_1|12676|Vocar.0005s0497.1
OG0001540	GTX0468b53_001763-T1	jgi|Chleu1|6306|rna-CEUSTIGMA_g13721.t1, jgi|Chleu1|8747|rna-CEUSTIGMA_g6840.t1, jgi|Chleu1|6305|rna-CEUSTIGMA_g13720.t1
OG0001540	GTX0468b53_001763-T1	jgi|Astpho2|4259|Aster-x0197
OG0001590	GTX0468b53_006135-T1	jgi|Botrbrau1|21052|Bobra.0144s0053.1, jgi|Botrbrau1|21053|Bobra.0144s0053.2
OG0001659	GTX0468b53_001421-T1, GTX0468b53_013738-T1	jgi|Chloso1228_1|6015|CSI_122800010113-RA
OG0001674	GTX0468b53_009606-T1	jgi|Volca2_1|15003|Vocar.0008s0047.1
OG0001674	GTX0468b53_009606-T1	jgi|Batpra1|3747|XM_007514945.1
OG0001674	GTX0468b53_009606-T1	jgi|Chabra1|342522|rna-CBR_g39924
OG0001674	GTX0468b53_009606-T1	KN805361.1_2251967-2259400
OG0001747	GTX0468b53_011301-T1	jgi|Botrbrau1|6511|Bobra.0034s0084.1
OG0001747	GTX0468b53_011301-T1	jgi|Coc_C169_1|43605|fgenesh1_pg.14_#_20
OG0001747	GTX0468b53_011301-T1	jgi|Ulvmu1|12487|UM009_0140.1
OG0001747	GTX0468b53_011301-T1	jgi|Volca2_1|7640|Vocar.0026s0146.1
OG0001747	GTX0468b53_011301-T1	jgi|Astpho2|5369|Aster-x0678, jgi|Astpho2|5368|Aster-x0679
OG0001747	GTX0468b53_011301-T1	jgi|Chleu1|4474|rna-CEUSTIGMA_g4176.t1
OG0001747	GTX0468b53_011301-T1	jgi|Chloso1228_1|9795|CSI_122800003653-RA
OG0001747	GTX0468b53_011301-T1	jgi|ChlNC64A_1|133909|IGS.gm_10_00200
OG0001754	GTX0468b53_004928-T1, GTX0468b53_004929-T1	jgi|Chleu1|8411|rna-CEUSTIGMA_g1093.t1
OG0001810	GTX0468b53_008462-T1	GTX0465b1_003507-T1
OG0001889	GTX0468b53_013197-T1	jgi|Chleu1|84|rna-CEUSTIGMA_g84.t1
OG0001938	GTX0468b53_004495-T1	jgi|ChlNC64A_1|142408|IGS.gm_4_00549
OG0001950	GTX0468b53_005609-T1	jgi|Chleu1|12854|rna-CEUSTIGMA_g9912.t1
OG0002119	GTX0468b53_008905-T1, GTX0468b53_008906-T1, GTX0468b53_005704-T1	jgi|Chleu1|12650|rna-CEUSTIGMA_g2060.t1
OG0002120	GTX0468b53_002503-T1	jgi|Chloso1228_1|4147|CSI_122800009283-RA
OG0002231	GTX0468b53_004461-T1	jgi|ChlNC64A_1|135365|IGS.gm_13_00293
OG0002317	GTX0468b53_003512-T1	jgi|Chleu1|3880|rna-CEUSTIGMA_g3878.t1
OG0002441	GTX0468b53_003580-T1	jgi|Volca2_1|10645|Vocar.0004s0048.1
OG0002581	GTX0468b53_002540-T1	jgi|Chloso1228_1|3023|CSI_122800007690-RA
OG0002705	GTX0468b53_001875-T1	jgi|Botrbrau1|22936|Bobra.0030s0013.1
OG0003082	GTX0468b53_011528-T1	coassemb195_012643-T1
OG0003322	GTX0468b53_009601-T1	jgi|Botrbrau1|756|Bobra.0181s0015.1
OG0003530	GTX0468b53_005528-T1	jgi|ChlNC64A_1|143401|IGS.gm_559_00001
OG0003583	GTX0468b53_006221-T1	jgi|Chleu1|9260|rna-CEUSTIGMA_g7324.t1
OG0003861	GTX0468b53_010696-T1	jgi|Auxeprot1|1411|XM_011401072.1
OG0003861	GTX0468b53_010696-T1	jgi|ChlNC64A_1|55534|fgenesh3_pg.C_scaffold_38000038
OG0003861	GTX0468b53_010696-T1	jgi|Chloso1228_1|4965|CSI_122800010101-RA
OG0003861	GTX0468b53_010696-T1	jgi|Chleu1|6494|rna-CEUSTIGMA_g5325.t1
OG0003861	GTX0468b53_010696-T1	jgi|Ulvmu1|7884|UM004_0115.1
OG0004172	GTX0468b53_012067-T1	jgi|Volca2_1|4407|Vocar.0017s0053.1
OG0004172	GTX0468b53_012067-T1	jgi|Auxeprot1|3297|XM_011397675.1
OG0004172	GTX0468b53_012067-T1	jgi|ChlNC64A_1|141116|IGS.gm_31_00059
OG0004172	GTX0468b53_012067-T1	jgi|Chloso1228_1|5008|CSI_122800000892-RA
OG0004196	GTX0468b53_007210-T1	jgi|Astpho2|3996|e_gw1.00063.318.1_t
OG0004209	GTX0468b53_003459-T1	jgi|Auxeprot1|5121|XM_011398065.1
OG0004586	GTX0468b53_011475-T1	jgi|Chleu1|11472|rna-CEUSTIGMA_g8922.t1
OG0004787	GTX0468b53_012762-T1	jgi|Volca2_1|9507|Vocar.0032s0131.1
OG0004931	GTX0468b53_006685-T1	jgi|Volca2_1|1795|Vocar.0001s1613.1
OG0005010	GTX0468b53_001789-T1, GTX0468b53_013809-T1, GTX0468b53_013808-T1	jgi|Chloso1228_1|1674|CSI_122800005312-RA
OG0005010	GTX0468b53_001789-T1, GTX0468b53_013809-T1, GTX0468b53_013808-T1	jgi|ChlNC64A_1|134871|IGS.gm_12_00257
OG0005010	GTX0468b53_001789-T1	jgi|Volca2_1|10191|Vocar.0036s0115.1
OG0005010	GTX0468b53_013809-T1	jgi|Chleu1|9460|rna-CEUSTIGMA_g7514.t1
OG0005413	GTX0468b53_001388-T1	jgi|Botrbrau1|5342|Bobra.0346s0016.1
OG0006257	GTX0468b53_000535-T1	jgi|ChlNC64A_1|133957|IGS.gm_10_00248
OG0006257	GTX0468b53_000535-T1	jgi|Chloso1228_1|9765|CSI_122800003623-RA
OG0006257	GTX0468b53_000535-T1	jgi|Volca2_1|4191|Vocar.0016s0183.1
OG0006257	GTX0468b53_000535-T1	jgi|Chleu1|7557|rna-CEUSTIGMA_g6023.t1
OG0006474	GTX0468b53_005265-T1	GTX0465b1_005391-T1
OG0006474	GTX0468b53_005265-T1	jgi|TrebA12_1|11559|rna-gnl|WGS_VXIU|FRX49_11540-mRNA-1_mrna_FRX49_11540
OG0006474	GTX0468b53_005265-T1	jgi|Coc_C169_1|26908|estExt_Genewise1Plus.C_10732
OG0006474	GTX0468b53_005265-T1	jgi|Botrbrau1|1647|Bobra.0185s0057.1
OG0006474	GTX0468b53_005265-T1	jgi|Volca2_1|602|Vocar.0001s0545.1
OG0006474	GTX0468b53_005265-T1	jgi|Astpho2|6311|Aster-08144
OG0007033	GTX0468b53_002977-T1	jgi|Volca2_1|14436|Vocar.0007s0228.1
