# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_000027-T1 FUN_000027	-	-	Y (0.663)	Non-effector
FUN_000028-T1 FUN_000028	Y (0.832)	-	-	Cytoplasmic effector
FUN_000029-T1 FUN_000029	Y (0.904)	-	-	Cytoplasmic effector
FUN_000030-T1 FUN_000030	-	-	Y (0.688)	Non-effector
FUN_000031-T1 FUN_000031	Y (0.806)	-	-	Cytoplasmic effector
FUN_000032-T1 FUN_000032	-	-	Y (0.521)	Non-effector
FUN_000033-T1 FUN_000033	-	-	Y (0.98)	Non-effector
FUN_000034-T1 FUN_000034	-	-	Y (0.529)	Non-effector
FUN_000035-T1 FUN_000035	-	-	Y (0.504)	Non-effector
FUN_000036-T1 FUN_000036	-	-	Y (0.721)	Non-effector
FUN_000037-T1 FUN_000037	Y (0.507)	-	-	Cytoplasmic effector
FUN_000038-T1 FUN_000038	-	-	Y (0.906)	Non-effector
FUN_000039-T1 FUN_000039	-	-	Y (0.979)	Non-effector
FUN_000040-T1 FUN_000040	-	-	Y (0.808)	Non-effector
FUN_000041-T1 FUN_000041	Y (0.84)	-	-	Cytoplasmic effector
FUN_000042-T1 FUN_000042	-	-	Y (0.631)	Non-effector
FUN_000043-T1 FUN_000043	-	-	Y (0.672)	Non-effector
FUN_000044-T1 FUN_000044	Y (0.569)	-	-	Cytoplasmic effector
FUN_000045-T1 FUN_000045	-	-	Y (0.937)	Non-effector
FUN_000046-T1 FUN_000046	-	-	Y (0.986)	Non-effector
FUN_000047-T1 FUN_000047	-	-	Y (0.867)	Non-effector
FUN_000048-T1 FUN_000048	-	-	Y (0.96)	Non-effector
FUN_000049-T1 FUN_000049	-	-	Y (0.591)	Non-effector
FUN_000050-T1 FUN_000050	-	-	Y (0.58)	Non-effector
FUN_000051-T1 FUN_000051	-	-	Y (0.503)	Non-effector
FUN_000052-T1 FUN_000052	-	-	Y (0.56)	Non-effector
FUN_000053-T1 FUN_000053	-	-	Y (0.732)	Non-effector
FUN_000054-T1 FUN_000054	-	-	Y (0.988)	Non-effector
FUN_000055-T1 FUN_000055	Y (0.731)	-	-	Cytoplasmic effector
FUN_000056-T1 FUN_000056	Y (0.808)	-	-	Cytoplasmic effector
FUN_000057-T1 FUN_000057	-	-	Y (0.951)	Non-effector
FUN_000058-T1 FUN_000058	-	-	Y (0.872)	Non-effector
FUN_000059-T1 FUN_000059	Y (0.768)	-	-	Cytoplasmic effector
FUN_000060-T1 FUN_000060	Y (0.65)	-	-	Cytoplasmic effector
FUN_000061-T1 FUN_000061	-	-	Y (0.649)	Non-effector
FUN_000062-T1 FUN_000062	Y (0.691)	-	-	Cytoplasmic effector
FUN_000063-T1 FUN_000063	Y (0.699)	-	-	Cytoplasmic effector
FUN_000064-T1 FUN_000064	-	-	Y (0.519)	Non-effector
FUN_000065-T1 FUN_000065	Y (0.75)	-	-	Cytoplasmic effector
FUN_000066-T1 FUN_000066	-	-	Y (0.754)	Non-effector
FUN_000067-T1 FUN_000067	-	-	Y (0.91)	Non-effector
FUN_000068-T1 FUN_000068	-	-	Y (0.925)	Non-effector
FUN_000069-T1 FUN_000069	Y (0.74)	-	-	Cytoplasmic effector
FUN_000070-T1 FUN_000070	-	-	Y (0.77)	Non-effector
FUN_000071-T1 FUN_000071	-	-	Y (0.794)	Non-effector
FUN_000072-T1 FUN_000072	Y (0.606)	-	-	Cytoplasmic effector
FUN_000073-T1 FUN_000073	Y (0.62)	-	-	Cytoplasmic effector
FUN_000074-T1 FUN_000074	-	-	Y (0.988)	Non-effector
FUN_000075-T1 FUN_000075	-	-	Y (0.535)	Non-effector
FUN_000076-T1 FUN_000076	-	-	Y (0.511)	Non-effector
FUN_000077-T1 FUN_000077	Y (0.633)	-	-	Cytoplasmic effector
FUN_000078-T1 FUN_000078	Y (0.926)	-	-	Cytoplasmic effector
FUN_000079-T1 FUN_000079	-	-	Y (0.87)	Non-effector
FUN_000080-T1 FUN_000080	Y (0.542)	-	-	Cytoplasmic effector
FUN_000081-T1 FUN_000081	Y (0.862)	-	-	Cytoplasmic effector
FUN_000082-T1 FUN_000082	Y (0.901)	-	-	Cytoplasmic effector
FUN_000083-T1 FUN_000083	-	-	Y (0.903)	Non-effector
FUN_000084-T1 FUN_000084	-	-	Y (0.937)	Non-effector
FUN_000085-T1 FUN_000085	-	-	Y (0.779)	Non-effector
FUN_000086-T1 FUN_000086	-	-	Y (0.896)	Non-effector
FUN_000087-T1 FUN_000087	-	-	Y (0.775)	Non-effector
FUN_000088-T1 FUN_000088	-	-	Y (0.884)	Non-effector
FUN_000089-T1 FUN_000089	-	-	Y (0.83)	Non-effector
FUN_000090-T1 FUN_000090	Y (0.76)	-	-	Cytoplasmic effector
FUN_000091-T1 FUN_000091	Y (0.646)	-	-	Cytoplasmic effector
FUN_000092-T1 FUN_000092	Y (0.687)	-	-	Cytoplasmic effector
FUN_000093-T1 FUN_000093	Y (0.658)	-	-	Cytoplasmic effector
FUN_000094-T1 FUN_000094	-	-	Y (0.988)	Non-effector
FUN_000094-T2 FUN_000094	-	-	Y (0.988)	Non-effector
FUN_000095-T1 FUN_000095	-	-	Y (0.892)	Non-effector
FUN_000095-T2 FUN_000095	-	-	Y (0.952)	Non-effector
FUN_000096-T1 FUN_000096	-	-	Y (0.902)	Non-effector
FUN_000097-T1 FUN_000097	-	-	Y (0.987)	Non-effector
FUN_000098-T1 FUN_000098	-	-	Y (0.537)	Non-effector
FUN_000099-T1 FUN_000099	-	-	Y (0.683)	Non-effector
FUN_000100-T1 FUN_000100	-	-	Y (0.894)	Non-effector
FUN_000101-T1 FUN_000101	-	-	Y (0.63)	Non-effector
FUN_000102-T1 FUN_000102	Y (0.853)	-	-	Cytoplasmic effector
FUN_000103-T1 FUN_000103	Y (0.645)	-	-	Cytoplasmic effector
FUN_000104-T1 FUN_000104	-	-	Y (0.795)	Non-effector
FUN_000105-T1 FUN_000105	-	-	Y (0.919)	Non-effector
FUN_000106-T1 FUN_000106	-	Y (0.81)	-	Apoplastic effector
FUN_000107-T1 FUN_000107	Y (0.529)	-	-	Cytoplasmic effector
FUN_000108-T1 FUN_000108	-	-	Y (0.988)	Non-effector
FUN_000109-T1 FUN_000109	Y (0.829)	-	-	Cytoplasmic effector
FUN_000110-T1 FUN_000110	-	-	Y (0.921)	Non-effector
FUN_000111-T1 FUN_000111	-	-	Y (0.957)	Non-effector
FUN_000112-T1 FUN_000112	-	-	Y (0.77)	Non-effector
FUN_000113-T1 FUN_000113	-	-	Y (0.817)	Non-effector
FUN_000114-T1 FUN_000114	-	-	Y (0.781)	Non-effector
FUN_000115-T1 FUN_000115	-	-	Y (0.921)	Non-effector
FUN_000116-T1 FUN_000116	-	-	Y (0.92)	Non-effector
FUN_000117-T1 FUN_000117	-	-	Y (0.731)	Non-effector
FUN_000118-T1 FUN_000118	-	-	Y (0.988)	Non-effector
FUN_000119-T1 FUN_000119	Y (0.951)	Y (0.56)	-	Cytoplasmic/apoplastic effector
FUN_000120-T1 FUN_000120	-	-	Y (0.762)	Non-effector
FUN_000121-T1 FUN_000121	-	-	Y (0.654)	Non-effector
FUN_000122-T1 FUN_000122	-	-	Y (0.987)	Non-effector
FUN_000122-T2 FUN_000122	-	-	Y (0.98)	Non-effector
FUN_000123-T1 FUN_000123	-	-	Y (0.583)	Non-effector
FUN_000124-T1 FUN_000124	Y (0.561)	-	-	Cytoplasmic effector
FUN_000125-T1 FUN_000125	Y (0.785)	-	-	Cytoplasmic effector
FUN_000126-T1 FUN_000126	-	-	Y (0.816)	Non-effector
FUN_000127-T1 FUN_000127	-	-	Y (0.858)	Non-effector
FUN_000128-T1 FUN_000128	Y (0.679)	-	-	Cytoplasmic effector
FUN_000129-T1 FUN_000129	Y (0.767)	-	-	Cytoplasmic effector
FUN_000130-T1 FUN_000130	-	-	Y (0.92)	Non-effector
FUN_000131-T1 FUN_000131	-	-	Y (0.83)	Non-effector
FUN_000132-T1 FUN_000132	-	-	Y (0.962)	Non-effector
FUN_000133-T1 FUN_000133	-	-	Y (0.96)	Non-effector
FUN_000134-T1 FUN_000134	Y (0.633)	-	-	Cytoplasmic effector
FUN_000135-T1 FUN_000135	-	-	Y (0.655)	Non-effector
FUN_000136-T1 FUN_000136	-	-	Y (0.983)	Non-effector
FUN_000137-T1 FUN_000137	-	-	Y (0.979)	Non-effector
FUN_000137-T2 FUN_000137	-	-	Y (0.988)	Non-effector
FUN_000138-T1 FUN_000138	-	-	Y (0.749)	Non-effector
FUN_000139-T1 FUN_000139	-	-	Y (0.951)	Non-effector
FUN_000140-T1 FUN_000140	-	-	Y (0.974)	Non-effector
FUN_000141-T1 FUN_000141	Y (0.53)	-	-	Cytoplasmic effector
FUN_000142-T1 FUN_000142	-	-	Y (0.773)	Non-effector
FUN_000143-T1 FUN_000143	-	-	Y (0.987)	Non-effector
FUN_000143-T2 FUN_000143	-	-	Y (0.982)	Non-effector
FUN_000144-T1 FUN_000144	-	-	Y (0.988)	Non-effector
FUN_000145-T1 FUN_000145	-	-	Y (0.911)	Non-effector
FUN_000146-T1 FUN_000146	Y (0.586)	-	-	Cytoplasmic effector
FUN_000147-T1 FUN_000147	-	-	Y (0.868)	Non-effector
FUN_000147-T2 FUN_000147	-	-	Y (0.86)	Non-effector
FUN_000148-T1 FUN_000148	-	-	Y (0.812)	Non-effector
FUN_000149-T1 FUN_000149	-	-	Y (0.986)	Non-effector
FUN_000150-T1 FUN_000150	-	-	Y (0.925)	Non-effector
FUN_000151-T1 FUN_000151	-	-	Y (0.923)	Non-effector
FUN_000152-T1 FUN_000152	-	-	Y (0.888)	Non-effector
FUN_000153-T1 FUN_000153	-	-	Y (0.663)	Non-effector
FUN_000154-T1 FUN_000154	-	-	Y (0.962)	Non-effector
FUN_000155-T1 FUN_000155	Y (0.807)	-	-	Cytoplasmic effector
FUN_000156-T1 FUN_000156	-	-	Y (0.926)	Non-effector
FUN_000157-T1 FUN_000157	-	-	Y (0.853)	Non-effector
FUN_000158-T1 FUN_000158	-	-	Y (0.778)	Non-effector
FUN_000159-T1 FUN_000159	-	-	Y (0.575)	Non-effector
FUN_000160-T1 FUN_000160	-	-	Y (0.896)	Non-effector
FUN_000161-T1 FUN_000161	-	-	Y (0.921)	Non-effector
FUN_000162-T1 FUN_000162	-	-	Y (0.664)	Non-effector
FUN_000163-T1 FUN_000163	-	-	Y (0.787)	Non-effector
FUN_000164-T1 FUN_000164	-	-	Y (0.686)	Non-effector
FUN_000165-T1 FUN_000165	-	-	Y (0.809)	Non-effector
FUN_000166-T1 FUN_000166	-	-	Y (0.957)	Non-effector
FUN_000167-T1 FUN_000167	Y (0.639)	-	-	Cytoplasmic effector
FUN_000168-T1 FUN_000168	-	-	Y (0.955)	Non-effector
FUN_000169-T1 FUN_000169	-	-	Y (0.677)	Non-effector
FUN_000170-T1 FUN_000170	-	-	Y (0.733)	Non-effector
FUN_000171-T1 FUN_000171	-	-	Y (0.702)	Non-effector
FUN_000172-T1 FUN_000172	-	-	Y (0.884)	Non-effector
FUN_000173-T1 FUN_000173	-	-	Y (0.662)	Non-effector
FUN_000174-T1 FUN_000174	-	-	Y (0.586)	Non-effector
FUN_000175-T1 FUN_000175	-	-	Y (0.924)	Non-effector
FUN_000176-T1 FUN_000176	Y (0.527)	-	-	Cytoplasmic effector
FUN_000177-T1 FUN_000177	Y (0.847)	-	-	Cytoplasmic effector
FUN_000178-T1 FUN_000178	Y (0.851)	-	-	Cytoplasmic effector
FUN_000179-T1 FUN_000179	-	-	Y (0.66)	Non-effector
FUN_000180-T1 FUN_000180	-	-	Y (0.85)	Non-effector
FUN_000181-T1 FUN_000181	-	-	Y (0.689)	Non-effector
FUN_000182-T1 FUN_000182	-	-	Y (0.968)	Non-effector
FUN_000183-T1 FUN_000183	-	-	Y (0.786)	Non-effector
FUN_000184-T1 FUN_000184	Y (0.58)	-	-	Cytoplasmic effector
FUN_000185-T1 FUN_000185	-	-	Y (0.883)	Non-effector
FUN_000186-T1 FUN_000186	-	-	Y (0.566)	Non-effector
FUN_000187-T1 FUN_000187	Y (0.604)	-	-	Cytoplasmic effector
FUN_000188-T1 FUN_000188	Y (0.839)	-	-	Cytoplasmic effector
FUN_000189-T1 FUN_000189	Y (0.81)	-	-	Cytoplasmic effector
FUN_000189-T2 FUN_000189	Y (0.784)	-	-	Cytoplasmic effector
FUN_000190-T1 FUN_000190	-	-	Y (0.689)	Non-effector
FUN_000191-T1 FUN_000191	-	-	Y (0.569)	Non-effector
FUN_000192-T1 FUN_000192	-	Y (0.552)	-	Apoplastic effector
FUN_000193-T1 FUN_000193	Y (0.576)	-	-	Cytoplasmic effector
FUN_000194-T1 FUN_000194	-	-	Y (0.795)	Non-effector
FUN_000195-T1 FUN_000195	-	-	Y (0.984)	Non-effector
FUN_000196-T1 FUN_000196	-	-	Y (0.975)	Non-effector
FUN_000197-T1 FUN_000197	-	-	Y (0.935)	Non-effector
FUN_000198-T1 FUN_000198	-	-	Y (0.981)	Non-effector
FUN_000199-T1 FUN_000199	-	-	Y (0.832)	Non-effector
FUN_000200-T1 FUN_000200	-	-	Y (0.84)	Non-effector
FUN_000201-T1 FUN_000201	-	-	Y (0.874)	Non-effector
FUN_000202-T1 FUN_000202	-	-	Y (0.874)	Non-effector
FUN_000203-T1 FUN_000203	-	-	Y (0.665)	Non-effector
FUN_000204-T1 FUN_000204	-	-	Y (0.707)	Non-effector
FUN_000205-T1 FUN_000205	Y (0.889)	-	-	Cytoplasmic effector
FUN_000206-T1 FUN_000206	-	-	Y (0.769)	Non-effector
FUN_000207-T1 FUN_000207	-	-	Y (0.988)	Non-effector
FUN_000208-T1 FUN_000208	-	-	Y (0.902)	Non-effector
FUN_000209-T1 FUN_000209	-	-	Y (0.738)	Non-effector
FUN_000210-T1 FUN_000210	-	-	Y (0.867)	Non-effector
FUN_000211-T1 FUN_000211	-	-	Y (0.557)	Non-effector
FUN_000212-T1 FUN_000212	-	-	Y (0.867)	Non-effector
FUN_000213-T1 FUN_000213	-	-	Y (0.811)	Non-effector
FUN_000214-T1 FUN_000214	-	-	Y (0.875)	Non-effector
FUN_000215-T1 FUN_000215	-	-	Y (0.704)	Non-effector
FUN_000216-T1 FUN_000216	Y (0.538)	-	-	Cytoplasmic effector
FUN_000217-T1 FUN_000217	-	-	Y (0.69)	Non-effector
FUN_000218-T1 FUN_000218	Y (0.675)	-	-	Cytoplasmic effector
FUN_000219-T1 FUN_000219	-	-	Y (0.906)	Non-effector
FUN_000220-T1 FUN_000220	-	-	Y (0.918)	Non-effector
FUN_000221-T1 FUN_000221	Y (0.632)	-	-	Cytoplasmic effector
FUN_000222-T1 FUN_000222	-	-	Y (0.794)	Non-effector
FUN_000223-T1 FUN_000223	Y (0.695)	-	-	Cytoplasmic effector
FUN_000224-T1 FUN_000224	-	-	Y (0.817)	Non-effector
FUN_000225-T1 FUN_000225	-	-	Y (0.819)	Non-effector
FUN_000226-T1 FUN_000226	Y (0.551)	-	-	Cytoplasmic effector
FUN_000227-T1 FUN_000227	-	-	Y (0.883)	Non-effector
FUN_000228-T1 FUN_000228	-	-	Y (0.827)	Non-effector
FUN_000229-T1 FUN_000229	-	-	Y (0.551)	Non-effector
FUN_000230-T1 FUN_000230	-	-	Y (0.695)	Non-effector
FUN_000231-T1 FUN_000231	-	-	Y (0.869)	Non-effector
FUN_000232-T1 FUN_000232	-	-	Y (0.987)	Non-effector
FUN_000233-T1 FUN_000233	Y (0.841)	-	-	Cytoplasmic effector
FUN_000234-T1 FUN_000234	-	-	Y (0.604)	Non-effector
FUN_000235-T1 FUN_000235	-	-	Y (0.711)	Non-effector
FUN_000235-T2 FUN_000235	-	-	Y (0.594)	Non-effector
FUN_000236-T1 FUN_000236	-	-	Y (0.763)	Non-effector
FUN_000237-T1 FUN_000237	-	-	Y (0.94)	Non-effector
FUN_000238-T1 FUN_000238	-	-	Y (0.527)	Non-effector
FUN_000239-T1 FUN_000239	-	-	Y (0.893)	Non-effector
FUN_000240-T1 FUN_000240	-	-	Y (0.685)	Non-effector
FUN_000241-T1 FUN_000241	-	-	Y (0.73)	Non-effector
FUN_000242-T1 FUN_000242	-	-	Y (0.865)	Non-effector
FUN_000243-T1 FUN_000243	-	-	Y (0.905)	Non-effector
FUN_000244-T1 FUN_000244	-	-	Y (0.958)	Non-effector
FUN_000245-T1 FUN_000245	-	-	Y (0.961)	Non-effector
FUN_000246-T1 FUN_000246	-	-	Y (0.722)	Non-effector
FUN_000247-T1 FUN_000247	-	-	Y (0.765)	Non-effector
FUN_000248-T1 FUN_000248	-	-	Y (0.886)	Non-effector
FUN_000249-T1 FUN_000249	Y (0.645)	-	-	Cytoplasmic effector
FUN_000250-T1 FUN_000250	-	-	Y (0.988)	Non-effector
FUN_000251-T1 FUN_000251	-	-	Y (0.701)	Non-effector
FUN_000252-T1 FUN_000252	-	-	Y (0.742)	Non-effector
FUN_000253-T1 FUN_000253	-	-	Y (0.699)	Non-effector
FUN_000254-T1 FUN_000254	-	-	Y (0.926)	Non-effector
FUN_000255-T1 FUN_000255	-	-	Y (0.985)	Non-effector
FUN_000256-T1 FUN_000256	-	-	Y (0.925)	Non-effector
FUN_000257-T1 FUN_000257	Y (0.832)	-	-	Cytoplasmic effector
FUN_000258-T1 FUN_000258	-	-	Y (0.669)	Non-effector
FUN_000259-T1 FUN_000259	-	-	Y (0.847)	Non-effector
FUN_000260-T1 FUN_000260	-	-	Y (0.924)	Non-effector
FUN_000261-T1 FUN_000261	-	-	Y (0.915)	Non-effector
FUN_000262-T1 FUN_000262	-	-	Y (0.68)	Non-effector
FUN_000263-T1 FUN_000263	-	-	Y (0.921)	Non-effector
FUN_000263-T2 FUN_000263	-	-	Y (0.897)	Non-effector
FUN_000264-T1 FUN_000264	-	-	Y (0.825)	Non-effector
FUN_000265-T1 FUN_000265	-	-	Y (0.96)	Non-effector
FUN_000266-T1 FUN_000266	-	-	Y (0.615)	Non-effector
FUN_000267-T1 FUN_000267	Y (0.955)	Y (0.528)	-	Cytoplasmic/apoplastic effector
FUN_000268-T1 FUN_000268	-	-	Y (0.923)	Non-effector
FUN_000269-T1 FUN_000269	Y (0.544)	-	-	Cytoplasmic effector
FUN_000270-T1 FUN_000270	-	-	Y (0.898)	Non-effector
FUN_000271-T1 FUN_000271	-	-	Y (0.944)	Non-effector
FUN_000272-T1 FUN_000272	-	-	Y (0.747)	Non-effector
FUN_000273-T1 FUN_000273	-	-	Y (0.834)	Non-effector
FUN_000274-T1 FUN_000274	Y (0.705)	-	-	Cytoplasmic effector
FUN_000275-T1 FUN_000275	-	-	Y (0.544)	Non-effector
FUN_000276-T1 FUN_000276	-	-	Y (0.987)	Non-effector
FUN_000277-T1 FUN_000277	-	-	Y (0.522)	Non-effector
FUN_000278-T1 FUN_000278	-	-	Y (0.983)	Non-effector
FUN_000279-T1 FUN_000279	Y (0.798)	-	-	Cytoplasmic effector
FUN_000280-T1 FUN_000280	-	-	Y (0.707)	Non-effector
FUN_000281-T1 FUN_000281	-	-	Y (0.89)	Non-effector
FUN_000282-T1 FUN_000282	-	-	Y (0.623)	Non-effector
FUN_000283-T1 FUN_000283	-	-	Y (0.77)	Non-effector
FUN_000284-T1 FUN_000284	Y (0.548)	-	-	Cytoplasmic effector
FUN_000285-T1 FUN_000285	-	-	Y (0.738)	Non-effector
FUN_000286-T1 FUN_000286	-	-	Y (0.842)	Non-effector
FUN_000287-T1 FUN_000287	-	-	Y (0.59)	Non-effector
FUN_000288-T1 FUN_000288	-	-	Y (0.803)	Non-effector
FUN_000289-T1 FUN_000289	Y (0.553)	-	-	Cytoplasmic effector
FUN_000290-T1 FUN_000290	-	-	Y (0.69)	Non-effector
FUN_000291-T1 FUN_000291	-	-	Y (0.956)	Non-effector
FUN_000291-T2 FUN_000291	-	-	Y (0.954)	Non-effector
FUN_000292-T1 FUN_000292	-	-	Y (0.593)	Non-effector
FUN_000293-T1 FUN_000293	Y (0.809)	-	-	Cytoplasmic effector
FUN_000294-T1 FUN_000294	-	-	Y (0.597)	Non-effector
FUN_000295-T1 FUN_000295	-	-	Y (0.824)	Non-effector
FUN_000296-T1 FUN_000296	Y (0.607)	-	-	Cytoplasmic effector
FUN_000297-T1 FUN_000297	-	-	Y (0.916)	Non-effector
FUN_000298-T1 FUN_000298	Y (0.511)	-	-	Cytoplasmic effector
FUN_000299-T1 FUN_000299	-	-	Y (0.887)	Non-effector
FUN_000300-T1 FUN_000300	-	-	Y (0.95)	Non-effector
FUN_000301-T1 FUN_000301	Y (0.736)	-	-	Cytoplasmic effector
FUN_000302-T1 FUN_000302	-	-	Y (0.775)	Non-effector
FUN_000303-T1 FUN_000303	Y (0.594)	-	-	Cytoplasmic effector
FUN_000304-T1 FUN_000304	-	-	Y (0.988)	Non-effector
FUN_000305-T1 FUN_000305	-	-	Y (0.658)	Non-effector
FUN_000306-T1 FUN_000306	-	-	Y (0.813)	Non-effector
FUN_000307-T1 FUN_000307	-	-	Y (0.893)	Non-effector
FUN_000308-T1 FUN_000308	-	-	Y (0.76)	Non-effector
FUN_000309-T1 FUN_000309	Y (0.954)	-	-	Cytoplasmic effector
FUN_000310-T1 FUN_000310	-	-	Y (0.78)	Non-effector
FUN_000311-T1 FUN_000311	-	-	Y (0.931)	Non-effector
FUN_000312-T1 FUN_000312	Y (0.849)	-	-	Cytoplasmic effector
FUN_000313-T1 FUN_000313	-	-	Y (0.616)	Non-effector
FUN_000314-T1 FUN_000314	-	-	Y (0.957)	Non-effector
FUN_000315-T1 FUN_000315	-	-	Y (0.957)	Non-effector
FUN_000316-T1 FUN_000316	-	-	Y (0.717)	Non-effector
FUN_000317-T1 FUN_000317	-	-	Y (0.987)	Non-effector
FUN_000318-T1 FUN_000318	-	-	Y (0.916)	Non-effector
FUN_000319-T1 FUN_000319	-	-	Y (0.894)	Non-effector
FUN_000320-T1 FUN_000320	-	-	Y (0.629)	Non-effector
FUN_000321-T1 FUN_000321	Y (0.836)	-	-	Cytoplasmic effector
FUN_000322-T1 FUN_000322	-	-	Y (0.71)	Non-effector
FUN_000323-T1 FUN_000323	-	Y (0.538)	-	Apoplastic effector
FUN_000324-T1 FUN_000324	-	-	Y (0.878)	Non-effector
FUN_000325-T1 FUN_000325	-	-	Y (0.944)	Non-effector
FUN_000326-T1 FUN_000326	-	-	Y (0.803)	Non-effector
FUN_000327-T1 FUN_000327	-	-	Y (0.62)	Non-effector
FUN_000328-T1 FUN_000328	-	-	Y (0.95)	Non-effector
FUN_000329-T1 FUN_000329	Y (0.667)	-	-	Cytoplasmic effector
FUN_000330-T1 FUN_000330	Y (0.738)	Y (0.551)	-	Cytoplasmic/apoplastic effector
FUN_000331-T1 FUN_000331	-	-	Y (0.865)	Non-effector
FUN_000331-T2 FUN_000331	-	-	Y (0.744)	Non-effector
FUN_000331-T3 FUN_000331	-	-	Y (0.818)	Non-effector
FUN_000332-T1 FUN_000332	Y (0.744)	-	-	Cytoplasmic effector
FUN_000333-T1 FUN_000333	Y (0.766)	-	-	Cytoplasmic effector
FUN_000334-T1 FUN_000334	Y (0.629)	-	-	Cytoplasmic effector
FUN_000335-T1 FUN_000335	-	-	Y (0.775)	Non-effector
FUN_000336-T1 FUN_000336	-	-	Y (0.947)	Non-effector
FUN_000337-T1 FUN_000337	-	-	Y (0.915)	Non-effector
FUN_000338-T1 FUN_000338	-	-	Y (0.654)	Non-effector
FUN_000339-T1 FUN_000339	-	-	Y (0.962)	Non-effector
FUN_000340-T1 FUN_000340	Y (0.775)	-	-	Cytoplasmic effector
FUN_000341-T1 FUN_000341	-	-	Y (0.828)	Non-effector
FUN_000342-T1 FUN_000342	-	-	Y (0.946)	Non-effector
FUN_000342-T2 FUN_000342	-	-	Y (0.875)	Non-effector
FUN_000343-T1 FUN_000343	Y (0.77)	-	-	Cytoplasmic effector
FUN_000344-T1 FUN_000344	-	-	Y (0.779)	Non-effector
FUN_000345-T1 FUN_000345	-	-	Y (0.703)	Non-effector
FUN_000346-T1 FUN_000346	Y (0.793)	-	-	Cytoplasmic effector
FUN_000347-T1 FUN_000347	-	-	Y (0.821)	Non-effector
FUN_000348-T1 FUN_000348	Y (0.679)	-	-	Cytoplasmic effector
FUN_000349-T1 FUN_000349	-	-	Y (0.872)	Non-effector
FUN_000350-T1 FUN_000350	-	-	Y (0.986)	Non-effector
FUN_000351-T1 FUN_000351	-	-	Y (0.831)	Non-effector
FUN_000352-T1 FUN_000352	-	-	Y (0.567)	Non-effector
FUN_000353-T1 FUN_000353	-	-	Y (0.978)	Non-effector
FUN_000354-T1 FUN_000354	-	-	Y (0.985)	Non-effector
FUN_000355-T1 FUN_000355	-	-	Y (0.929)	Non-effector
FUN_000356-T1 FUN_000356	Y (0.556)	-	-	Cytoplasmic effector
FUN_000357-T1 FUN_000357	-	-	Y (0.967)	Non-effector
FUN_000358-T1 FUN_000358	-	-	Y (0.807)	Non-effector
FUN_000359-T1 FUN_000359	-	-	Y (0.509)	Non-effector
FUN_000360-T1 FUN_000360	-	-	Y (0.953)	Non-effector
FUN_000361-T1 FUN_000361	Y (0.776)	Y (0.695)	-	Cytoplasmic/apoplastic effector
FUN_000362-T1 FUN_000362	Y (0.827)	-	-	Cytoplasmic effector
FUN_000363-T1 FUN_000363	-	-	Y (0.599)	Non-effector
FUN_000364-T1 FUN_000364	Y (0.816)	-	-	Cytoplasmic effector
FUN_000365-T1 FUN_000365	-	-	Y (0.824)	Non-effector
FUN_000366-T1 FUN_000366	Y (0.894)	-	-	Cytoplasmic effector
FUN_000367-T1 FUN_000367	-	-	Y (0.722)	Non-effector
FUN_000368-T1 FUN_000368	Y (0.796)	-	-	Cytoplasmic effector
