From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A4Q7K4T8	A0A4Q7K4T8	unreviewed	A0A4Q7K4T8_METCM	LysM domain-containing protein	I1G_00011514	Pochonia chlamydosporia 123	377
Q0CGW9	Q0CGW9	unreviewed	Q0CGW9_ASPTN	LysM domain-containing protein	ATEG_07073	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	741
A0A2N6NNM3	A0A2N6NNM3	unreviewed	A0A2N6NNM3_BEABA	LysM domain-containing protein	BM221_005438	Beauveria bassiana (White muscardine disease fungus) (Tritirachium shiotae)	413
R8BN75	R8BN75	unreviewed	R8BN75_PHAM7	Putative wsc domain-containing protein	UCRPA7_3707	Phaeoacremonium minimum (strain UCR-PA7) (Esca disease fungus) (Togninia minima)	1187
A0A437AGZ5	A0A437AGZ5	unreviewed	A0A437AGZ5_9PEZI	WSC domain-containing protein	DFL_001379	Arthrobotrys flagrans	1216
A0A425BSA0	A0A425BSA0	unreviewed	A0A425BSA0_9PEZI	WSC domain-containing protein	DH86_00001668	Scytalidium sp. 3C	1246
A0A4U0UZZ9	A0A4U0UZZ9	unreviewed	A0A4U0UZZ9_9PEZI	Choice-of-anchor D domain-containing protein	B0A49_13446	Cryomyces minteri	803
A0A194XBC8	A0A194XBC8	unreviewed	A0A194XBC8_MOLSC	WSC-domain-containing protein	LY89DRAFT_54274	Mollisia scopiformis (Conifer needle endophyte fungus) (Phialocephala scopiformis)	870
A0A7C8MFV8	A0A7C8MFV8	unreviewed	A0A7C8MFV8_9PEZI	FAD-binding PCMH-type domain-containing protein	GQX73_g10052	Xylaria multiplex	756
A0A0N0V6G3	A0A0N0V6G3	unreviewed	A0A0N0V6G3_FUSLA	6-hydroxy-d-nicotine oxidase	FLAG1_07178	Fusarium langsethiae	743
A0A6A6U9J1	A0A6A6U9J1	unreviewed	A0A6A6U9J1_9PEZI	FAD-binding domain-containing protein	BT63DRAFT_389897	Microthyrium microscopicum	502
W7MU26	W7MU26	unreviewed	W7MU26_GIBM7	FAD-binding PCMH-type domain-containing protein	FVEG_12837	Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides)	466
A0A366QWV0	A0A366QWV0	unreviewed	A0A366QWV0_9HYPO	FAD-binding PCMH-type domain-containing protein	FIESC28_10265	Fusarium coffeatum	1097
A0A2J6T3S3	A0A2J6T3S3	unreviewed	A0A2J6T3S3_9HELO	Lysine-specific metallo-endopeptidase domain-containing protein	K444DRAFT_691832	Hyaloscypha bicolor E	375
A0A0C3GY97	A0A0C3GY97	unreviewed	A0A0C3GY97_OIDMZ	Lysine-specific metallo-endopeptidase domain-containing protein	OIDMADRAFT_59214	Oidiodendron maius (strain Zn)	331
A0A6A6J4Z3	A0A6A6J4Z3	unreviewed	A0A6A6J4Z3_9PLEO	Lysine-specific metallo-endopeptidase domain-containing protein	BU26DRAFT_558378	Trematosphaeria pertusa	498
A0A0C3CJS1	A0A0C3CJS1	unreviewed	A0A0C3CJS1_OIDMZ	Lysine-specific metallo-endopeptidase domain-containing protein	OIDMADRAFT_30799	Oidiodendron maius (strain Zn)	278
A0A370TXH2	A0A370TXH2	unreviewed	A0A370TXH2_9HELO	Lysine-specific metallo-endopeptidase domain-containing protein	BP5553_00206	Venustampulla echinocandica	388
A0A0J8RMW3	A0A0J8RMW3	unreviewed	A0A0J8RMW3_COCIT	LysM domain-containing protein	CIHG_04219	Coccidioides immitis H538.4	532
E9DDV5	E9DDV5	unreviewed	E9DDV5_COCPS	LysM domain-containing protein	CPSG_07746	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	712
A0A5N5CZ16	A0A5N5CZ16	unreviewed	A0A5N5CZ16_9PEZI	LysM domain-containing protein	DBV05_g10710	Lasiodiplodia theobromae	618
A0A1F5LMD2	A0A1F5LMD2	unreviewed	A0A1F5LMD2_9EURO	LysM domain-containing protein	PENARI_c006G03589	Penicillium arizonense	636
A0A1B8DHP7	A0A1B8DHP7	unreviewed	A0A1B8DHP7_9PEZI	LysM domain-containing protein	VE04_01212	Pseudogymnoascus sp. 24MN13	641
A0A0D2BFI4	A0A0D2BFI4	unreviewed	A0A0D2BFI4_9EURO	AB hydrolase-1 domain-containing protein	PV08_11064	Exophiala spinifera	327
A0A1N6RDX9	A0A1N6RDX9	unreviewed	A0A1N6RDX9_9HYPH	Pimeloyl-ACP methyl ester carboxylesterase	SAMN05880582_1011318	Rhizobium sp. RU20A	276
A0A7G9QBZ7	A0A7G9QBZ7	unreviewed	A0A7G9QBZ7_9SPHI	Alpha/beta hydrolase	H9L23_17290	Pedobacter roseus	396
A0A3G6TNZ5	A0A3G6TNZ5	unreviewed	A0A3G6TNZ5_9FLAO	Alpha/beta hydrolase	EB354_09920	Chryseobacterium balustinum	403
A0A1Q5UCN8	A0A1Q5UCN8	unreviewed	A0A1Q5UCN8_9EURO	AB hydrolase-1 domain-containing protein	PENSUB_4394	Penicillium subrubescens	521
A0A544ZST4	A0A544ZST4		A0A544ZST4_9PEZI	deleted			
A0A0D2Y2P8	A0A0D2Y2P8	unreviewed	A0A0D2Y2P8_FUSOF	triacylglycerol lipase (EC 3.1.1.3) (Autophagy-related protein 15)		Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)	490
N4UWS9	N4UWS9	unreviewed	N4UWS9_FUSC1	triacylglycerol lipase (EC 3.1.1.3) (Autophagy-related protein 15)	FOC1_g10010035	Fusarium oxysporum f. sp. cubense (strain race 1) (Panama disease fungus)	490
A0A165GXK6	A0A165GXK6	unreviewed	A0A165GXK6_XYLHT	triacylglycerol lipase (EC 3.1.1.3) (Autophagy-related protein 15)	L228DRAFT_134694	Xylona heveae (strain CBS 132557 / TC161)	547
A0A1V6U163	A0A1V6U163	unreviewed	A0A1V6U163_9EURO	triacylglycerol lipase (EC 3.1.1.3) (Autophagy-related protein 15)	PENSTE_c001G09591	Penicillium steckii	620
A0A7C8IH86	A0A7C8IH86	unreviewed	A0A7C8IH86_9PLEO	Uncharacterized protein	BDV95DRAFT_602512	Massariosphaeria phaeospora	256
E3RDR6	E3RDR6	unreviewed	E3RDR6_PYRTT	Uncharacterized protein	PTT_02778	Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres)	252
A0A4Q3NKE7	A0A4Q3NKE7		A0A4Q3NKE7_9BACT	deleted			
C6H7P5	C6H7P5	unreviewed	C6H7P5_AJECH	Uncharacterized protein	HCDG_02446	Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)	304
A6RG47	A6RG47	unreviewed	A6RG47_AJECN	Uncharacterized protein	HCAG_08613	Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum)	356
L7J9U7	L7J9U7	unreviewed	L7J9U7_PYRO1	Glutamyl-tRNA(Gln) amidotransferase	OOW_P131scaffold00544g4	Pyricularia oryzae (strain P131) (Rice blast fungus) (Magnaporthe oryzae)	810
A0A4Y9XTD4	A0A4Y9XTD4	unreviewed	A0A4Y9XTD4_9APHY	Amidase domain-containing protein	EVJ58_g9475	Rhodofomes roseus	721
A0A507B1L7	A0A507B1L7	unreviewed	A0A507B1L7_9PEZI	Uncharacterized protein	E0L32_012354	Thyridium curvatum	1161
A0A7H9B3E0	A0A7H9B3E0	unreviewed	A0A7H9B3E0_ZYGMR	Amidase domain-containing protein	HG535_0D06230	Zygotorulaspora mrakii (Zygosaccharomyces mrakii)	640
E9PAD5	E9PAD5	unreviewed	E9PAD5_YEASX	ORF near MEL		Saccharomyces cerevisiae (Baker's yeast)	554
A0A229XYZ1	A0A229XYZ1		A0A229XYZ1_ASPFM	deleted			
G3Y902	G3Y902	unreviewed	G3Y902_ASPNA	Lysophospholipase (EC 3.1.1.5)	ASPNIDRAFT_190578	Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7)	604
A0A395I731	A0A395I731	unreviewed	A0A395I731_ASPHC	Lysophospholipase (EC 3.1.1.5)	BO97DRAFT_336897	Aspergillus homomorphus (strain CBS 101889)	605
A0A1J9QB72	A0A1J9QB72	unreviewed	A0A1J9QB72_9EURO	Lysophospholipase (EC 3.1.1.5)	AJ78_06348	Emergomyces pasteurianus Ep9510	622
A0A0J8QMW6	A0A0J8QMW6	unreviewed	A0A0J8QMW6_COCIT	Lysophospholipase (EC 3.1.1.5)	CISG_03735	Coccidioides immitis RMSCC 3703	591
A0A3M7JBK9	A0A3M7JBK9	unreviewed	A0A3M7JBK9_HORWE	CHRD domain-containing protein	D0859_00676	Hortaea werneckii	199
A0A084AWA3	A0A084AWA3	unreviewed	A0A084AWA3_STACB	CHRD domain-containing protein	S7711_06211	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	183
A0A5N6KY16	A0A5N6KY16	unreviewed	A0A5N6KY16_9ROSI	CHRD domain-containing protein	FH972_024196	Carpinus fangiana	234
S8BS09	S8BS09	unreviewed	S8BS09_DACHA	CHRD domain-containing protein	H072_8243	Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum)	186
A0A2S7P818	A0A2S7P818	unreviewed	A0A2S7P818_9HELO	Guanine deaminase protein	CJF32_00000939	Rutstroemia sp. NJR-2017a WRK4	701
A0A6A6WBS8	A0A6A6WBS8	unreviewed	A0A6A6WBS8_9PEZI	Extracellular membrane protein CFEM domain-containing protein	EJ05DRAFT_345291	Pseudovirgaria hyperparasitica	141
A0A4S8UDR1	A0A4S8UDR1	unreviewed	A0A4S8UDR1_AURPU	WSC domain-containing protein	D6D25_09190	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	181
A0A4S8TWJ4	A0A4S8TWJ4	unreviewed	A0A4S8TWJ4_AURPU	WSC-domain-containing protein	D6D26_09964	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	204
A0A4S9ALY2	A0A4S9ALY2	unreviewed	A0A4S9ALY2_AURPU	WSC-domain-containing protein	D6D17_09841	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	227
W9VQ41	W9VQ41	unreviewed	W9VQ41_9EURO	Extracellular membrane protein CFEM domain-containing protein	A1O7_09598	Cladophialophora yegresii CBS 114405	440
A0A1W5D603	A0A1W5D603	unreviewed	A0A1W5D603_9LECA	Malate dehydrogenase	FRX48_04327	Lasallia pustulata	255
A0A0P7BQZ0	A0A0P7BQZ0	unreviewed	A0A0P7BQZ0_9HYPO	Malate dehydrogenase	AK830_g3002	Neonectria ditissima	258
A0A6G1G1Q5	A0A6G1G1Q5	unreviewed	A0A6G1G1Q5_9PEZI	Malate dehydrogenase	P152DRAFT_459205	Eremomyces bilateralis CBS 781.70	256
A0A2D3V2R0	A0A2D3V2R0	unreviewed	A0A2D3V2R0_9PEZI	Related to malate dehydrogenase	RCC_04812	Ramularia collo-cygni	247
M2MLS1	M2MLS1	unreviewed	M2MLS1_BAUPA	Malate dehydrogenase	BAUCODRAFT_77931	Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762))	258
A0A5M8PKB2	A0A5M8PKB2	unreviewed	A0A5M8PKB2_9LECA	Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein	FRX48_06799	Lasallia pustulata	1010
A0A1W5CT22	A0A1W5CT22	unreviewed	A0A1W5CT22_9LECA	Glucose-methanol-choline oxidoreductase, N-terminal		Lasallia pustulata	847
M2MZH0	M2MZH0	unreviewed	M2MZH0_BAUPA	Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein	BAUCODRAFT_79531	Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762))	578
E3QI81	E3QI81	unreviewed	E3QI81_COLGM	GMC oxidoreductase	GLRG_05840	Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola)	630
A0A4U0UE86	A0A4U0UE86	unreviewed	A0A4U0UE86_9PEZI	Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein	B0A50_00413	Salinomyces thailandica	588
A0A453CKI1	A0A453CKI1	unreviewed	A0A453CKI1_AEGTS	Gnk2-homologous domain-containing protein		Aegilops tauschii subsp. strangulata (Goatgrass)	303
A0A0K9P6U5	A0A0K9P6U5	unreviewed	A0A0K9P6U5_ZOSMR	Cysteine-rich receptor-like protein kinase	ZOSMA_38G00220	Zostera marina (Eelgrass)	284
A0A1S3B4B7	A0A1S3B4B7	unreviewed	A0A1S3B4B7_CUCME	Cysteine-rich receptor-like protein kinase 25	LOC103485632 103485632	Cucumis melo (Muskmelon)	314
A0A067KPM7	A0A067KPM7	unreviewed	A0A067KPM7_JATCU	Gnk2-homologous domain-containing protein	JCGZ_04745	Jatropha curcas (Barbados nut)	286
A0A446MK27	A0A446MK27		A0A446MK27_TRITD	deleted			
W9YTV7	W9YTV7	unreviewed	W9YTV7_9EURO	Cerevisin	A1O3_01253	Capronia epimyces CBS 606.96	496
A0A0D2BNZ3	A0A0D2BNZ3	unreviewed	A0A0D2BNZ3_9EURO	Subtilisin-like protease	PV08_01198	Exophiala spinifera	496
A0A6H0XJ67	A0A6H0XJ67	unreviewed	A0A6H0XJ67_9PEZI	Peptidase S8/S53 domain-containing protein	AMS68_000279	Peltaster fructicola	515
A0A6A6XCS1	A0A6A6XCS1	unreviewed	A0A6A6XCS1_9PLEO	Uncharacterized protein	K505DRAFT_324893	Melanomma pulvis-pyrius CBS 109.77	541
A0A074VY75	A0A074VY75	unreviewed	A0A074VY75_9PEZI	Vacuolar serine protease	M437DRAFT_9238	Aureobasidium melanogenum CBS 110374	490
A0A3D8RZY1	A0A3D8RZY1	unreviewed	A0A3D8RZY1_9HELO	Uncharacterized protein	BP6252_04234	Coleophoma cylindrospora	222
A0A094IR75	A0A094IR75	unreviewed	A0A094IR75_9PEZI	Uncharacterized protein	V502_02788	Pseudogymnoascus sp. VKM F-4520 (FW-2644)	219
A0A094GHG2	A0A094GHG2	unreviewed	A0A094GHG2_9PEZI	AB hydrolase-1 domain-containing protein	V500_02747	Pseudogymnoascus sp. VKM F-4518 (FW-2643)	677
A0A507B4W9	A0A507B4W9	unreviewed	A0A507B4W9_9PEZI	Uncharacterized protein	E0L32_007406	Thyridium curvatum	213
A0A436ZT73	A0A436ZT73	unreviewed	A0A436ZT73_9PEZI	Cell wall protein PhiA	DFL_006563	Arthrobotrys flagrans	176
A0A0M9VQ37	A0A0M9VQ37	unreviewed	A0A0M9VQ37_9BASI	Uncharacterized protein	Malapachy_1258	Malassezia pachydermatis	473
A0A074XW96	A0A074XW96	unreviewed	A0A074XW96_AURPU	Uncharacterized protein	M438DRAFT_154516	Aureobasidium pullulans EXF-150	188
A0A395SVA4	A0A395SVA4	unreviewed	A0A395SVA4_FUSSP	Uncharacterized protein	FSPOR_396	Fusarium sporotrichioides	316
A0A132B635	A0A132B635	unreviewed	A0A132B635_MOLSC	Uncharacterized protein	LY89DRAFT_353890	Mollisia scopiformis (Conifer needle endophyte fungus) (Phialocephala scopiformis)	184
R0IUF1	R0IUF1	unreviewed	R0IUF1_EXST2	Uncharacterized protein	SETTUDRAFT_108127	Exserohilum turcicum (strain 28A) (Northern leaf blight fungus) (Setosphaeria turcica)	296
A0A428Q0T5	A0A428Q0T5	unreviewed	A0A428Q0T5_9HYPO	Uncharacterized protein	CEP54_007570	Fusarium duplospermum	321
A0A6A5VL10	A0A6A5VL10	unreviewed	A0A6A5VL10_9PLEO	Cyanovirin-N domain-containing protein	BU23DRAFT_551871	Bimuria novae-zelandiae CBS 107.79	124
A0A1C3YML7	A0A1C3YML7	unreviewed	A0A1C3YML7_GIBZE	Chromosome 2, complete genome	FGRAMPH1_01T12195	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	160
A0A1Y2DH19	A0A1Y2DH19	unreviewed	A0A1Y2DH19_9PEZI	Cyanovirin-N domain-containing protein	BCR38DRAFT_352921	Pseudomassariella vexata	136
A0A0B0DX33	A0A0B0DX33	unreviewed	A0A0B0DX33_NEUCS	Ecp2 effector protein domain-containing protein	GE21DRAFT_5608	Neurospora crassa	190
N4XF21	N4XF21	unreviewed	N4XF21_COCH4	Ecp2 effector protein domain-containing protein	COCC4DRAFT_123696	Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T) (Southern corn leaf blight fungus) (Bipolaris maydis)	172
S3C0L4	S3C0L4	unreviewed	S3C0L4_OPHP1	TNT domain-containing protein	F503_03816	Ophiostoma piceae (strain UAMH 11346) (Sap stain fungus)	220
A0A1J7J3X2	A0A1J7J3X2	unreviewed	A0A1J7J3X2_9PEZI	TNT domain-containing protein	CONLIGDRAFT_692709	Coniochaeta ligniaria NRRL 30616	220
A0A0C4DN65	A0A0C4DN65	unreviewed	A0A0C4DN65_MAGP6	TNT domain-containing protein	MAPG_01244	Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae)	256
R7RYK7	R7RYK7	unreviewed	R7RYK7_STEHR	TNT domain-containing protein	STEHIDRAFT_68064	Stereum hirsutum (strain FP-91666) (White-rot fungus)	173
A0A428QY47	A0A428QY47	unreviewed	A0A428QY47_9HYPO	TNT domain-containing protein	CEP53_001984	Fusarium sp. AF-6	235
A0A518ENS9	A0A518ENS9	unreviewed	A0A518ENS9_9BACT	Pregnancy-associated plasma protein-A	Poly30_12500	Planctomycetes bacterium Poly30	581
W1P5B8	W1P5B8	unreviewed	W1P5B8_AMBTC	GH10 domain-containing protein	AMTR_s00086p00056140	Amborella trichopoda	501
A0A1G1GKG8	A0A1G1GKG8	unreviewed	A0A1G1GKG8_9BACT	LamG-like jellyroll fold domain-containing protein	A2Y66_01790	Nitrospirae bacterium RBG_13_41_22	1053
A0A2M7KTQ9	A0A2M7KTQ9	unreviewed	A0A2M7KTQ9_9BACT	Glycoside hydrolase family 71	COZ57_13345	Armatimonadetes bacterium CG_4_8_14_3_um_filter_66_20	711
A0A1M6Q831	A0A1M6Q831	unreviewed	A0A1M6Q831_9CLOT	Uncharacterized protein	SAMN02745975_03785	Geosporobacter subterraneus DSM 17957	1254
W3WLU1	W3WLU1	unreviewed	W3WLU1_PESFW	F5/8 type C domain-containing protein	PFICI_13374	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	660
A0A2R4TD26	A0A2R4TD26	unreviewed	A0A2R4TD26_9ACTN	Arabinogalactan endo-1,4-beta-galactosidase	SLUN_37560	Streptomyces lunaelactis	722
A0A286RHL3	A0A286RHL3	unreviewed	A0A286RHL3_9BACT	beta-galactosidase (EC 3.2.1.23)	THTE_2820	Thermogutta terrifontis	1102
A0A5R9QSV6	A0A5R9QSV6		A0A5R9QSV6_9BACT	deleted			
A0A1V6DER9	A0A1V6DER9	unreviewed	A0A1V6DER9_9BACT	beta-galactosidase (EC 3.2.1.23)	nedA_1 BWX88_00015	Planctomycetes bacterium ADurb.Bin126	1196
F2SZK5	F2SZK5	unreviewed	F2SZK5_TRIRC	Uncharacterized protein	TERG_08969	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus)	263
A0A0J8TY34	A0A0J8TY34	unreviewed	A0A0J8TY34_COCIT	Cytosolic Cu/Zn superoxide dismutase	CISG_07394	Coccidioides immitis RMSCC 3703	362
H6BU51	H6BU51	unreviewed	H6BU51_EXODN	Superoxide dismutase	HMPREF1120_03758	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis)	256
A0A0U1LNZ7	A0A0U1LNZ7	unreviewed	A0A0U1LNZ7_TALIS	Superoxide dismutase copper/zinc binding domain-containing protein	PISL3812_02125	Talaromyces islandicus (Penicillium islandicum)	248
A0A6C1LXV7	A0A6C1LXV7		A0A6C1LXV7_COCIT	deleted			
A0A6A6B611	A0A6A6B611	unreviewed	A0A6A6B611_9PEZI	Glycoside hydrolase family 16 protein	K452DRAFT_300787	Aplosporella prunicola CBS 121167	386
A0A3N4JA47	A0A3N4JA47	unreviewed	A0A3N4JA47_9PEZI	Concanavalin A-like lectin/glucanase	L873DRAFT_1830720	Choiromyces venosus 120613-1	360
K2S384	K2S384	unreviewed	K2S384_MACPH	Galactosyl transferase	MPH_05789	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	344
A0A4Q4MZN5	A0A4Q4MZN5	unreviewed	A0A4Q4MZN5_ALTAL	GH16 domain-containing protein	AA0117_g12332	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	358
A0A2J6Q2W5	A0A2J6Q2W5	unreviewed	A0A2J6Q2W5_9HELO	Glycoside hydrolase family 16 protein	NA56DRAFT_689637	Hyaloscypha hepaticicola	363
A0A6A6SUE6	A0A6A6SUE6	unreviewed	A0A6A6SUE6_9PLEO	Uncharacterized protein	K491DRAFT_608455	Lophiostoma macrostomum CBS 122681	408
A0A1Y2TCG1	A0A1Y2TCG1	unreviewed	A0A1Y2TCG1_9PEZI	Uncharacterized protein	K449DRAFT_427092	Hypoxylon sp. EC38	404
A0A2P6MTX4	A0A2P6MTX4	unreviewed	A0A2P6MTX4_9EUKA	Xylosidase/arabinosidase	PROFUN_15172	Planoprotostelium fungivorum	469
A0A7C8MME8	A0A7C8MME8	unreviewed	A0A7C8MME8_9PEZI	Uncharacterized protein	GQX73_g9500	Xylaria multiplex	638
A0A1J5I7I9	A0A1J5I7I9	unreviewed	A0A1J5I7I9_9BACT	Xylosidase/arabinosidase	AUK55_09225	Syntrophobacteraceae bacterium CG2_30_61_12	603
A0A2V1E0R6	A0A2V1E0R6	unreviewed	A0A2V1E0R6_9PLEO	Putative isomerase YbhE	DM02DRAFT_519708	Periconia macrospinosa	386
S3DGB5	S3DGB5	unreviewed	S3DGB5_GLAL2	Nitrous oxide reductase, N-terminal	GLAREA_05512	Glarea lozoyensis (strain ATCC 20868 / MF5171)	391
A0A094HKW7	A0A094HKW7	unreviewed	A0A094HKW7_9PEZI	Isomerase YbhE	V501_02413	Pseudogymnoascus sp. VKM F-4519 (FW-2642)	448
A0A4S9FML6	A0A4S9FML6	unreviewed	A0A4S9FML6_AURPU	3-carboxy-cis,cis-mucoante lactonizing enzyme	D6D06_09480	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	409
W2RJU4	W2RJU4	unreviewed	W2RJU4_9EURO	6-phosphogluconolactonase	HMPREF1541_09035	Cyphellophora europaea CBS 101466	407
A0A6G1GCW0	A0A6G1GCW0	unreviewed	A0A6G1GCW0_9PEZI	Uncharacterized protein	P152DRAFT_471139	Eremomyces bilateralis CBS 781.70	365
A0A6A6GQR5	A0A6A6GQR5	unreviewed	A0A6A6GQR5_9PEZI	Uncharacterized protein	BDZ85DRAFT_293036	Elsinoe ampelina	698
U1GF15	U1GF15	unreviewed	U1GF15_ENDPU	FAD-binding PCMH-type domain-containing protein	EPUS_07596	Endocarpon pusillum (strain Z07020 / HMAS-L-300199) (Lichen-forming fungus)	510
