"query","target","nident","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","prob","evalue","bits"
"365_FUN006612T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1F5LMD2-F1-model_v4",28,0.451,62,34,0,2,63,575,636,1,5.179e-07,295
"365_FUN006612T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1B8DHP7-F1-model_v4",27,0.435,62,35,0,2,63,522,583,1,9.027e-07,286
"384_FUN006949T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0D2BFI4-F1-model_v4",196,0.655,299,70,3,1,267,29,326,1,2.246e-45,1676
"384_FUN006949T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1N6RDX9-F1-model_v4",83,0.319,260,159,6,5,257,26,274,1,6.038e-23,772
"384_FUN006949T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7G9QBZ7-F1-model_v4",69,0.276,250,150,7,22,258,164,395,1,3.505e-20,650
"384_FUN006949T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A3G6TNZ5-F1-model_v4",69,0.27,255,152,7,17,257,167,401,1,3.726e-20,638
"384_FUN006949T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1Q5UCN8-F1-model_v4",137,0.64,214,44,2,1,181,31,244,1,8.199e-23,595
"388_FUN007071T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A544ZST4-F1-model_v4",177,0.519,341,129,3,61,366,2,342,0,5.787e-42,-2147483648
"388_FUN007071T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0D2Y2P8-F1-model_v4",178,0.521,341,128,2,61,366,2,342,0,6.141e-42,-2147483648
"388_FUN007071T1unrelaxedrank001alphafold2ptm.pdb","AF-N4UWS9-F1-model_v4",178,0.521,341,128,2,61,366,2,342,0,5.454e-42,-2147483648
"388_FUN007071T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A165GXK6-F1-model_v4",205,0.542,378,132,5,26,366,18,391,0,1.017e-48,-2147483648
"388_FUN007071T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1V6U163-F1-model_v4",208,0.5,416,153,7,2,366,56,467,0,6.163e-51,-2147483648
"410_FUN007437T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7C8IH86-F1-model_v4",61,0.348,175,73,4,1,147,18,179,1,1.818e-13,494
"410_FUN007437T1unrelaxedrank001alphafold2ptm.pdb","AF-E3RDR6-F1-model_v4",57,0.335,170,75,5,1,146,5,160,1,8.054e-13,463
"410_FUN007437T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4Q3NKE7-F1-model_v4",57,0.375,152,60,5,6,138,31,166,1,5.1e-12,437
"410_FUN007437T1unrelaxedrank001alphafold2ptm.pdb","AF-C6H7P5-F1-model_v4",46,0.323,142,74,4,27,147,2,142,1,3.564e-09,311
"410_FUN007437T1unrelaxedrank001alphafold2ptm.pdb","AF-A6RG47-F1-model_v4",44,0.309,142,76,4,27,147,2,142,1,7.281e-09,306
"599_FUN010624T1unrelaxedrank001alphafold2ptm.pdb","AF-L7J9U7-F1-model_v4",261,0.411,634,339,15,1,617,190,806,1,4.605e-77,2840
"599_FUN010624T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4Y9XTD4-F1-model_v4",273,0.416,656,325,19,2,620,85,719,1,2.156e-76,2744
"599_FUN010624T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A507B1L7-F1-model_v4",248,0.392,632,353,16,2,620,548,1161,1,6.288e-75,2716
"599_FUN010624T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7H9B3E0-F1-model_v4",225,0.354,637,377,18,2,617,18,640,1,9.816e-67,2375
"599_FUN010624T1unrelaxedrank001alphafold2ptm.pdb","AF-E9PAD5-F1-model_v4",209,0.372,561,318,14,72,613,4,549,1,2.995e-57,2002
"149_FUN002636T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A229XYZ1-F1-model_v4",353,0.617,572,197,1,2,551,311,882,1,1.222e-73,3385
"149_FUN002636T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-G3Y902-F1-model_v4",351,0.611,574,201,1,1,552,5,578,1,4.446e-72,3295
"149_FUN002636T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A395I731-F1-model_v4",344,0.6,573,207,2,2,552,6,578,1,3.186e-71,3267
"149_FUN002636T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1J9QB72-F1-model_v4",329,0.576,572,220,2,2,551,45,615,1,2.549e-69,3179
"149_FUN002636T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0J8QMW6-F1-model_v4",301,0.526,572,231,5,1,548,36,591,1,4.75e-62,2572
"156_FUN002728T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A3M7JBK9-F1-model_v4",98,0.64,153,51,2,1,151,49,199,1,2.265e-20,920
"156_FUN002728T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A084AWA3-F1-model_v4",95,0.633,150,52,2,3,151,32,179,1,1.49e-19,894
"156_FUN002728T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A5N6KY16-F1-model_v4",102,0.68,150,44,3,1,149,86,232,1,6.646e-20,891
"156_FUN002728T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-S8BS09-F1-model_v4",82,0.543,151,67,1,1,151,33,181,1,7.991e-18,802
"156_FUN002728T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A2S7P818-F1-model_v4",81,0.529,153,66,3,1,151,65,213,1,1.258e-15,679
"159_FUN002844T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A6WBS8-F1-model_v4",32,0.438,73,40,1,4,75,22,94,1,7.371e-05,235
"159_FUN002844T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A4S8UDR1-F1-model_v4",26,0.366,71,45,0,5,75,47,117,1,0.0002121,227
"159_FUN002844T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A4S8TWJ4-F1-model_v4",26,0.351,74,48,0,3,76,45,118,1,0.0003598,219
"159_FUN002844T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A4S9ALY2-F1-model_v4",26,0.371,70,44,0,5,74,47,116,1,0.0003393,215
"159_FUN002844T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-W9VQ41-F1-model_v4",15,0.214,70,55,0,6,75,1,70,1,0.02468,135
"15_FUN000306T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A1W5D603-F1-model_v4",101,0.433,233,112,7,2,220,28,254,1,7.134e-22,855
"15_FUN000306T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0P7BQZ0-F1-model_v4",83,0.364,228,128,7,5,222,38,258,1,5.684e-21,823
"15_FUN000306T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A6G1G1Q5-F1-model_v4",91,0.388,234,114,7,1,220,35,253,1,1.618e-21,804
"15_FUN000306T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A2D3V2R0-F1-model_v4",87,0.435,200,102,7,27,220,52,246,1,1.076e-18,713
"15_FUN000306T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-M2MLS1-F1-model_v4",89,0.445,200,100,7,28,221,59,253,1,3.577e-18,698
"162_FUN002963T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A5M8PKB2-F1-model_v4",465,0.726,641,134,2,1,599,26,666,1,0,4178
"162_FUN002963T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A1W5CT22-F1-model_v4",468,0.73,641,131,2,1,599,26,666,1,0,4133
"162_FUN002963T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-M2MZH0-F1-model_v4",290,0.503,576,286,0,13,588,2,577,1,4.973e-85,3222
"162_FUN002963T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-E3QI81-F1-model_v4",265,0.448,591,323,2,4,594,30,617,1,2.582e-77,2849
"162_FUN002963T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A4U0UE86-F1-model_v4",188,0.493,381,186,3,223,596,6,386,1,3.407e-43,1424
"16_FUN000324T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A453CKI1-F1-model_v4",8,0.078,102,81,4,4,97,42,138,0.99,0.01899,83
"16_FUN000324T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0K9P6U5-F1-model_v4",10,0.095,105,82,3,2,97,138,238,0.975,0.04216,77
"16_FUN000324T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A1S3B4B7-F1-model_v4",8,0.102,78,70,0,19,96,39,116,0.933,0.04506,70
"16_FUN000324T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A067KPM7-F1-model_v4",11,0.11,100,82,3,2,97,137,233,0.795,0.4933,61
"16_FUN000324T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A446MK27-F1-model_v4",12,0.122,98,71,5,16,98,151,248,0.473,0.331,50
"170_FUN003130T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-W9YTV7-F1-model_v4",331,0.705,469,110,5,2,442,26,494,1,2.537e-74,2485
"170_FUN003130T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0D2BNZ3-F1-model_v4",325,0.691,470,121,5,2,447,27,496,1,2.688e-74,2475
"170_FUN003130T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6H0XJ67-F1-model_v4",317,0.663,478,129,6,2,447,28,505,1,1.822e-73,2462
"170_FUN003130T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A6XCS1-F1-model_v4",329,0.698,471,111,6,2,441,28,498,1,5.391e-74,2458
"170_FUN003130T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A074VY75-F1-model_v4",314,0.688,456,116,6,2,432,34,488,1,4.497e-71,2364
"173_FUN003186T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A3D8RZY1-F1-model_v4",52,0.305,170,106,7,1,163,29,193,1,2.059e-11,478
"173_FUN003186T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A094IR75-F1-model_v4",44,0.263,167,115,4,3,163,26,190,1,1.434e-09,438
"173_FUN003186T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A094GHG2-F1-model_v4",44,0.26,169,117,4,1,163,24,190,1,9.153e-10,436
"173_FUN003186T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A507B4W9-F1-model_v4",38,0.228,166,115,7,6,163,29,189,1,5.223e-08,381
"173_FUN003186T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A436ZT73-F1-model_v4",44,0.252,174,107,11,1,163,15,176,1,1.29e-08,361
"176_FUN003231T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0M9VQ37-F1-model_v4",5,0.1,50,45,0,1,50,45,94,0.179,3.307,38
"293_FUN005533T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A074XW96-F1-model_v4",18,0.14,128,79,7,128,246,70,175,1,0.003672,124
"293_FUN005533T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A395SVA4-F1-model_v4",19,0.141,134,86,12,1,128,17,127,1,0.006412,104
"293_FUN005533T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A132B635-F1-model_v4",18,0.111,161,89,6,107,246,46,173,0.988,0.008214,82
"293_FUN005533T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-R0IUF1-F1-model_v4",29,0.084,342,153,22,1,247,5,281,0.747,0.01727,59
"293_FUN005533T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A428Q0T5-F1-model_v4",29,0.088,328,155,21,4,247,37,304,0.537,0.02834,52
"2_FUN000051T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A5VL10-F1-model_v4",15,0.112,133,77,5,6,137,29,121,1,0.0006847,122
"2_FUN000051T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1C3YML7-F1-model_v4",12,0.096,124,78,5,13,135,67,157,0.999,0.009005,98
"2_FUN000051T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1Y2DH19-F1-model_v4",14,0.114,122,78,6,15,135,43,135,0.998,0.008443,94
"2_FUN000051T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0B0DX33-F1-model_v4",11,0.086,127,84,6,13,138,94,189,0.986,0.07074,81
"2_FUN000051T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-N4XF21-F1-model_v4",7,0.054,128,84,4,13,137,74,167,0.978,0.09153,78
"301_FUN005656T1unrelaxedrank001alphafold2ptm.pdb","AF-S3C0L4-F1-model_v4",96,0.524,183,84,2,4,186,36,215,1,3.73e-28,999
"301_FUN005656T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1J7J3X2-F1-model_v4",94,0.516,182,85,2,4,185,33,211,1,2.685e-28,996
"301_FUN005656T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0C4DN65-F1-model_v4",87,0.472,184,94,2,4,186,47,228,1,2.508e-26,924
"301_FUN005656T1unrelaxedrank001alphafold2ptm.pdb","AF-R7RYK7-F1-model_v4",94,0.516,182,78,1,4,185,1,172,1,3.974e-26,919
"301_FUN005656T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A428QY47-F1-model_v4",90,0.481,187,91,1,6,186,30,216,1,1.928e-26,899
"303_FUN005664T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A518ENS9-F1-model_v4",15,0.148,101,62,5,71,159,492,580,0.999,0.02544,98
"303_FUN005664T1unrelaxedrank001alphafold2ptm.pdb","AF-W1P5B8-F1-model_v4",21,0.173,121,83,5,50,163,1,111,0.887,0.1579,66
"303_FUN005664T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1G1GKG8-F1-model_v4",13,0.104,124,84,6,55,161,929,1042,0.353,0.6486,46
"303_FUN005664T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2M7KTQ9-F1-model_v4",18,0.159,113,70,6,60,162,611,708,0.277,1.315,43
"303_FUN005664T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1M6Q831-F1-model_v4",14,0.076,182,116,8,9,161,7,165,0.016,3.18,17
"306_FUN005696T1unrelaxedrank001alphafold2ptm.pdb","AF-W3WLU1-F1-model_v4",61,0.388,157,82,7,5,153,26,176,1,2.397e-14,547
"306_FUN005696T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2R4TD26-F1-model_v4",52,0.353,147,87,5,5,147,101,243,1,3.01e-13,528
"306_FUN005696T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A286RHL3-F1-model_v4",46,0.323,142,90,4,14,153,965,1102,1,8.978e-13,512
"306_FUN005696T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A5R9QSV6-F1-model_v4",41,0.288,142,95,5,14,152,935,1073,1,2.248e-11,459
"306_FUN005696T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1V6DER9-F1-model_v4",39,0.265,147,102,5,7,150,970,1113,1,1.995e-09,390
"308_FUN005716T1unrelaxedrank001alphafold2ptm.pdb","AF-F2SZK5-F1-model_v4",82,0.493,166,84,0,31,196,17,182,1,6.361e-21,881
"308_FUN005716T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0J8TY34-F1-model_v4",75,0.46,163,88,0,34,196,25,187,1,5.351e-21,875
"308_FUN005716T1unrelaxedrank001alphafold2ptm.pdb","AF-H6BU51-F1-model_v4",71,0.43,165,90,2,34,196,19,181,1,5.351e-21,858
"308_FUN005716T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0U1LNZ7-F1-model_v4",84,0.506,166,81,1,31,196,16,180,1,2.261e-20,842
"308_FUN005716T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6C1LXV7-F1-model_v4",75,0.462,162,87,0,34,195,25,186,1,4.517e-20,839
"30_FUN000471T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A6A6B611-F1-model_v4",173,0.525,329,136,5,2,311,24,351,1,4.021e-41,1714
"30_FUN000471T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A3N4JA47-F1-model_v4",154,0.487,316,155,6,2,311,23,337,1,3.89e-40,1652
"30_FUN000471T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-K2S384-F1-model_v4",174,0.566,307,123,2,15,312,3,308,1,3.295e-40,1637
"30_FUN000471T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A4Q4MZN5-F1-model_v4",163,0.496,328,144,9,2,312,7,330,1,1.518e-40,1626
"30_FUN000471T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A2J6Q2W5-F1-model_v4",126,0.401,314,166,7,2,304,20,322,1,2.763e-33,1255
"358_FUN006382T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6A6SUE6-F1-model_v4",258,0.677,381,117,4,4,380,29,407,1,2.142e-59,2155
"358_FUN006382T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1Y2TCG1-F1-model_v4",154,0.394,390,212,15,3,382,29,404,1,1.525e-40,1365
"358_FUN006382T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2P6MTX4-F1-model_v4",142,0.354,401,226,15,2,383,83,469,1,1.281e-41,1363
"358_FUN006382T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7C8MME8-F1-model_v4",162,0.416,389,203,15,3,381,263,637,1,1.119e-40,1356
"358_FUN006382T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1J5I7I9-F1-model_v4",122,0.292,417,237,19,5,379,2,402,1,1.696e-33,1067
"596_FUN010580T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2V1E0R6-F1-model_v4",120,0.293,409,235,16,2,398,18,384,1,3.423e-30,1241
"596_FUN010580T1unrelaxedrank001alphafold2ptm.pdb","AF-S3DGB5-F1-model_v4",111,0.263,421,253,17,1,398,3,389,1,2.445e-29,1193
"596_FUN010580T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A094HKW7-F1-model_v4",125,0.307,406,236,19,2,398,77,446,1,1.081e-28,1184
"596_FUN010580T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4S9FML6-F1-model_v4",104,0.366,284,168,9,1,281,17,291,1,2.439e-25,1105
"596_FUN010580T1unrelaxedrank001alphafold2ptm.pdb","AF-W2RJU4-F1-model_v4",114,0.274,415,249,17,1,398,22,401,1,1.189e-26,1091
"607_FUN010737T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6G1GCW0-F1-model_v4",20,0.118,169,70,11,13,103,172,339,0.326,1.578,45
"607_FUN010737T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6A6GQR5-F1-model_v4",19,0.147,129,51,6,3,72,250,378,0.106,4.176,32
"60_FUN000935T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-U1GF15-F1-model_v4",235,0.492,477,242,0,3,479,34,510,1,1.102e-73,2715
