	AOBU01_aa	Acastr1_GeneCatalog_proteins_20160720.aa	Altal1_GeneCatalog_proteins_20141010.aa	Amamu1_GeneCatalog_proteins_20120806.aa	Artol1_GeneCatalog_proteins_20131209.aa	Ascim1_GeneCatalog_proteins_20121221.aa	Aspni_DSM_1_GeneCatalog_proteins_20130526.aa	Aurpu_var_mel1_GeneCatalog_proteins_20130418.aa	CAJPDR01_protein	Capcor1_GeneCatalog_proteins_20160826.aa	Claba1_GeneCatalog_proteins_20160826.aa	Clagr3_GeneCatalog_proteins_20111121.aa	Cocpo1_1_GeneCatalog_proteins_20191103.aa	Dibbae1_GeneCatalog_proteins_20160727.aa	EndpusZ1_GeneCatalog_proteins_20180130.aa	Erypu1_GeneCatalog_proteins_20210223.aa	Exoaq1_GeneCatalog_proteins_20160901.aa	Fonmu1_GeneCatalog_proteins_20160827.aa	Fusgr1_GeneCatalog_proteins_20110524.aa	GTX0466.bin.15.proteins	GTX0486_487.bin.100.proteins	GTX0494.bin.19.proteins	Grascr1_GeneCatalog_proteins_20160731.aa	JALAHW01_protein	JALAIA01_protein	JALAII01_protein	JALAIK01_protein	JALAIP01_protein	JAPDRQ01_protein	JAPETI01_protein	JAPETN01_protein	JAPETP01_protein	JAPETR01_protein	JAPETW01_protein	JAPEUD01_protein	JAPEUF01_protein	Monha1_GeneCatalog_proteins_20131210.aa	Morco1_GeneCatalog_proteins_20140113.aa	Neucr_trp3_1_GeneCatalog_proteins_20140324.aa	Penexp1_GeneCatalog_proteins_20170706.aa	Phach1_GeneCatalog_proteins_20150930.aa	Podan3_GeneCatalog_proteins_20171013.aa	PseVKM4520_1_GeneCatalog_proteins_20210224.aa	SacceM3707_1_GeneCatalog_proteins_20120712.aa	Sclsc1_GeneCatalog_proteins_20110903.aa	Umbpus1_GeneCatalog_proteins_20180130.aa	Xanthoria_parietina_GTX0501.proteins	coassembly.bin.376.proteins	coassembly.bin.378.proteins	coassembly.bin.64.proteins	coassembly.bin.76.proteins
Claba1_GeneCatalog_proteins_20160826.aa	40.0	19.0	101.0	619.0	106.0	104.0	125.0	96.0	56.0	12.0	0.0	59.0	7.0	48.0	37.0	29.0	51.0	6.0	116.0	25.0	31.0	39.0	82.0	32.0	41.0	52.0	65.0	23.0	81.0	31.0	13.0	19.0	49.0	6.0	18.0	15.0	139.0	126.0	41.0	118.0	19.0	85.0	135.0	414.0	25.0	35.0	70.0	35.0	55.0	16.0	26.0
Clagr3_GeneCatalog_proteins_20111121.aa	46.0	29.0	84.0	336.0	78.0	108.0	58.0	27.0	84.0	22.0	62.0	0.0	5.0	70.0	48.0	14.0	53.0	55.0	79.0	36.0	33.0	60.0	102.0	38.0	57.0	99.0	100.0	40.0	50.0	29.0	20.0	28.0	39.0	6.0	12.0	13.0	97.0	87.0	38.0	76.0	10.0	65.0	98.0	189.0	42.0	49.0	111.0	43.0	81.0	31.0	41.0
Cocpo1_1_GeneCatalog_proteins_20191103.aa	16.0	2.0	16.0	166.0	29.0	26.0	29.0	18.0	18.0	6.0	6.0	4.0	0.0	12.0	3.0	6.0	17.0	7.0	27.0	10.0	5.0	6.0	10.0	14.0	6.0	8.0	17.0	30.0	15.0	19.0	0.0	0.0	2.0	5.0	2.0	6.0	33.0	44.0	4.0	23.0	6.0	13.0	44.0	129.0	11.0	9.0	11.0	4.0	29.0	6.0	8.0
Dibbae1_GeneCatalog_proteins_20160727.aa	37.0	10.0	69.0	373.0	100.0	117.0	76.0	49.0	100.0	13.0	49.0	75.0	13.0	0.0	49.0	15.0	59.0	41.0	43.0	25.0	11.0	37.0	113.0	33.0	35.0	61.0	62.0	42.0	56.0	28.0	20.0	29.0	35.0	8.0	27.0	15.0	127.0	94.0	17.0	68.0	10.0	86.0	73.0	218.0	50.0	54.0	60.0	35.0	66.0	12.0	40.0
EndpusZ1_GeneCatalog_proteins_20180130.aa	39.0	18.0	43.0	224.0	72.0	117.0	47.0	41.0	56.0	16.0	36.0	42.0	2.0	55.0	0.0	13.0	51.0	41.0	66.0	28.0	19.0	34.0	90.0	26.0	35.0	62.0	38.0	17.0	52.0	18.0	20.0	25.0	25.0	9.0	10.0	8.0	90.0	81.0	26.0	47.0	7.0	32.0	82.0	182.0	26.0	37.0	74.0	21.0	64.0	31.0	37.0
Erypu1_GeneCatalog_proteins_20210223.aa	28.0	9.0	32.0	80.0	59.0	30.0	39.0	18.0	27.0	39.0	37.0	16.0	29.0	37.0	34.0	0.0	60.0	34.0	45.0	17.0	29.0	5.0	46.0	12.0	12.0	7.0	8.0	5.0	45.0	10.0	9.0	31.0	28.0	12.0	5.0	28.0	70.0	40.0	30.0	31.0	8.0	34.0	26.0	112.0	45.0	44.0	22.0	9.0	30.0	17.0	22.0
Exoaq1_GeneCatalog_proteins_20160901.aa	77.0	46.0	121.0	732.0	141.0	135.0	165.0	105.0	60.0	18.0	54.0	65.0	18.0	65.0	51.0	33.0	0.0	56.0	133.0	44.0	27.0	56.0	102.0	38.0	63.0	65.0	87.0	52.0	94.0	22.0	30.0	34.0	42.0	9.0	26.0	20.0	182.0	130.0	56.0	127.0	26.0	112.0	173.0	483.0	34.0	44.0	94.0	39.0	85.0	30.0	31.0
Fonmu1_GeneCatalog_proteins_20160827.aa	38.0	18.0	99.0	583.0	88.0	91.0	113.0	91.0	56.0	17.0	10.0	57.0	7.0	49.0	49.0	30.0	59.0	0.0	99.0	32.0	27.0	44.0	73.0	38.0	47.0	53.0	78.0	23.0	75.0	30.0	20.0	29.0	39.0	4.0	16.0	16.0	112.0	128.0	50.0	105.0	18.0	76.0	124.0	393.0	31.0	33.0	78.0	34.0	34.0	36.0	43.0
Fusgr1_GeneCatalog_proteins_20110524.aa	117.0	15.0	149.0	567.0	146.0	191.0	161.0	113.0	87.0	45.0	101.0	69.0	37.0	35.0	67.0	43.0	117.0	86.0	0.0	44.0	22.0	60.0	100.0	51.0	51.0	92.0	70.0	30.0	93.0	41.0	15.0	28.0	36.0	12.0	24.0	27.0	179.0	145.0	39.0	173.0	56.0	90.0	135.0	417.0	48.0	12.0	94.0	32.0	99.0	55.0	83.0
GTX0466.bin.15.proteins	18.0	9.0	48.0	338.0	66.0	73.0	54.0	59.0	30.0	18.0	25.0	38.0	11.0	21.0	23.0	15.0	32.0	29.0	43.0	0.0	21.0	30.0	37.0	36.0	25.0	36.0	34.0	22.0	37.0	19.0	14.0	16.0	20.0	2.0	9.0	12.0	68.0	82.0	26.0	64.0	13.0	52.0	74.0	289.0	28.0	17.0	38.0	15.0	42.0	20.0	6.0
GTX0486_487.bin.100.proteins	27.0	15.0	47.0	186.0	28.0	29.0	28.0	18.0	49.0	14.0	28.0	34.0	4.0	9.0	25.0	8.0	18.0	24.0	23.0	16.0	0.0	28.0	16.0	29.0	35.0	47.0	37.0	19.0	17.0	9.0	17.0	15.0	11.0	6.0	4.0	20.0	33.0	50.0	11.0	31.0	8.0	31.0	37.0	125.0	22.0	27.0	38.0	27.0	24.0	22.0	33.0
GTX0494.bin.19.proteins	43.0	12.0	34.0	229.0	67.0	77.0	36.0	39.0	67.0	24.0	40.0	58.0	14.0	39.0	29.0	5.0	49.0	41.0	56.0	38.0	25.0	0.0	55.0	20.0	0.0	2.0	0.0	10.0	35.0	19.0	25.0	29.0	23.0	6.0	4.0	9.0	80.0	47.0	13.0	43.0	13.0	46.0	54.0	141.0	24.0	15.0	0.0	26.0	54.0	20.0	32.0
Grascr1_GeneCatalog_proteins_20160731.aa	51.0	38.0	99.0	476.0	133.0	132.0	132.0	72.0	137.0	28.0	70.0	121.0	12.0	118.0	102.0	25.0	95.0	68.0	93.0	45.0	17.0	64.0	0.0	68.0	80.0	105.0	102.0	35.0	68.0	35.0	26.0	22.0	57.0	20.0	25.0	18.0	160.0	122.0	42.0	145.0	21.0	84.0	132.0	248.0	62.0	66.0	104.0	55.0	129.0	52.0	87.0
JALAHW01_protein	36.0	20.0	33.0	198.0	48.0	59.0	45.0	26.0	58.0	12.0	32.0	48.0	24.0	34.0	25.0	8.0	32.0	36.0	43.0	50.0	37.0	18.0	69.0	0.0	34.0	56.0	34.0	14.0	30.0	19.0	27.0	23.0	20.0	14.0	4.0	22.0	67.0	53.0	12.0	45.0	12.0	49.0	58.0	153.0	34.0	20.0	54.0	26.0	40.0	16.0	36.0
JALAIA01_protein	45.0	21.0	30.0	220.0	67.0	77.0	35.0	32.0	54.0	20.0	45.0	56.0	15.0	35.0	29.0	11.0	52.0	46.0	44.0	38.0	32.0	0.0	66.0	31.0	0.0	0.0	2.0	12.0	33.0	20.0	23.0	28.0	14.0	6.0	9.0	12.0	74.0	57.0	14.0	44.0	14.0	42.0	59.0	130.0	22.0	25.0	4.0	26.0	43.0	16.0	29.0
JALAII01_protein	49.0	27.0	51.0	279.0	102.0	90.0	62.0	51.0	112.0	23.0	53.0	92.0	19.0	62.0	55.0	11.0	56.0	54.0	80.0	46.0	49.0	2.0	101.0	47.0	0.0	0.0	16.0	34.0	54.0	24.0	38.0	36.0	29.0	17.0	16.0	12.0	108.0	66.0	19.0	57.0	19.0	56.0	71.0	191.0	31.0	34.0	21.0	57.0	75.0	28.0	50.0
JALAIK01_protein	47.0	26.0	50.0	232.0	80.0	80.0	68.0	46.0	84.0	28.0	54.0	99.0	23.0	62.0	34.0	7.0	59.0	64.0	61.0	42.0	35.0	0.0	90.0	38.0	2.0	16.0	0.0	20.0	38.0	27.0	28.0	29.0	18.0	21.0	13.0	19.0	90.0	38.0	13.0	64.0	17.0	49.0	73.0	151.0	24.0	34.0	19.0	44.0	60.0	20.0	37.0
JALAIP01_protein	20.0	14.0	29.0	140.0	23.0	40.0	41.0	24.0	30.0	18.0	20.0	35.0	18.0	35.0	21.0	4.0	37.0	24.0	26.0	20.0	18.0	10.0	29.0	17.0	12.0	32.0	19.0	0.0	16.0	8.0	13.0	11.0	6.0	15.0	11.0	6.0	33.0	27.0	8.0	27.0	10.0	15.0	25.0	108.0	9.0	20.0	28.0	20.0	24.0	6.0	36.0
JAPDRQ01_protein	53.0	8.0	75.0	442.0	110.0	135.0	82.0	71.0	41.0	11.0	79.0	59.0	15.0	52.0	61.0	30.0	97.0	75.0	101.0	52.0	16.0	39.0	82.0	31.0	38.0	70.0	46.0	19.0	0.0	28.0	17.0	12.0	49.0	9.0	16.0	0.0	112.0	104.0	39.0	84.0	19.0	88.0	105.0	277.0	34.0	25.0	72.0	27.0	73.0	54.0	52.0
JAPETI01_protein	12.0	9.0	37.0	118.0	26.0	42.0	25.0	20.0	22.0	6.0	25.0	28.0	6.0	26.0	16.0	6.0	11.0	31.0	32.0	14.0	6.0	19.0	35.0	19.0	22.0	24.0	28.0	9.0	24.0	0.0	6.0	8.0	29.0	2.0	6.0	4.0	49.0	34.0	16.0	36.0	6.0	23.0	20.0	113.0	10.0	10.0	41.0	32.0	24.0	8.0	26.0
JAPETN01_protein	11.0	16.0	30.0	188.0	16.0	32.0	17.0	14.0	53.0	13.0	11.0	19.0	0.0	14.0	21.0	8.0	23.0	17.0	11.0	11.0	10.0	28.0	26.0	24.0	27.0	34.0	30.0	15.0	13.0	8.0	0.0	2.0	17.0	5.0	6.0	11.0	20.0	31.0	4.0	23.0	3.0	11.0	31.0	88.0	16.0	24.0	25.0	27.0	18.0	13.0	22.0
JAPETP01_protein	12.0	14.0	29.0	182.0	16.0	19.0	16.0	28.0	43.0	10.0	20.0	22.0	0.0	19.0	23.0	10.0	21.0	26.0	21.0	12.0	17.0	28.0	19.0	18.0	27.0	29.0	26.0	13.0	12.0	9.0	2.0	0.0	11.0	6.0	4.0	18.0	24.0	41.0	11.0	25.0	2.0	20.0	28.0	110.0	14.0	24.0	33.0	15.0	12.0	7.0	22.0
JAPETR01_protein	24.0	27.0	20.0	185.0	58.0	49.0	38.0	26.0	39.0	12.0	43.0	34.0	2.0	32.0	23.0	11.0	29.0	34.0	42.0	18.0	11.0	22.0	43.0	21.0	16.0	27.0	20.0	6.0	38.0	25.0	15.0	12.0	0.0	0.0	8.0	8.0	56.0	55.0	9.0	39.0	5.0	20.0	28.0	124.0	30.0	18.0	26.0	14.0	17.0	15.0	21.0
JAPETW01_protein	7.0	2.0	12.0	69.0	19.0	22.0	24.0	23.0	14.0	3.0	7.0	7.0	5.0	7.0	7.0	11.0	9.0	4.0	12.0	3.0	6.0	7.0	14.0	12.0	7.0	17.0	23.0	14.0	7.0	3.0	4.0	6.0	0.0	0.0	6.0	15.0	14.0	7.0	0.0	13.0	0.0	5.0	19.0	62.0	6.0	11.0	26.0	8.0	3.0	0.0	8.0
JAPEUD01_protein	17.0	8.0	6.0	178.0	26.0	35.0	22.0	16.0	21.0	4.0	14.0	14.0	2.0	32.0	11.0	4.0	18.0	12.0	17.0	8.0	4.0	4.0	26.0	4.0	8.0	16.0	18.0	11.0	15.0	6.0	6.0	4.0	9.0	5.0	0.0	8.0	25.0	31.0	9.0	23.0	2.0	14.0	10.0	143.0	9.0	2.0	26.0	16.0	22.0	6.0	34.0
JAPEUF01_protein	11.0	4.0	7.0	85.0	18.0	14.0	23.0	27.0	15.0	9.0	14.0	13.0	10.0	14.0	8.0	10.0	14.0	12.0	23.0	10.0	16.0	9.0	16.0	26.0	14.0	13.0	22.0	6.0	0.0	4.0	6.0	20.0	7.0	13.0	8.0	0.0	22.0	30.0	2.0	23.0	0.0	23.0	24.0	86.0	13.0	5.0	23.0	7.0	11.0	7.0	17.0
Monha1_GeneCatalog_proteins_20131210.aa	123.0	54.0	140.0	368.0	71.0	146.0	151.0	105.0	112.0	76.0	113.0	102.0	31.0	114.0	98.0	40.0	151.0	100.0	159.0	63.0	44.0	100.0	128.0	86.0	93.0	121.0	107.0	42.0	113.0	47.0	30.0	34.0	49.0	21.0	23.0	47.0	0.0	125.0	45.0	121.0	55.0	112.0	181.0	174.0	71.0	39.0	125.0	75.0	161.0	90.0	116.0
Morco1_GeneCatalog_proteins_20140113.aa	79.0	55.0	101.0	311.0	127.0	200.0	157.0	77.0	64.0	51.0	139.0	119.0	29.0	78.0	113.0	28.0	134.0	105.0	119.0	71.0	58.0	38.0	102.0	54.0	51.0	47.0	30.0	26.0	85.0	31.0	32.0	46.0	51.0	7.0	31.0	27.0	123.0	0.0	40.0	97.0	31.0	63.0	131.0	152.0	47.0	73.0	78.0	65.0	80.0	48.0	78.0
Neucr_trp3_1_GeneCatalog_proteins_20140324.aa	36.0	12.0	47.0	240.0	52.0	100.0	28.0	37.0	22.0	24.0	33.0	35.0	4.0	18.0	23.0	10.0	47.0	43.0	47.0	25.0	11.0	14.0	45.0	13.0	16.0	20.0	16.0	12.0	33.0	18.0	5.0	12.0	9.0	0.0	9.0	2.0	55.0	47.0	0.0	30.0	16.0	24.0	58.0	177.0	31.0	10.0	33.0	12.0	46.0	25.0	33.0
Penexp1_GeneCatalog_proteins_20170706.aa	67.0	32.0	111.0	520.0	122.0	120.0	122.0	101.0	78.0	49.0	109.0	67.0	20.0	64.0	43.0	27.0	123.0	99.0	180.0	60.0	34.0	47.0	126.0	44.0	53.0	58.0	75.0	31.0	85.0	37.0	23.0	27.0	34.0	11.0	31.0	19.0	138.0	115.0	29.0	0.0	35.0	58.0	150.0	402.0	63.0	40.0	82.0	45.0	82.0	70.0	84.0
Phach1_GeneCatalog_proteins_20150930.aa	31.0	2.0	9.0	244.0	39.0	37.0	29.0	12.0	13.0	14.0	16.0	11.0	4.0	8.0	6.0	9.0	19.0	14.0	41.0	13.0	10.0	17.0	19.0	6.0	14.0	21.0	21.0	13.0	19.0	9.0	3.0	3.0	6.0	0.0	2.0	0.0	51.0	36.0	15.0	32.0	0.0	28.0	34.0	176.0	21.0	6.0	22.0	9.0	25.0	15.0	19.0
Podan3_GeneCatalog_proteins_20171013.aa	66.0	29.0	95.0	368.0	95.0	147.0	73.0	57.0	59.0	29.0	71.0	72.0	16.0	61.0	36.0	20.0	97.0	71.0	79.0	39.0	29.0	46.0	82.0	50.0	43.0	55.0	45.0	15.0	78.0	36.0	12.0	23.0	27.0	4.0	19.0	20.0	111.0	80.0	37.0	58.0	28.0	0.0	105.0	213.0	51.0	13.0	62.0	38.0	109.0	53.0	55.0
PseVKM4520_1_GeneCatalog_proteins_20210224.aa	120.0	33.0	114.0	503.0	174.0	174.0	212.0	114.0	101.0	63.0	124.0	79.0	34.0	63.0	93.0	28.0	154.0	114.0	136.0	69.0	38.0	55.0	112.0	61.0	60.0	65.0	85.0	39.0	112.0	24.0	33.0	35.0	50.0	19.0	16.0	21.0	202.0	147.0	65.0	139.0	44.0	102.0	0.0	332.0	76.0	77.0	81.0	48.0	129.0	65.0	96.0
SacceM3707_1_GeneCatalog_proteins_20120712.aa	247.0	171.0	264.0	259.0	169.0	126.0	282.0	252.0	186.0	228.0	267.0	157.0	122.0	175.0	145.0	126.0	270.0	267.0	303.0	236.0	117.0	123.0	175.0	141.0	105.0	155.0	127.0	100.0	191.0	97.0	84.0	99.0	105.0	65.0	145.0	93.0	175.0	153.0	194.0	255.0	173.0	203.0	217.0	0.0	203.0	135.0	213.0	153.0	207.0	180.0	282.0
Sclsc1_GeneCatalog_proteins_20110903.aa	37.0	22.0	63.0	361.0	94.0	179.0	107.0	51.0	41.0	10.0	24.0	41.0	9.0	46.0	44.0	45.0	32.0	26.0	46.0	28.0	22.0	20.0	66.0	38.0	22.0	28.0	26.0	8.0	30.0	8.0	18.0	16.0	32.0	6.0	12.0	9.0	103.0	57.0	36.0	62.0	16.0	64.0	196.0	221.0	0.0	114.0	37.0	27.0	61.0	12.0	45.0
Umbpus1_GeneCatalog_proteins_20180130.aa	49.0	31.0	41.0	233.0	110.0	159.0	56.0	12.0	43.0	18.0	39.0	91.0	19.0	67.0	33.0	49.0	53.0	33.0	35.0	18.0	46.0	10.0	79.0	22.0	25.0	29.0	29.0	22.0	29.0	9.0	29.0	33.0	18.0	10.0	2.0	10.0	86.0	96.0	106.0	49.0	9.0	14.0	133.0	138.0	198.0	0.0	59.0	18.0	30.0	21.0	22.0
Xanthoria_parietina_GTX0501.proteins	80.0	28.0	62.0	329.0	103.0	108.0	79.0	60.0	123.0	31.0	74.0	111.0	20.0	59.0	61.0	26.0	79.0	86.0	91.0	49.0	41.0	0.0	96.0	50.0	4.0	23.0	18.0	29.0	50.0	45.0	27.0	39.0	27.0	17.0	24.0	19.0	116.0	82.0	28.0	78.0	17.0	64.0	81.0	251.0	39.0	48.0	0.0	51.0	88.0	53.0	98.0
coassembly.bin.376.proteins	21.0	16.0	43.0	216.0	48.0	96.0	40.0	21.0	61.0	8.0	35.0	47.0	4.0	38.0	26.0	9.0	39.0	34.0	41.0	16.0	35.0	26.0	51.0	25.0	27.0	59.0	48.0	21.0	26.0	30.0	30.0	19.0	14.0	10.0	16.0	9.0	55.0	71.0	8.0	37.0	8.0	31.0	55.0	168.0	27.0	20.0	55.0	0.0	46.0	19.0	37.0
coassembly.bin.378.proteins	84.0	33.0	127.0	449.0	131.0	181.0	83.0	90.0	80.0	13.0	72.0	91.0	38.0	70.0	72.0	26.0	94.0	43.0	122.0	55.0	46.0	56.0	133.0	54.0	53.0	92.0	60.0	25.0	60.0	38.0	30.0	15.0	31.0	3.0	33.0	12.0	171.0	105.0	54.0	97.0	31.0	107.0	178.0	244.0	76.0	35.0	97.0	55.0	0.0	52.0	82.0
coassembly.bin.64.proteins	33.0	24.0	59.0	467.0	86.0	44.0	95.0	38.0	35.0	11.0	15.0	32.0	8.0	12.0	28.0	17.0	30.0	33.0	56.0	20.0	24.0	23.0	55.0	19.0	14.0	34.0	31.0	9.0	48.0	13.0	16.0	10.0	22.0	0.0	7.0	11.0	109.0	67.0	26.0	75.0	20.0	60.0	74.0	302.0	12.0	21.0	53.0	20.0	45.0	0.0	20.0
coassembly.bin.76.proteins	39.0	28.0	95.0	398.0	93.0	92.0	79.0	56.0	48.0	14.0	24.0	42.0	5.0	36.0	36.0	20.0	33.0	40.0	81.0	6.0	39.0	34.0	86.0	39.0	30.0	55.0	46.0	43.0	46.0	23.0	27.0	30.0	22.0	9.0	24.0	15.0	110.0	83.0	36.0	82.0	21.0	68.0	98.0	353.0	37.0	24.0	96.0	39.0	58.0	20.0	0.0
