genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
bin.135.fa,48.47293954164669,NA,NA,NA,NA,NA,66_1,NA,NA,1,NA,NA,NA,NA
bin.175.fa,89.44433513910435,NA,NA,NA,NA,NA,66_2,NA,NA,1,NA,NA,NA,NA
bin.330.fa,91.15732190388088,NA,NA,NA,NA,NA,67_0,NA,NA,1,NA,NA,NA,NA
bin.374.fa,74.67085529283551,NA,NA,NA,NA,NA,68_0,NA,NA,1,NA,NA,NA,NA
bin.223.fa,66.68631525794703,NA,NA,NA,NA,NA,69_0,NA,NA,1,NA,NA,NA,NA
bin.166.fa,78.5916947844973,NA,NA,NA,NA,NA,70_1,NA,NA,1,NA,NA,NA,NA
bin.271.fa,55.50172252451251,NA,NA,NA,NA,NA,70_2,NA,NA,1,NA,NA,NA,NA
bin.86.fa,73.440429252351,NA,NA,NA,NA,NA,71_0,NA,NA,1,NA,NA,NA,NA
bin.379.fa,79.5893743081248,NA,NA,NA,NA,NA,72_0,NA,NA,1,NA,NA,NA,NA
bin.174.fa,42.31017876391133,NA,NA,NA,NA,NA,73_0,NA,NA,1,NA,NA,NA,NA
bin.375.fa,93.78305721720905,NA,NA,NA,NA,NA,74_0,NA,NA,1,NA,NA,NA,NA
bin.68.fa,60.24626647421727,NA,NA,NA,NA,NA,75_0,NA,NA,1,NA,NA,NA,NA
bin.287.fa,65.06386123101775,NA,NA,NA,NA,NA,76_0,NA,NA,1,NA,NA,NA,NA
bin.173.fa,51.848178194366675,NA,NA,NA,NA,NA,77_0,NA,NA,1,NA,NA,NA,NA
bin.67.fa,80.33587492719934,NA,NA,NA,NA,NA,78_1,NA,NA,1,NA,NA,NA,NA
bin.92.fa,82.60654928301815,NA,NA,NA,NA,NA,78_2,NA,NA,1,NA,NA,NA,NA
bin.182.fa,80.78464900605776,NA,NA,NA,NA,NA,79_0,NA,NA,1,NA,NA,NA,NA
bin.234.fa,59.66746101571409,NA,NA,NA,NA,NA,80_0,NA,NA,1,NA,NA,NA,NA
bin.357.fa,67.23364332233889,NA,NA,NA,NA,NA,81_1,NA,NA,1,NA,NA,NA,NA
bin.63.fa,41.640290403244826,NA,NA,NA,NA,NA,81_2,NA,NA,1,NA,NA,NA,NA
bin.170.fa,61.804777842110425,NA,NA,NA,NA,NA,82_1,NA,NA,1,NA,NA,NA,NA
bin.256.fa,74.82547339236716,NA,NA,NA,NA,NA,82_2,NA,NA,1,NA,NA,NA,NA
bin.34.fa,74.28150033478829,NA,NA,NA,NA,NA,82_3,NA,NA,1,NA,NA,NA,NA
bin.233.fa,85.57857526063673,NA,NA,NA,NA,NA,83_0,NA,NA,1,NA,NA,NA,NA
bin.53.fa,84.5550923261493,NA,NA,NA,NA,NA,84_0,NA,NA,1,NA,NA,NA,NA
bin.115.fa,52.799630535556545,NA,NA,NA,NA,NA,85_0,NA,NA,1,NA,NA,NA,NA
bin.88.fa,73.33090814702194,NA,NA,NA,NA,NA,86_0,NA,NA,1,NA,NA,NA,NA
bin.319.fa,67.80518136024772,NA,NA,NA,NA,NA,87_0,NA,NA,1,NA,NA,NA,NA
bin.291.fa,80.96301992828491,NA,NA,NA,NA,NA,88_0,NA,NA,1,NA,NA,NA,NA
bin.372.fa,55.180139947316476,NA,NA,NA,NA,NA,89_0,NA,NA,1,NA,NA,NA,NA
bin.91.fa,77.8477066019847,NA,NA,NA,NA,NA,90_0,NA,NA,1,NA,NA,NA,NA
bin.126.fa,47.59527523075518,NA,NA,NA,NA,NA,91_1,NA,NA,1,NA,NA,NA,NA
bin.200.fa,45.367051327856394,NA,NA,NA,NA,NA,91_2,NA,NA,1,NA,NA,NA,NA
bin.380.fa,70.30845592041301,NA,NA,NA,NA,NA,92_0,NA,NA,1,NA,NA,NA,NA
bin.356.fa,62.94961218924357,NA,NA,NA,NA,NA,93_1,NA,NA,1,NA,NA,NA,NA
bin.49.fa,64.77760003848464,NA,NA,NA,NA,NA,93_2,NA,NA,1,NA,NA,NA,NA
bin.24.fa,62.73912133372895,NA,NA,NA,NA,NA,94_1,NA,NA,1,NA,NA,NA,NA
bin.246.fa,88.79951974294737,NA,NA,NA,NA,NA,94_2,NA,NA,1,NA,NA,NA,NA
bin.87.fa,67.02038021316312,NA,NA,NA,NA,NA,94_3,NA,NA,1,NA,NA,NA,NA
bin.107.fa,60.98584315772121,NA,NA,NA,NA,NA,95_1,NA,NA,1,NA,NA,NA,NA
bin.212.fa,66.96224790729694,NA,NA,NA,NA,NA,95_2,NA,NA,1,NA,NA,NA,NA
bin.381.fa,13.562771684978296,NA,NA,NA,NA,NA,95_3,NA,NA,1,NA,NA,NA,NA
bin.385.fa,57.62879780909378,NA,NA,NA,NA,NA,95_4,NA,NA,1,NA,NA,NA,NA
bin.251.fa,93.98480056605692,NA,NA,NA,NA,NA,96_0,NA,NA,1,NA,NA,NA,NA
bin.312.fa,57.6898918900452,NA,NA,NA,NA,NA,97_0,NA,NA,1,NA,NA,NA,NA
bin.265.fa,64.78048251480415,NA,NA,NA,NA,NA,98_0,NA,NA,1,NA,NA,NA,NA
bin.203.fa,67.59004342510583,NA,NA,NA,NA,NA,99_0,NA,NA,1,NA,NA,NA,NA
bin.108.fa,48.21571379352547,NA,NA,NA,NA,NA,100_0,NA,NA,1,NA,NA,NA,NA
bin.204.fa,63.82909074917573,NA,NA,NA,NA,NA,101_0,NA,NA,1,NA,NA,NA,NA
bin.133.fa,74.83803682724266,NA,NA,NA,NA,NA,102_0,NA,NA,1,NA,NA,NA,NA
bin.172.fa,72.92150352091126,NA,NA,NA,NA,NA,103_0,NA,NA,1,NA,NA,NA,NA
bin.160.fa,17.898198251138318,NA,NA,NA,NA,NA,104_0,NA,NA,1,NA,NA,NA,NA
bin.238.fa,77.46483715897429,NA,NA,NA,NA,NA,105_0,NA,NA,1,NA,NA,NA,NA
bin.320.fa,65.86490734784721,NA,NA,NA,NA,NA,106_0,NA,NA,1,NA,NA,NA,NA
bin.114.fa,69.7014664782776,NA,NA,NA,NA,NA,107_0,NA,NA,1,NA,NA,NA,NA
bin.151.fa,78.12502574205561,NA,NA,NA,NA,NA,108_0,NA,NA,1,NA,NA,NA,NA
bin.284.fa,81.26748319203914,NA,NA,NA,NA,NA,109_0,NA,NA,1,NA,NA,NA,NA
