Orthogroup	AOBU01 Cyphellophora europaea	Acastr1 Acarospora strigata	Altal1 Alternaria alternata	Amamu1 Amanita muscaria	Artol1 Arthrobotrys oligospora	Ascim1 Ascobolus immersus	Aspni Aspergillus niger CBS 513.88	Aurpu Aureobasidium pullulans var. melanogenum	CAJPDR01 Alectoria fallacina	Capcor1 Capronia coronata	Claba1 Cladophialophora bantiana CBS 173.52	Clagr3 Cladonia grayi	Cocpo1 Coccidioides posadasii	Dibbae1 Dibaeis baeomyces 	EndpusZ1 Endocarpon pusillum	Erypu1 Erysiphe pulchra	Exoaq1 Exophiala aquamarina	Fonmu1 Fonsecaea multimorphosa	Fusgr1 Fusarium graminearum	GTX0466.bin.15.proteins GTX0466.bin.15.proteins	GTX0486 GTX0486_487.bin.100.proteins	GTX0494.bin.19.proteins GTX0494.bin.19.proteins	Grascr1 Graphis scripta	JALAHW01 Teloschistes peruensis	JALAIA01 Xanthoria mediterranea	JALAII01 Xanthoria aureola	JALAIK01 Xanthoria steineri	JALAIP01 Caloplaca aegaea	JAPDRQ01 Knufia sp. JES_112	JAPETI01 Alyxoria varia	JAPETN01 Candelaria pacifica	JAPETP01 Candelina mexicana	JAPETR01 Chrysothrix sp. TS-e1954	JAPETW01 Lichina confinis	JAPEUD01 Sarea resinae	JAPEUF01 Thelocarpon impressellum	Monha1 Monacrosporium haptotylum	Morco1 Morchella importuna	Neucr Neurospora crassa trp3	Penexp1 Penicillium expansum	Phach1 Phaeomoniella chlamydospora	Podan3 Podospora anserina	PseVKM4520 Pseudogymnoascus sp. VKM F-4520	SacceM3707 Saccharomyces cerevisiae	Sclsc1 Sclerotinia sclerotiorum	Umbpus1 Lassalia pustulata	Xanthoria parietina genome from this paper	coassembly.bin.376.proteins coassembly.bin.376.proteins	coassembly.bin.378.proteins coassembly.bin.378.proteins	coassembly.bin.64.proteins coassembly.bin.64.proteins	coassembly.bin.76.proteins coassembly.bin.76.proteins
OG0002313	XP_008711551.1	jgi|Acastr1|126963|AST1_001314-RA	jgi|Altal1|946695|e_gw1.26.157.1	jgi|Amamu1|1020890|MIX1969_6914_30	jgi|Artol1|10042|AOL_s00193g80m.01	jgi|Ascim1|411876|fgenesh1_RNNotator_kg.9_#_27_#_Locus893v2rpkm32.35	jgi|Aspni_DSM_1|164410|An12g00720m.01	jgi|Aurpu_var_mel1|38021|e_gw1.1.1865.1	CAF9937313.1	jgi|Capcor1|99880|A1O1_07057T0	jgi|Claba1|133486|Z519_10884T0	jgi|Clagr3|2557|CLAGR_002528-RA	jgi|Cocpo1_1|2892|XM_003067845.1	jgi|Dibbae1|2155|DIBA_008670-RA	jgi|EndpusZ1|4315|EPUS_02845T0	jgi|Erypu1|6814|transcript_POS84495	jgi|Exoaq1|10427|A1O9_06795T0	jgi|Fonmu1|8092|Z520_11065T0	jgi|Fusgr1|3039|FGSG_02659T0	GTX0466b15_001849-T1	GTX0486b100_000615-T1	GTX0494b19_002531-T1	jgi|Grascr1|10193|GST1_004648-RA	KAI4106108.1	KAI4100991.1	KAI4237125.1	KAI4224571.1	KAI4288008.1	KAJ9664153.1	KAI9665313.1	KAI9719221.1	KAI9706060.1	KAI9718514.1	KAI9756862.1	KAI9835420.1	KAI9825662.1	jgi|Monha1|4588|H072_4685m.01	jgi|Morco1|608938|estExt_Genemark1.C_630054	jgi|Neucr_trp3_1|9487|Neucr2.NCU05120T0	jgi|Penexp1|1294|PEXP_028490T0	jgi|Phach1|1316|rna1315	jgi|Podan3|206807|mRNA_5635	jgi|PseVKM4520_1|7533|transcript_KFZ08134	jgi|SacceM3707_1|31324|fgenesh1_kg.2_#_334_#_NP_014794.1	jgi|Sclsc1|885|SS1G_00885T0	jgi|Umbpus1|101278|LPUS_02678T0	FUN_010057_T1_FUN_010057	coassemb376_003972-T1	coassemb378_003856-T1	coassemb64_001571-T1	coassemb76_001269-T1
OG0002328	XP_008711807.1	jgi|Acastr1|122352|AST1_005250-RA	jgi|Altal1|636812|CE636811_8461	jgi|Amamu1|124811|estExt_Genewise1Plus.C_180074	jgi|Artol1|2687|AOL_s00054g20m.01	jgi|Ascim1|357061|estExt_Genemark1.C_20026	jgi|Aspni_DSM_1|157108|An02g05850m.01	jgi|Aurpu_var_mel1|48065|e_gw1.9.847.1	CAF9931796.1	jgi|Capcor1|96279|A1O1_03424T0	jgi|Claba1|129344|Z519_07647T0	jgi|Clagr3|6087|CLAGR_005138-RA	jgi|Cocpo1_1|101|XM_003065052.1	jgi|Dibbae1|10405|DIBA_012008-RA	jgi|EndpusZ1|7351|EPUS_03659T0	jgi|Erypu1|4689|transcript_POS85835	jgi|Exoaq1|7304|A1O9_03834T0	jgi|Fonmu1|9981|Z520_03378T0	jgi|Fusgr1|6576|FGSG_12781T0	GTX0466b15_002644-T1	GTX0486b100_000453-T1	GTX0494b19_001745-T1	jgi|Grascr1|12653|GST1_001947-RA	KAI4108749.1	KAI4100872.1	KAI4235826.1	KAI4229199.1	KAI4284294.1	KAJ9664560.1	KAI9671086.1	KAI9720208.1	KAI9704819.1	KAI9719330.1	KAI9750646.1	KAI9839247.1	KAI9824076.1	jgi|Monha1|1107|H072_1107m.01	jgi|Morco1|495771|e_gw1.78.74.1	jgi|Neucr_trp3_1|6052|Neucr2.NCU04459T0	jgi|Penexp1|3084|PEXP_105270T0	jgi|Phach1|6631|rna6630	jgi|Podan3|209981|mRNA_8809	jgi|PseVKM4520_1|3766|transcript_KFZ14623	jgi|SacceM3707_1|36938|fgenesh1_kg.14_#_124_#_Locus1886v1rpkm35.64	jgi|Sclsc1|10029|SS1G_14454T0	jgi|Umbpus1|104865|LPUS_11694T0	FUN_006511_T1_FUN_006511	coassemb376_003222-T1	coassemb378_009534-T1	coassemb64_000684-T1	coassemb76_002984-T1
OG0002330	XP_008711878.1	jgi|Acastr1|122350|AST1_005248-RA	jgi|Altal1|636933|CE636932_63863	jgi|Amamu1|11257|gm1.5267_g	jgi|Artol1|5235|AOL_s00079g9m.01	jgi|Ascim1|410199|fgenesh1_RNNotator_kg.2_#_36_#_Locus529v1rpkm287.55	jgi|Aspni_DSM_1|167835|An16g05420m.01	jgi|Aurpu_var_mel1|47793|e_gw1.9.722.1	CAF9931787.1	jgi|Capcor1|97193|A1O1_04349T0	jgi|Claba1|129211|Z519_07512T0	jgi|Clagr3|6085|CLAGR_005136-RA	jgi|Cocpo1_1|2867|XM_003067820.1	jgi|Dibbae1|10403|DIBA_012006-RA	jgi|EndpusZ1|4498|EPUS_06066T0	jgi|Erypu1|2844|transcript_POS82656	jgi|Exoaq1|8007|A1O9_04540T0	jgi|Fonmu1|10111|Z520_03509T0	jgi|Fusgr1|6783|FGSG_05843T0	GTX0466b15_002654-T1	GTX0486b100_000455-T1	GTX0494b19_001742-T1	jgi|Grascr1|12651|GST1_001945-RA	KAI4108751.1	KAI4100870.1	KAI4235828.1	KAI4229201.1	KAI4284293.1	KAJ9652722.1	KAI9671030.1	KAI9720206.1	KAI9704817.1	KAI9714110.1	KAI9750648.1	KAI9839249.1	KAI9824078.1	jgi|Monha1|7217|H072_7455m.01	jgi|Morco1|538823|fgenesh1_kg.52_#_49_#_Locus850v1rpkm214.24	jgi|Neucr_trp3_1|6410|Neucr2.NCU07281T0	jgi|Penexp1|7175|PEXP_004500T0	jgi|Phach1|1923|rna1922	jgi|Podan3|210299|mRNA_9127	jgi|PseVKM4520_1|4088|transcript_KFZ14050	jgi|SacceM3707_1|33549|fgenesh1_kg.5_#_484_#_NP_009755.1	jgi|Sclsc1|10031|SS1G_14456T0	jgi|Umbpus1|104867|LPUS_11696T0	FUN_006509_T1_FUN_006509	coassemb376_001401-T1	coassemb378_007464-T1	coassemb64_002091-T1	coassemb76_008229-T1
OG0002333	XP_008711939.1	jgi|Acastr1|120629|AST1_002201-RA	jgi|Altal1|1019477|fgenesh1_kg.8_#_156_#_Locus6353v1rpkm14.49	jgi|Amamu1|68661|e_gw1.4.292.1	jgi|Artol1|9913|AOL_s00188g314m.01	jgi|Ascim1|419598|fgenesh1_RNNotator_kg.230_#_4_#_Locus2760v1rpkm58.75	jgi|Aspni_DSM_1|168105|An16g08220m.01	jgi|Aurpu_var_mel1|41989|e_gw1.4.218.1	CAF9924729.1	jgi|Capcor1|96206|A1O1_03351T0	jgi|Claba1|135994|Z519_12517T0	jgi|Clagr3|3744|CLAGR_003446-RA	jgi|Cocpo1_1|5737|XM_003070690.1	jgi|Dibbae1|9719|DIBA_003158-RA	jgi|EndpusZ1|4640|EPUS_02130T0	jgi|Erypu1|6255|transcript_POS84874	jgi|Exoaq1|7242|A1O9_03772T0	jgi|Fonmu1|5919|Z520_09732T0	jgi|Fusgr1|1293|FGSG_01102T0	GTX0466b15_002027-T1	GTX0486b100_003661-T1	GTX0494b19_002113-T1	jgi|Grascr1|4708|GST1_009191-RA	KAI4103456.1	KAI4099178.1	KAI4229239.1	KAI4227866.1	KAI4287097.1	KAJ9656327.1	KAI9669444.1	KAI9720382.1	KAI9698219.1	KAI9714992.1	KAI9754194.1	KAI9834773.1	KAI9828717.1	jgi|Monha1|9326|H072_9762m.01	jgi|Morco1|525020|estExt_Genewise1Plus.C_340196	jgi|Neucr_trp3_1|867|Neucr2.NCU02675T0	jgi|Penexp1|10225|PEXP_019480T0	jgi|Phach1|4469|rna4468	jgi|Podan3|202649|mRNA_1477	jgi|PseVKM4520_1|5512|transcript_KFZ11309	jgi|SacceM3707_1|31524|fgenesh1_kg.2_#_534_#_NP_014633.1	jgi|Sclsc1|11407|SS1G_04436T0	jgi|Umbpus1|100997|LPUS_07731T0	FUN_001322_T1_FUN_001322	coassemb376_004119-T1	coassemb378_011719-T1	coassemb64_007669-T1	coassemb76_006211-T1
OG0002335	XP_008711990.1	jgi|Acastr1|124209|AST1_008295-RA	jgi|Altal1|980399|estExt_Genewise1Plus.C_2_t20071	jgi|Amamu1|8939|gm1.2949_g	jgi|Artol1|6503|AOL_s00081g335m.01	jgi|Ascim1|410661|fgenesh1_RNNotator_kg.3_#_101_#_Locus2063v1rpkm79.01	jgi|Aspni_DSM_1|166759|An15g02360m.01	jgi|Aurpu_var_mel1|54176|e_gw1.19.336.1	CAF9911469.1	jgi|Capcor1|93624|A1O1_00757T0	jgi|Claba1|132368|Z519_10687T0	jgi|Clagr3|8705|CLAGR_009131-RA	jgi|Cocpo1_1|2522|XM_003067475.1	jgi|Dibbae1|2234|DIBA_001361-RA	jgi|EndpusZ1|7195|EPUS_08034T0	jgi|Erypu1|5872|transcript_POS85097	jgi|Exoaq1|9769|A1O9_06202T0	jgi|Fonmu1|8969|Z520_03044T0	jgi|Fusgr1|1814|FGSG_01573T0	GTX0466b15_008164-T1	GTX0486b100_001278-T1	GTX0494b19_002751-T1	jgi|Grascr1|354|GST1_005804-RA	KAI4105105.1	KAI4104314.1	KAI4236228.1	KAI4229493.1	KAI4283540.1	KAJ9660114.1	KAI9659642.1	KAI9723211.1	KAI9706395.1	KAI9710183.1	KAI9754627.1	KAI9839512.1	KAI9824585.1	jgi|Monha1|941|H072_941m.01	jgi|Morco1|558605|estExt_fgenesh1_pm.C_210073	jgi|Neucr_trp3_1|2991|Neucr2.NCU05410T0	jgi|Penexp1|5734|PEXP_010430T0	jgi|Phach1|5528|rna5527	jgi|Podan3|206370|mRNA_5198	jgi|PseVKM4520_1|4530|transcript_KFZ13311	jgi|SacceM3707_1|31720|fgenesh1_kg.2_#_730_#_NP_014501.1	jgi|Sclsc1|4219|SS1G_10675T0	jgi|Umbpus1|100372|LPUS_06958T0	FUN_006183_T1_FUN_006183	coassemb376_004285-T1	coassemb378_010073-T1	coassemb64_003990-T1	coassemb76_006551-T1
OG0002338	XP_008712016.1	jgi|Acastr1|126430|AST1_001125-RA	jgi|Altal1|1064689|gm1.8924_g	jgi|Amamu1|562206|CE360969_39033	jgi|Artol1|7409|AOL_s00097g225m.01	jgi|Ascim1|324319|gm1.4319_g	jgi|Aspni_DSM_1|169004|An18g05690m.01	jgi|Aurpu_var_mel1|76249|fgenesh1_pm.14_#_69	CAF9904803.1	jgi|Capcor1|93613|A1O1_00746T0	jgi|Claba1|132009|Z519_10327T0	jgi|Clagr3|8251|CLAGR_007324-RA	jgi|Cocpo1_1|3359|XM_003068312.1	jgi|Dibbae1|417|DIBA_004457-RA	jgi|EndpusZ1|3561|EPUS_03068T0	jgi|Erypu1|561|transcript_POS84098	jgi|Exoaq1|3894|A1O9_11416T0	jgi|Fonmu1|4155|Z520_01140T0	jgi|Fusgr1|7342|FGSG_06346T0	GTX0466b15_004648-T1	GTX0486b100_002424-T1	GTX0494b19_001469-T1	jgi|Grascr1|2814|GST1_000973-RA	KAI4109882.1	KAI4105535.1	KAI4231267.1	KAI4227992.1	KAI4286435.1	KAJ9652333.1	KAI9656109.1	KAI9717374.1	KAI9707306.1	KAI9724261.1	KAI9752428.1	KAI9825180.1	KAI9822931.1	jgi|Monha1|557|H072_557m.01	jgi|Morco1|11304|CE11303_7473	jgi|Neucr_trp3_1|1014030|CE14030_3159	jgi|Penexp1|7208|PEXP_004010T0	jgi|Phach1|2504|rna2503	jgi|Podan3|208874|mRNA_7702	jgi|PseVKM4520_1|10702|transcript_KFZ23660	jgi|SacceM3707_1|37035|fgenesh1_kg.14_#_221_#_NP_010660.1	jgi|Sclsc1|6801|SS1G_11898T0	jgi|Umbpus1|104172|LPUS_10899T0	FUN_003595_T1_FUN_003595	coassemb376_002340-T1	coassemb378_002000-T1	coassemb64_005790-T1	coassemb76_004289-T1
OG0002344	XP_008712111.1	jgi|Acastr1|127465|AST1_000281-RA	jgi|Altal1|1057601|gm1.1836_g	jgi|Amamu1|158039|fgenesh1_kg.6_#_269_#_Locus6215v1rpkm32.81	jgi|Artol1|6991|AOL_s00083g461m.01	jgi|Ascim1|245082|estExt_Genewise1Plus.C_2390020	jgi|Aspni_DSM_1|167636|An16g03380m.01	jgi|Aurpu_var_mel1|48284|e_gw1.10.343.1	CAF9927783.1	jgi|Capcor1|98977|A1O1_06147T0	jgi|Claba1|132215|Z519_10534T0	jgi|Clagr3|10228|CLAGR_009383-RA	jgi|Cocpo1_1|367|XM_003065318.1	jgi|Dibbae1|553|DIBA_000942-RA	jgi|EndpusZ1|3696|EPUS_08712T0	jgi|Erypu1|5949|transcript_POS87751	jgi|Exoaq1|27|A1O9_00027T0	jgi|Fonmu1|4089|Z520_01074T0	jgi|Fusgr1|7032|FGSG_06070T0	GTX0466b15_005137-T1	GTX0486b100_006436-T1	GTX0494b19_005196-T1	jgi|Grascr1|7173|GST1_003418-RA	KAI4109186.1	KAI4099331.1	KAI4232902.1	KAI4229651.1	KAI4288165.1	KAJ9659631.1	KAI9670189.1	KAI9723713.1	KAI9707122.1	KAI9724254.1	KAI9754883.1	KAI9827644.1	KAI9822116.1	jgi|Monha1|10125|H072_10671m.01	jgi|Morco1|515859|estExt_Genewise1Plus.C_2_t20097	jgi|Neucr_trp3_1|10777|Neucr2.NCU05894T0	jgi|Penexp1|2290|PEXP_051430T0	jgi|Phach1|1790|rna1789	jgi|Podan3|207844|mRNA_6672	jgi|PseVKM4520_1|4440|transcript_KFZ13451	jgi|SacceM3707_1|36937|fgenesh1_kg.14_#_123_#_NP_010737.1	jgi|Sclsc1|6776|SS1G_11873T0	jgi|Umbpus1|105250|LPUS_12144T0	FUN_003687_T1_FUN_003687	coassemb376_003412-T1	coassemb378_005802-T1	coassemb64_004316-T1	coassemb76_000318-T1
OG0002348	XP_008712163.1	jgi|Acastr1|123675|AST1_002991-RA	jgi|Altal1|939441|e_gw1.14.564.1	jgi|Amamu1|66331|e_gw1.2.1423.1	jgi|Artol1|3761|AOL_s00075g99m.01	jgi|Ascim1|328526|gm1.8526_g	jgi|Aspni_DSM_1|157230|An02g07090m.01	jgi|Aurpu_var_mel1|49882|e_gw1.12.227.1	CAF9939579.1	jgi|Capcor1|93598|A1O1_00731T0	jgi|Claba1|132037|Z519_10355T0	jgi|Clagr3|295|CLAGR_000287-RA	jgi|Cocpo1_1|3563|XM_003068516.1	jgi|Dibbae1|524|DIBA_000913-RA	jgi|EndpusZ1|3194|EPUS_04059T0	jgi|Erypu1|6425|transcript_POS84756	jgi|Exoaq1|3953|A1O9_11475T0	jgi|Fonmu1|4128|Z520_01113T0	jgi|Fusgr1|11453|FGSG_09891T0	GTX0466b15_007144-T1	GTX0486b100_007978-T1	GTX0494b19_004935-T1	jgi|Grascr1|1414|GST1_002472-RA	KAI4109952.1	KAI4099676.1	KAI4237459.1	KAI4229128.1	KAI4287511.1	KAJ9659636.1	KAI9653907.1	KAI9709216.1	KAI9699700.1	KAI9715520.1	KAI9756770.1	KAI9833593.1	KAI9817039.1	jgi|Monha1|6239|H072_6435m.01	jgi|Morco1|531426|fgenesh1_kg.2_#_63_#_Locus979v1rpkm184.52	jgi|Neucr_trp3_1|7962|Neucr2.NCU06717T0	jgi|Penexp1|7785|PEXP_007660T0	jgi|Phach1|2484|rna2483	jgi|Podan3|205006|mRNA_3834	jgi|PseVKM4520_1|10664|transcript_KFZ23709	jgi|SacceM3707_1|30362|fgenesh1_kg.1_#_224_#_NP_010183.1	jgi|Sclsc1|11809|SS1G_04838T0	jgi|Umbpus1|100202|LPUS_06781T0	FUN_003414_T1_FUN_003414	coassemb376_000748-T1	coassemb378_000657-T1	coassemb64_000825-T1	coassemb76_005985-T1
OG0002350	XP_008712266.1	jgi|Acastr1|120921|AST1_005090-RA	jgi|Altal1|1062041|gm1.6276_g	jgi|Amamu1|526963|CE325726_4799	jgi|Artol1|5609|AOL_s00079g383m.01	jgi|Ascim1|368296|estExt_fgenesh1_pm.C_30070	jgi|Aspni_DSM_1|166617|An15g00930m.01	jgi|Aurpu_var_mel1|65193|fgenesh1_pg.7_#_185	CAF9914113.1	jgi|Capcor1|98601|A1O1_05767T0	jgi|Claba1|130699|Z519_09008T0	jgi|Clagr3|4864|CLAGR_003659-RA	jgi|Cocpo1_1|6120|XM_003071073.1	jgi|Dibbae1|5893|DIBA_010258-RA	jgi|EndpusZ1|8158|EPUS_08399T0	jgi|Erypu1|6806|transcript_POS84500	jgi|Exoaq1|9714|A1O9_06147T0	jgi|Fonmu1|2492|Z520_07126T0	jgi|Fusgr1|8573|FGSG_07397T0	GTX0466b15_007974-T1	GTX0486b100_000723-T1	GTX0494b19_000570-T1	jgi|Grascr1|7758|GST1_002688-RA	KAI4107564.1	KAI4104814.1	KAI4238323.1	KAI4229859.1	KAI4290446.1	KAJ9652228.1	KAI9661349.1	KAI9721482.1	KAI9700416.1	KAI9720510.1	KAI9746993.1	KAI9837539.1	KAI9826861.1	jgi|Monha1|10581|H072_11228m.01	jgi|Morco1|559186|estExt_fgenesh1_pm.C_310005	jgi|Neucr_trp3_1|7399|Neucr2.NCU03823T0	jgi|Penexp1|6314|PEXP_100840T0	jgi|Phach1|2764|rna2763	jgi|Podan3|204888|mRNA_3716	jgi|PseVKM4520_1|7857|transcript_KFZ07697	jgi|SacceM3707_1|34077|fgenesh1_kg.6_#_387_#_NP_011396.1	jgi|Sclsc1|7787|SS1G_13210T0	jgi|Umbpus1|102805|LPUS_09398T0	FUN_007770_T1_FUN_007770	coassemb376_000300-T1	coassemb378_005205-T1	coassemb64_000233-T1	coassemb76_008914-T1
OG0002352	XP_008712315.1	jgi|Acastr1|126399|AST1_006573-RA	jgi|Altal1|957505|estExt_Genewise1.C_5_t10222	jgi|Amamu1|157733|fgenesh1_kg.5_#_479_#_Locus5560v1rpkm38.28	jgi|Artol1|3006|AOL_s00054g339m.01	jgi|Ascim1|410006|fgenesh1_RNNotator_kg.1_#_153_#_Locus2796v1rpkm57.78	jgi|Aspni_DSM_1|155312|An01g02600m.01	jgi|Aurpu_var_mel1|61948|fgenesh1_pg.1_#_550	CAF9916620.1	jgi|Capcor1|93989|A1O1_01126T0	jgi|Claba1|137056|Z519_03590T0	jgi|Clagr3|6245|CLAGR_005602-RA	jgi|Cocpo1_1|3468|XM_003068421.1	jgi|Dibbae1|5298|DIBA_009492-RA	jgi|EndpusZ1|4887|EPUS_08417T0	jgi|Erypu1|422|transcript_POS84213	jgi|Exoaq1|9967|A1O9_06400T0	jgi|Fonmu1|10562|Z520_03763T0	jgi|Fusgr1|2171|FGSG_01893T0	GTX0466b15_005074-T1	GTX0486b100_008486-T1	GTX0494b19_007800-T1	jgi|Grascr1|7387|GST1_001625-RA	KAI4100946.1	KAI4100410.1	KAI4230685.1	KAI4222492.1	KAI4281850.1	KAJ9651474.1	KAI9672848.1	KAI9720888.1	KAI9703728.1	KAI9715630.1	KAI9751455.1	KAI9833012.1	KAI9814155.1	jgi|Monha1|1705|H072_1706m.01	jgi|Morco1|577805|gm1.8581_g	jgi|Neucr_trp3_1|8113|Neucr2.NCU04121T0	jgi|Penexp1|8006|PEXP_102490T0	jgi|Phach1|6584|rna6583	jgi|Podan3|205160|mRNA_3988	jgi|PseVKM4520_1|5167|transcript_KFZ12058	jgi|SacceM3707_1|32620|fgenesh1_kg.4_#_217_#_NP_015354.1	jgi|Sclsc1|14343|SS1G_07372T0	jgi|Umbpus1|106175|LPUS_04240T0	FUN_002402_T1_FUN_002402	coassemb376_003582-T1	coassemb378_000142-T1	coassemb64_008176-T1	coassemb76_007723-T1
OG0002354	XP_008712352.1	jgi|Acastr1|126322|AST1_007287-RA	jgi|Altal1|1028779|fgenesh1_pm.4_#_194	jgi|Amamu1|74723|e_gw1.13.134.1	jgi|Artol1|1879|AOL_s00043g41m.01	jgi|Ascim1|410822|fgenesh1_RNNotator_kg.3_#_262_#_Locus4718v1rpkm30.08	jgi|Aspni_DSM_1|165829|An14g00410m.01	jgi|Aurpu_var_mel1|64850|fgenesh1_pg.6_#_244	CAF9915670.1	jgi|Capcor1|98943|A1O1_06113T0	jgi|Claba1|132151|Z519_10469T0	jgi|Clagr3|4596|CLAGR_003953-RA	jgi|Cocpo1_1|5506|XM_003070459.1	jgi|Dibbae1|7837|DIBA_011510-RA	jgi|EndpusZ1|1827|EPUS_03196T0	jgi|Erypu1|1869|transcript_POS87167	jgi|Exoaq1|530|A1O9_00531T0	jgi|Fonmu1|4025|Z520_01010T0	jgi|Fusgr1|10184|FGSG_13439T0	GTX0466b15_004887-T1	GTX0486b100_002221-T1	GTX0494b19_006464-T1	jgi|Grascr1|12375|GST1_004985-RA	KAI4097935.1	KAI4099983.1	KAI4232815.1	KAI4225254.1	KAI4262306.1	KAJ9655948.1	KAI9668776.1	KAI9719781.1	KAI9700790.1	KAI9712590.1	KAI9749608.1	KAI9833150.1	KAI9827837.1	jgi|Monha1|9493|H072_9960m.01	jgi|Morco1|516144|estExt_Genewise1Plus.C_3_t10270	jgi|Neucr_trp3_1|8930|Neucr2.NCU05587T1	jgi|Penexp1|10932|PEXP_021660T0	jgi|Phach1|1550|rna1549	jgi|Podan3|207011|mRNA_5839	jgi|PseVKM4520_1|2287|transcript_KFZ17235	jgi|SacceM3707_1|36770|fgenesh1_kg.13_#_215_#_NP_013186.1	jgi|Sclsc1|11738|SS1G_04767T0	jgi|Umbpus1|100396|LPUS_06986T0	FUN_006944_T1_FUN_006944	coassemb376_004947-T1	coassemb378_009640-T1	coassemb64_004029-T1	coassemb76_003216-T1
OG0002358	XP_008712513.1	jgi|Acastr1|126116|AST1_004355-RA	jgi|Altal1|1018151|fgenesh1_kg.5_#_383_#_Locus2339v1rpkm65.47	jgi|Amamu1|183398|fgenesh1_pm.2_#_207	jgi|Artol1|2977|AOL_s00054g310m.01	jgi|Ascim1|103615|CE103614_24589	jgi|Aspni_DSM_1|168774|An18g03290m.01	jgi|Aurpu_var_mel1|82857|gm1.3253_g	CAF9922143.1	jgi|Capcor1|92672|A1O1_09097T0	jgi|Claba1|137000|Z519_03534T0	jgi|Clagr3|2271|CLAGR_001669-RA	jgi|Cocpo1_1|3414|XM_003068367.1	jgi|Dibbae1|5140|DIBA_002493-RA	jgi|EndpusZ1|4863|EPUS_05002T0	jgi|Erypu1|5915|transcript_POS85067	jgi|Exoaq1|9395|A1O9_05824T0	jgi|Fonmu1|10613|Z520_03814T0	jgi|Fusgr1|6305|FGSG_05430T0	GTX0466b15_009213-T1	GTX0486b100_006643-T1	GTX0494b19_000780-T1	jgi|Grascr1|5943|GST1_009493-RA	KAI4103861.1	KAI4095998.1	KAI4235591.1	KAI4224986.1	KAI4289673.1	KAJ9653059.1	KAI9672824.1	KAI9720818.1	KAI9703625.1	KAI9715632.1	KAI9747139.1	KAI9837966.1	KAI9811390.1	jgi|Monha1|1734|H072_1735m.01	jgi|Morco1|598950|MIX18048_16303_39	jgi|Neucr_trp3_1|4821|Neucr2.NCU00488T0	jgi|Penexp1|460|PEXP_057800T0	jgi|Phach1|6484|rna6483	jgi|Podan3|211064|mRNA_9892	jgi|PseVKM4520_1|627|transcript_KFZ20501	jgi|SacceM3707_1|38220|fgenesh1_kg.20_#_94_#_NP_009386.1	jgi|Sclsc1|14090|SS1G_07119T0	jgi|Umbpus1|106703|LPUS_04900T0	FUN_002250_T1_FUN_002250	coassemb376_003503-T1	coassemb378_006652-T1	coassemb64_002077-T1	coassemb76_003261-T1
OG0002360	XP_008712519.1	jgi|Acastr1|126393|AST1_006567-RA	jgi|Altal1|984267|estExt_Genewise1Plus.C_5_t20330	jgi|Amamu1|606585|CE405348_17956	jgi|Artol1|2625|AOL_s00043g788m.01	jgi|Ascim1|3729|CE3728_11835	jgi|Aspni_DSM_1|168885|An18g04400m.01	jgi|Aurpu_var_mel1|83472|gm1.3868_g	CAF9922137.1	jgi|Capcor1|93902|A1O1_01038T0	jgi|Claba1|136966|Z519_03500T0	jgi|Clagr3|2266|CLAGR_001664-RA	jgi|Cocpo1_1|3409|XM_003068362.1	jgi|Dibbae1|9369|DIBA_000818-RA	jgi|EndpusZ1|4847|EPUS_04986T0	jgi|Erypu1|5702|transcript_POS85203	jgi|Exoaq1|9431|A1O9_05860T0	jgi|Fonmu1|10653|Z520_03854T0	jgi|Fusgr1|8386|FGSG_07241T0	GTX0466b15_009206-T1	GTX0486b100_001038-T1	GTX0494b19_000764-T1	jgi|Grascr1|691|GST1_001404-RA	KAI4103874.1	KAI4089613.1	KAI4222784.1	KAI4225625.1	KAI4287361.1	KAJ9653054.1	KAI9672834.1	KAI9720801.1	KAI9703641.1	KAI9727680.1	KAI9747492.1	KAI9824155.1	KAI9817605.1	jgi|Monha1|1938|H072_1939m.01	jgi|Morco1|552033|fgenesh1_pm.9_#_64	jgi|Neucr_trp3_1|4710|Neucr2.NCU00389T0	jgi|Penexp1|463|PEXP_057830T0	jgi|Phach1|6479|rna6478	jgi|Podan3|210850|mRNA_9678	jgi|PseVKM4520_1|4978|transcript_KFZ12388	jgi|SacceM3707_1|38190|fgenesh1_kg.20_#_64_#_NP_009364.1	jgi|Sclsc1|13946|SS1G_06975T0	jgi|Umbpus1|106674|LPUS_04870T0	FUN_002270_T1_FUN_002270	coassemb376_001688-T1	coassemb378_008158-T1	coassemb64_000619-T1	coassemb76_005972-T1
