Orthogroup	Astpho2 Asterochloris glomerata	Auxeprot1 Auxenochlorella protothecoides	Batpra1 Bathycoccus prasinos	Botrbrau1 Botryococcus braunii	Chabra1 Chara braunii	Chleu1 Chlamydomonas eustigma	Chlorella Chlorella variabilis NC64A	Chloso1228 Chlorella sorokiana	Coccomyxa Coccomyxa subellipsoidea	GTX0465.bin.1.proteins GTX0465.bin.1.proteins	GTX0468.bin.53.proteins GTX0468.bin.53.proteins	GTX0493.bin.23.proteins GTX0493.bin.23.proteins	TrebA12 Trebouxia A1-2	Ulvmu1 Ulva mutabilis	Volca2 Volvox carteri	coassembly.bin.195.proteins coassembly.bin.195.proteins	trebgel Trebouxia gelatinosa	trebus Trebouxia sp. TZW2008
OG0002894	jgi|Astpho2|1373|e_gw1.00025.82.1_t	jgi|Auxeprot1|1829|XM_011401429.1	jgi|Batpra1|991|XM_007510494.1	jgi|Botrbrau1|21423|Bobra.0216s0038.1	jgi|Chabra1|336569|rna-CBR_g31748	jgi|Chleu1|4855|rna-CEUSTIGMA_g621.t1	jgi|ChlNC64A_1|133992|IGS.gm_10_00283	jgi|Chloso1228_1|9744|CSI_122800003602-RA	jgi|Coc_C169_1|16420|e_gw1.10.366.1	GTX0465b1_001835-T1	GTX0468b53_001208-T1	GTX0493b23_008056-T1	jgi|TrebA12_1|5241|rna-gnl|WGS_VXIU|FRX49_06934-mRNA-1_mrna_FRX49_06934	jgi|Ulvmu1|9861|UM057_0015.1	jgi|Volca2_1|11061|Vocar.0004s0413.2	coassemb195_008379-T1	KN805288.1_1456-5054	BDIU01000049.1_47098-51259
OG0002896	jgi|Astpho2|1399|Aster-06251	jgi|Auxeprot1|5034|XM_011398011.1	jgi|Batpra1|3238|XM_007508396.1	jgi|Botrbrau1|12613|Bobra.0169s0140.1	jgi|Chabra1|347657|rna-CBR_g50003	jgi|Chleu1|3837|rna-CEUSTIGMA_g3835.t1	jgi|ChlNC64A_1|34805|estExt_Genewise1Plus.C_50582	jgi|Chloso1228_1|5227|CSI_122800001111-RA	jgi|Coc_C169_1|19462|e_gw1.18.65.1	GTX0465b1_005469-T1	GTX0468b53_002069-T1	GTX0493b23_000402-T1	jgi|TrebA12_1|4270|rna-gnl|WGS_VXIU|FRX49_06559-mRNA-1_mrna_FRX49_06559	jgi|Ulvmu1|9354|UM050_0106.1	jgi|Volca2_1|8077|Vocar.0028s0129.1	coassemb195_007642-T1	KN805358.1_2584504-2591173	BDIU01000425.1_35455-40404
OG0002897	jgi|Astpho2|1426|e_gw1.00025.86.1_t	jgi|Auxeprot1|4420|XM_011403506.1	jgi|Batpra1|810|XM_007510792.1	jgi|Botrbrau1|21392|Bobra.0216s0012.1	jgi|Chabra1|329329|rna-CBR_g17150	jgi|Chleu1|3250|rna-CEUSTIGMA_g3596.t1	jgi|ChlNC64A_1|57614|estExt_fgenesh3_pg.C_80100	jgi|Chloso1228_1|3122|CSI_122800007789-RA	jgi|Coc_C169_1|24336|estExt_Genewise1.C_100318	GTX0465b1_005472-T1	GTX0468b53_011656-T1	GTX0493b23_006646-T1	jgi|TrebA12_1|4274|rna-gnl|WGS_VXIU|FRX49_06666-mRNA-1_mrna_FRX49_06666	jgi|Ulvmu1|346|UM001_0351.1	jgi|Volca2_1|12618|Vocar.0005s0442.1	coassemb195_003695-T1	KN805369.1_1365496-1370609	BDIU01000425.1_13139-14630
OG0002911	jgi|Astpho2|1635|fgenesh1_pm.00030_%23_3_t	jgi|Auxeprot1|771|XM_011400432.1	jgi|Batpra1|7625|XM_007510962.1	jgi|Botrbrau1|20212|Bobra.31_1s0009.1	jgi|Chabra1|346733|rna-CBR_g48715	jgi|Chleu1|11682|rna-CEUSTIGMA_g9132.t1	jgi|ChlNC64A_1|48978|fgenesh3_pm.C_scaffold_15000012	jgi|Chloso1228_1|12003|CSI_122800007366-RA	jgi|Coc_C169_1|27516|estExt_Genewise1Plus.C_30289	GTX0465b1_000702-T1	GTX0468b53_005432-T1	GTX0493b23_004373-T1	jgi|TrebA12_1|9387|rna-gnl|WGS_VXIU|FRX49_10485-mRNA-1_mrna_FRX49_10485	jgi|Ulvmu1|7919|UM004_0151.1	jgi|Volca2_1|1427|Vocar.0001s1275.1	coassemb195_002483-T1	KN805367.1_1804935-1806287	BDIU01000067.1_51540-56995
OG0002930	jgi|Astpho2|1975|Aster-00484	jgi|Auxeprot1|372|XM_011400097.1	jgi|Batpra1|4588|XM_007513997.1	jgi|Botrbrau1|11531|Bobra.0393s0010.1	jgi|Chabra1|330702|rna-CBR_g22389	jgi|Chleu1|767|rna-CEUSTIGMA_g11020.t1	jgi|ChlNC64A_1|29482|estExt_Genewise1.C_20185	jgi|Chloso1228_1|9097|CSI_122800003015-RA	jgi|Coc_C169_1|54984|estExt_fgenesh1_pm.C_250018	GTX0465b1_004931-T1	GTX0468b53_011959-T1	GTX0493b23_001516-T1	jgi|TrebA12_1|9124|rna-gnl|WGS_VXIU|FRX49_10167-mRNA-1_mrna_FRX49_10167	jgi|Ulvmu1|8155|UM040_0052.1	jgi|Volca2_1|15|Vocar.0001s0012.1	coassemb195_004090-T1	KN805367.1_530346-536691	BDIU01000522.1_8503-14884
OG0002933	jgi|Astpho2|2012|gw1.00038.418.1_t	jgi|Auxeprot1|4539|XM_011403625.1	jgi|Batpra1|148|XM_007515578.1	jgi|Botrbrau1|6859|Bobra.152_2s0018.1	jgi|Chabra1|340854|rna-CBR_g38608	jgi|Chleu1|12985|rna-CEUSTIGMA_g10043.t1	jgi|ChlNC64A_1|138099|IGS.gm_2_00566	jgi|Chloso1228_1|8739|CSI_122800002657-RA	jgi|Coc_C169_1|11104|e_gw1.1.631.1	GTX0465b1_003191-T1	GTX0468b53_000179-T1	GTX0493b23_001813-T1	jgi|TrebA12_1|9109|rna-gnl|WGS_VXIU|FRX49_10163-mRNA-1_mrna_FRX49_10163	jgi|Ulvmu1|968|UM102_0051.1	jgi|Volca2_1|11032|Vocar.0004s0388.1	coassemb195_000442-T1	KN805368.1_7768921-7777411	BDIU01000498.1_23546-27597
OG0002937	jgi|Astpho2|2115|fgenesh1_pg.00038_%23_170_t	jgi|Auxeprot1|4959|XM_011404043.1	jgi|Batpra1|3843|XM_007514683.1	jgi|Botrbrau1|3737|Bobra.0363s0018.1	jgi|Chabra1|343471|rna-CBR_g38139	jgi|Chleu1|8478|rna-CEUSTIGMA_g1162.t1	jgi|ChlNC64A_1|137880|IGS.gm_2_00347	jgi|Chloso1228_1|8948|CSI_122800002866-RA	jgi|Coc_C169_1|64379|estExt_Genemark1.C_10705	GTX0465b1_001385-T1	GTX0468b53_004302-T1	GTX0493b23_008905-T1	jgi|TrebA12_1|10958|rna-gnl|WGS_VXIU|FRX49_02524-mRNA-1_mrna_FRX49_02524	jgi|Ulvmu1|296|UM001_0300.1	jgi|Volca2_1|6117|Vocar.0020s0158.1	coassemb195_009651-T1	KN805312.1_496836-501855	BDIU01000494.1_9003-14484
OG0002939	jgi|Astpho2|2147|e_gw1.00040.9.1_t	jgi|Auxeprot1|1741|XM_011401401.1	jgi|Batpra1|2893|XM_007508671.1	jgi|Botrbrau1|5884|Bobra.0366s0062.1	jgi|Chabra1|328840|rna-CBR_g16801	jgi|Chleu1|7338|rna-CEUSTIGMA_g5818.t1	jgi|ChlNC64A_1|35731|estExt_Genewise1Plus.C_120110	jgi|Chloso1228_1|1472|CSI_122800005110-RA	jgi|Coc_C169_1|31779|estExt_Genewise1Plus.C_250027	GTX0465b1_004506-T1	GTX0468b53_000183-T1	GTX0493b23_007142-T1	jgi|TrebA12_1|13711|rna-gnl|WGS_VXIU|FRX49_03682-mRNA-1_mrna_FRX49_03682	jgi|Ulvmu1|8280|UM041_0091.1	jgi|Volca2_1|4646|Vocar.0018s0049.1	coassemb195_001623-T1	JUBA01000806.1_227-5444	BDIU01000287.1_80670-88403
OG0002941	jgi|Astpho2|2171|fgenesh1_pm.00040_%23_15_t	jgi|Auxeprot1|2953|XM_011402415.1	jgi|Batpra1|3670|XM_007514944.1	jgi|Botrbrau1|9404|Bobra.0252s0029.1	jgi|Chabra1|338913|rna-CBR_g36921	jgi|Chleu1|1687|rna-CEUSTIGMA_g2892.t1	jgi|ChlNC64A_1|59206|estExt_fgenesh3_pg.C_290020	jgi|Chloso1228_1|465|CSI_122800000465-RA	jgi|Coc_C169_1|29889|estExt_Genewise1Plus.C_110251	GTX0465b1_000064-T1	GTX0468b53_005930-T1	GTX0493b23_003847-T1	jgi|TrebA12_1|2259|rna-gnl|WGS_VXIU|FRX49_05021-mRNA-1_mrna_FRX49_05021	jgi|Ulvmu1|9579|UM054_0009.1	jgi|Volca2_1|3689|Vocar.0015s0137.1	coassemb195_001582-T1	KN805359.1_1375348-1385572	BDIU01000287.1_297638-302471
OG0002945	jgi|Astpho2|2226|Aster-03208	jgi|Auxeprot1|3862|XM_011403093.1	jgi|Batpra1|2475|XM_007509028.1	jgi|Botrbrau1|17140|Bobra.0157s0037.1	jgi|Chabra1|345693|rna-CBR_g40358	jgi|Chleu1|8676|rna-CEUSTIGMA_g6778.t1	jgi|ChlNC64A_1|49237|fgenesh3_pm.C_scaffold_29000018	jgi|Chloso1228_1|236|CSI_122800000236-RA	jgi|Coc_C169_1|20907|e_gw1.25.119.1	GTX0465b1_008173-T1	GTX0468b53_011269-T1	GTX0493b23_000296-T1	jgi|TrebA12_1|13684|rna-gnl|WGS_VXIU|FRX49_03569-mRNA-1_mrna_FRX49_03569	jgi|Ulvmu1|10950|UM007_0129.1	jgi|Volca2_1|4892|Vocar.0018s0273.1	coassemb195_006739-T1	KN805359.1_1046650-1056488	BDIU01000555.1_71062-74211
OG0002946	jgi|Astpho2|2256|e_gw1.00040.97.1_t	jgi|Auxeprot1|5855|XM_011398664.1	jgi|Batpra1|1937|XM_007509903.1	jgi|Botrbrau1|7741|Bobra.0159s0171.1	jgi|Chabra1|345267|rna-CBR_g39879	jgi|Chleu1|10221|rna-CEUSTIGMA_g7920.t1	jgi|ChlNC64A_1|24273|e_gw1.12.564.1	jgi|Chloso1228_1|1730|CSI_122800005368-RA	jgi|Coc_C169_1|26426|estExt_Genewise1.C_250106	GTX0465b1_001728-T1	GTX0468b53_001465-T1	GTX0493b23_000122-T1	jgi|TrebA12_1|13648|rna-gnl|WGS_VXIU|FRX49_03671-mRNA-1_mrna_FRX49_03671	jgi|Ulvmu1|6643|UM003_0281.1	jgi|Volca2_1|3626|Vocar.0015s0077.1	coassemb195_003884-T1	KN805368.1_7366706-7373432	BDIU01000036.1_26396-32752
OG0002949	jgi|Astpho2|2294|e_gw1.00040.130.1_t	jgi|Auxeprot1|83|XM_011397446.1	jgi|Batpra1|4862|XM_007513943.1	jgi|Botrbrau1|9450|Bobra.0252s0071.1	jgi|Chabra1|355346|rna-CBR_g52408	jgi|Chleu1|13726|rna-CEUSTIGMA_g10567.t1	jgi|ChlNC64A_1|33026|estExt_Genewise1.C_290015	jgi|Chloso1228_1|80|CSI_122800000080-RA	jgi|Coc_C169_1|24520|estExt_Genewise1.C_110247	GTX0465b1_000766-T1	GTX0468b53_001732-T1	GTX0493b23_003418-T1	jgi|TrebA12_1|6474|rna-gnl|WGS_VXIU|FRX49_08289-mRNA-1_mrna_FRX49_08289	jgi|Ulvmu1|10926|UM007_0105.1	jgi|Volca2_1|13464|Vocar.0006s0140.2	coassemb195_000387-T1	KN805267.1_1042476-1047548	BDIU01000132.1_78579-81061
OG0002953	jgi|Astpho2|2367|gw1.00044.78.1_t	jgi|Auxeprot1|5750|XM_011397328.1	jgi|Batpra1|4737|XM_007514199.1	jgi|Botrbrau1|7100|Bobra.0165s0121.1	jgi|Chabra1|348315|rna-CBR_g45432	jgi|Chleu1|8631|rna-CEUSTIGMA_g6733.t1	jgi|ChlNC64A_1|139358|IGS.gm_24_00138	jgi|Chloso1228_1|330|CSI_122800000330-RA	jgi|Coc_C169_1|64485|estExt_Genemark1.C_20180	GTX0465b1_002440-T1	GTX0468b53_005337-T1	GTX0493b23_003329-T1	jgi|TrebA12_1|13270|rna-gnl|WGS_VXIU|FRX49_03657-mRNA-1_mrna_FRX49_03657	jgi|Ulvmu1|7936|UM004_0169.1	jgi|Volca2_1|14267|Vocar.0007s0085.1	coassemb195_003990-T1	KN805359.1_2355237-2363475	BDIU01000035.1_101622-105359
OG0002956	jgi|Astpho2|2423|e_gw1.00044.113.1_t	jgi|Auxeprot1|2673|XM_011402178.1	jgi|Batpra1|1278|XM_007510230.1	jgi|Botrbrau1|23241|Bobra.0041s0077.1	jgi|Chabra1|331543|rna-CBR_g20014	jgi|Chleu1|472|rna-CEUSTIGMA_g2428.t1	jgi|ChlNC64A_1|33921|estExt_Genewise1Plus.C_20514	jgi|Chloso1228_1|8737|CSI_122800002655-RA	jgi|Coc_C169_1|44692|fgenesh1_pg.19_#_74	GTX0465b1_001656-T1	GTX0468b53_011390-T1	GTX0493b23_004111-T1	jgi|TrebA12_1|13102|rna-gnl|WGS_VXIU|FRX49_12528-mRNA-1_mrna_FRX49_12528	jgi|Ulvmu1|3937|UM018_0160.1	jgi|Volca2_1|3279|Vocar.0014s0061.1	coassemb195_003428-T1	KN805272.1_332056-336849	BDIU01000068.1_146763-149068
OG0002960	jgi|Astpho2|2468|e_gw1.00048.131.1_t	jgi|Auxeprot1|4188|XM_011403273.1	jgi|Batpra1|1592|XM_007509733.1	jgi|Botrbrau1|20160|Bobra.0173s0060.1	jgi|Chabra1|331646|rna-CBR_g20117	jgi|Chleu1|13041|rna-CEUSTIGMA_g10099.t1	jgi|ChlNC64A_1|36861|estExt_Genewise1Plus.C_230008	jgi|Chloso1228_1|687|CSI_122800000687-RA	jgi|Coc_C169_1|52425|estExt_fgenesh1_pm.C_20192	GTX0465b1_007128-T1	GTX0468b53_007954-T1	GTX0493b23_004912-T1	jgi|TrebA12_1|3931|rna-gnl|WGS_VXIU|FRX49_06218-mRNA-1_mrna_FRX49_06218	jgi|Ulvmu1|3876|UM018_0097.1	jgi|Volca2_1|5227|Vocar.0002s0029.1	coassemb195_003662-T1	KN805358.1_1270373-1275027	BDIU01000226.1_27564-30894
OG0002965	jgi|Astpho2|2510|Aster-04227	jgi|Auxeprot1|2001|XM_011401601.1	jgi|Batpra1|7245|XM_007511421.1	jgi|Botrbrau1|7651|Bobra.0159s0093.1	jgi|Chabra1|326975|rna-CBR_g10966	jgi|Chleu1|9847|rna-CEUSTIGMA_g1428.t1	jgi|ChlNC64A_1|19917|e_gw1.3.727.1	jgi|Chloso1228_1|10680|CSI_122800004497-RA	jgi|Coc_C169_1|12468|e_gw1.2.416.1	GTX0465b1_000457-T1	GTX0468b53_009011-T1	GTX0493b23_004521-T1	jgi|TrebA12_1|3855|rna-gnl|WGS_VXIU|FRX49_06203-mRNA-1_mrna_FRX49_06203	jgi|Ulvmu1|8776|UM048_0031.1	jgi|Volca2_1|14353|Vocar.0007s0161.1	coassemb195_009754-T1	KN805336.1_2556-6272	BDIU01000261.1_163655-168921
OG0002972	jgi|Astpho2|2674|fgenesh1_pm.00049_%23_16_t	jgi|Auxeprot1|4220|XM_011403305.1	jgi|Batpra1|3145|XM_007508369.1	jgi|Botrbrau1|22029|Bobra.0024s0043.1	jgi|Chabra1|346891|rna-CBR_g41441	jgi|Chleu1|10491|rna-CEUSTIGMA_g8190.t1	jgi|ChlNC64A_1|54929|fgenesh3_pg.C_scaffold_27000033	jgi|Chloso1228_1|5110|CSI_122800000994-RA	jgi|Coc_C169_1|38125|fgenesh1_pm.18_#_78	GTX0465b1_005135-T1	GTX0468b53_004926-T1	GTX0493b23_003012-T1	jgi|TrebA12_1|1147|rna-gnl|WGS_VXIU|FRX49_04180-mRNA-1_mrna_FRX49_04180	jgi|Ulvmu1|9840|UM056_0081.1	jgi|Volca2_1|916|Vocar.0001s0822.1	coassemb195_002207-T1	KN805368.1_6968060-6972641	BDIU01000013.1_230554-233612
OG0002973	jgi|Astpho2|2676|Aster-00867	jgi|Auxeprot1|5364|XM_011398308.1	jgi|Batpra1|1666|XM_007509621.1	jgi|Botrbrau1|13906|Bobra.0017s0013.1	jgi|Chabra1|334537|rna-CBR_g24146	jgi|Chleu1|9263|rna-CEUSTIGMA_g7327.t1	jgi|ChlNC64A_1|23687|e_gw1.11.98.1	jgi|Chloso1228_1|11536|CSI_122800005901-RA	jgi|Coc_C169_1|26626|estExt_Genewise1Plus.C_10196	GTX0465b1_004433-T1	GTX0468b53_008181-T1	GTX0493b23_001489-T1	jgi|TrebA12_1|305|rna-gnl|WGS_VXIU|FRX49_00034-mRNA-1_mrna_FRX49_00034	jgi|Ulvmu1|4022|UM189_0006.1	jgi|Volca2_1|11165|Vocar.0004s0498.1	coassemb195_004185-T1	JUBA01000690.1_1-913	BDIU01000141.1_100797-106304
OG0002984	jgi|Astpho2|2855|fgenesh1_pg.00050_%23_115_t	jgi|Auxeprot1|5909|XM_011398718.1	jgi|Batpra1|2764|XM_007508686.1	jgi|Botrbrau1|8165|Bobra.357_2s0011.1	jgi|Chabra1|347677|rna-CBR_g50023	jgi|Chleu1|9456|rna-CEUSTIGMA_g7510.t1	jgi|ChlNC64A_1|58077|estExt_fgenesh3_pg.C_120113	jgi|Chloso1228_1|1657|CSI_122800005295-RA	jgi|Coc_C169_1|64193|estExt_Genemark1.C_10318	GTX0465b1_007435-T1	GTX0468b53_009678-T1	GTX0493b23_004449-T1	jgi|TrebA12_1|13620|rna-gnl|WGS_VXIU|FRX49_03764-mRNA-1_mrna_FRX49_03764	jgi|Ulvmu1|5214|UM022_0007.1	jgi|Volca2_1|11561|Vocar.0042s0098.1	coassemb195_005040-T1	KN805262.1_22885-29770	BDIU01000036.1_151034-157553
