genome,completeness,contamination,location,length,N50
GTX0465.bin.18.fa,67.36,0.75,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.18.fa,982073,8540
GTX0465.bin.23.fa,63.8,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.23.fa,4338035,43901
GTX0465.bin.25.fa,94.79,4.19,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.25.fa,2761866,14422
GTX0465.bin.32.fa,71.55,1.72,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.32.fa,4960437,19456
GTX0465.bin.6.fa,87.48,1.37,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.6.fa,3826392,9756
GTX0466.bin.12.fa,94.36,1.72,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.12.fa,4263357,44902
GTX0466.bin.17.fa,73.87,0.84,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.17.fa,3401273,6129
GTX0466.bin.19.fa,85.8,5.36,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.19.fa,3506930,8695
GTX0466.bin.2.fa,59.27,1.8,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.2.fa,1902321,13216
GTX0466.bin.22.fa,75.47,5.06,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.22.fa,2596812,7502
GTX0466.bin.23.fa,63.8,7.8,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.23.fa,2087728,4412
GTX0466.bin.25.fa,91.83,5.65,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.25.fa,8346304,355888
GTX0466.bin.27.fa,55.42,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.27.fa,601848,4812
GTX0466.bin.31.fa,67.24,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.31.fa,2489479,6814
GTX0466.bin.32.fa,89.76,1.49,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.32.fa,3332456,14626
GTX0466.bin.39.fa,95.33,2.62,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.39.fa,4159583,67621
GTX0466.bin.4.fa,83.67,3.17,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.4.fa,3718234,10329
GTX0466.bin.44.fa,89.74,0.26,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.44.fa,3941867,28612
GTX0466.bin.45.fa,85.3,7.76,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.45.fa,4892280,11170
GTX0466.bin.47.fa,84.84,5.11,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.47.fa,8657775,9122
GTX0466.bin.52.fa,54.39,0.93,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.52.fa,2309827,5503
GTX0466.bin.53.fa,91.58,1.08,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.53.fa,3816884,21035
GTX0466.bin.55.fa,84.88,4.07,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.55.fa,3535148,16530
GTX0466.bin.56.fa,94.72,7.63,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.56.fa,4037988,20843
GTX0466.bin.6.fa,76.55,2.31,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.6.fa,2896482,11185
GTX0466.bin.67.fa,72.39,2.57,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.67.fa,2444245,6568
GTX0466.bin.69.fa,74.74,1.79,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.69.fa,3773236,5592
GTX0466.bin.7.fa,68.31,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.7.fa,2748676,7130
GTX0466.bin.71.fa,82.08,6.67,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.71.fa,4975890,8535
GTX0466.bin.74.fa,97.13,0.67,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.74.fa,3969347,41983
GTX0466.bin.75.fa,98.51,1.24,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.75.fa,3950272,109324
GTX0466.bin.79.fa,63.21,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.79.fa,546415,10217
GTX0466.bin.81.fa,95.44,6.82,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.81.fa,4246426,22474
GTX0466.bin.82.fa,61.38,5.18,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.82.fa,2419354,5999
GTX0466.bin.83.fa,66.03,1.72,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.83.fa,3734959,6442
GTX0466.bin.84.fa,93.77,4.89,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.84.fa,4380534,29964
GTX0466.bin.86.fa,60.3,1.29,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.86.fa,1810605,5301
GTX0466.bin.89.fa,95.45,4.77,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.89.fa,2900352,32653
GTX0466.bin.9.fa,99.26,1.23,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.9.fa,4423146,94063
GTX0484.bin.1.fa,83.15,6.27,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.1.fa,7911921,10292
GTX0484.bin.11.fa,87.66,5.51,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.11.fa,4798783,16026
GTX0484.bin.12.fa,51.72,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.12.fa,758001,532329
GTX0484.bin.13.fa,96.67,0.95,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.13.fa,3715918,98096
GTX0484.bin.14.fa,87.18,8.39,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.14.fa,5346867,8217
GTX0484.bin.17.fa,64.6,3.5,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.17.fa,4029030,4850
GTX0484.bin.18.fa,98.1,1.67,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.18.fa,4566559,109432
GTX0484.bin.21.fa,78.29,2.63,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.21.fa,3164125,6571
GTX0484.bin.22.fa,97.84,2.35,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.22.fa,5788019,40180
GTX0484.bin.25.fa,97.62,0.06,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.25.fa,6361604,93973
GTX0484.bin.26.fa,93.96,2.08,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.26.fa,3317318,19008
GTX0484.bin.28.fa,94.12,1.47,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.28.fa,5739210,61813
GTX0484.bin.4.fa,55.8,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.4.fa,2030020,4839
GTX0468.bin.1.fa,94.02,3.42,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.1.fa,4520355,103068
GTX0468.bin.12.fa,85.71,8.19,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.12.fa,3004242,8182
GTX0468.bin.14.fa,98.77,0.99,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.14.fa,3863089,58953
GTX0468.bin.15.fa,89.9,1.89,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.15.fa,4944394,10334
GTX0468.bin.17.fa,95.67,4.27,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.17.fa,4505694,258385
GTX0468.bin.19.fa,99.7,0.74,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.19.fa,4452352,81028
GTX0468.bin.2.fa,98.81,2.18,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.2.fa,6185814,96429
GTX0468.bin.22.fa,86.59,5.63,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.22.fa,3799205,18354
GTX0468.bin.23.fa,94.2,3.48,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.23.fa,5993163,45425
GTX0468.bin.25.fa,98.01,7.82,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.25.fa,4682428,44450
GTX0468.bin.26.fa,80.85,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.26.fa,3409478,10230
GTX0468.bin.3.fa,88.56,0.5,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.3.fa,3713026,162170
GTX0468.bin.30.fa,92.95,5.13,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.30.fa,5521056,15779
GTX0468.bin.34.fa,80.46,9.41,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.34.fa,3169169,7973
GTX0468.bin.35.fa,91.67,0.46,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.35.fa,4381684,60016
GTX0468.bin.37.fa,97.46,6.83,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.37.fa,5791765,28757
GTX0468.bin.4.fa,97.22,5.18,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.4.fa,5352768,190945
GTX0468.bin.43.fa,92.24,5.5,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.43.fa,4055186,18707
GTX0468.bin.44.fa,98.59,2.27,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.44.fa,3070252,285930
GTX0468.bin.45.fa,87.54,1.73,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.45.fa,2655348,11680
GTX0468.bin.46.fa,50.73,5.99,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.46.fa,5917579,4242
GTX0468.bin.47.fa,67.24,3.45,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.47.fa,4710994,10908
GTX0468.bin.49.fa,95.88,3.04,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.49.fa,3568729,61361
GTX0468.bin.50.fa,94.54,1.71,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.50.fa,4060639,32396
GTX0468.bin.59.fa,83.74,4.42,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.59.fa,2835623,32495
GTX0468.bin.6.fa,54.64,0.94,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.6.fa,2275813,4309
GTX0468.bin.60.fa,92.59,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.60.fa,4001293,38416
GTX0468.bin.62.fa,98.44,4.22,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.62.fa,7310356,60029
GTX0468.bin.63.fa,99.01,0.57,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.63.fa,4555527,256997
GTX0468.bin.65.fa,98.29,1.35,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.65.fa,3487392,151703
GTX0468.bin.68.fa,88.52,4.55,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.68.fa,3352678,8683
GTX0468.bin.7.fa,95.11,4.58,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.7.fa,4728865,33018
GTX0468.bin.70.fa,78.93,8.48,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.70.fa,2516951,14304
GTX0468.bin.72.fa,89.35,3.7,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.72.fa,3717630,16038
GTX0468.bin.76.fa,95.02,4.81,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.76.fa,4488479,22175
GTX0468.bin.79.fa,90.1,5.05,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.79.fa,3959130,34582
GTX0468.bin.80.fa,93.1,7.71,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.80.fa,3612293,21650
GTX0468.bin.9.fa,80.02,0.31,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.9.fa,3638275,9199
GTX0486_487.bin.1.fa,91.16,1.26,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.1.fa,3459881,11435
GTX0486_487.bin.103.fa,87.57,3.35,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.103.fa,2879991,15853
GTX0486_487.bin.21.fa,95.29,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.21.fa,3148156,123185
GTX0486_487.bin.22.fa,95.7,6.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.22.fa,3750418,45646
GTX0486_487.bin.26.fa,84.14,6.44,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.26.fa,4887528,7206
GTX0486_487.bin.30.fa,84.08,2.4,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.30.fa,4456715,8153
GTX0486_487.bin.31.fa,76.13,1.53,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.31.fa,2941819,8103
GTX0486_487.bin.33.fa,90.71,2.14,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.33.fa,3646580,8865
GTX0486_487.bin.36.fa,85.33,2.89,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.36.fa,3687059,12352
GTX0486_487.bin.40.fa,87.49,7.45,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.40.fa,3098473,12138
GTX0486_487.bin.41.fa,68.97,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.41.fa,4883926,8241
GTX0486_487.bin.47.fa,70.71,1.04,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.47.fa,2871077,31377
GTX0486_487.bin.48.fa,94.19,2.52,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.48.fa,2893286,29893
GTX0486_487.bin.49.fa,88.11,4.11,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.49.fa,5477663,8953
GTX0486_487.bin.5.fa,74.66,4.97,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.5.fa,2487724,6112
GTX0486_487.bin.50.fa,87.08,6.46,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.50.fa,4398609,9128
GTX0486_487.bin.54.fa,68.58,2.37,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.54.fa,2667900,5673
GTX0486_487.bin.57.fa,56.97,3.61,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.57.fa,3151786,5868
GTX0486_487.bin.61.fa,86.89,1.75,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.61.fa,2629197,10208
GTX0486_487.bin.66.fa,68.92,0.74,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.66.fa,2595141,6523
GTX0486_487.bin.69.fa,83.8,7.94,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.69.fa,2774931,8264
GTX0486_487.bin.70.fa,71.24,4.55,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.70.fa,2589788,17232
GTX0486_487.bin.73.fa,99.11,0.95,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.73.fa,4465744,39020
GTX0486_487.bin.74.fa,93.52,0.1,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.74.fa,4513327,34082
GTX0486_487.bin.77.fa,74.65,5.91,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.77.fa,3305541,6858
GTX0486_487.bin.8.fa,95.07,5.2,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.8.fa,5857757,26944
GTX0486_487.bin.83.fa,99.01,0.99,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.83.fa,3735026,146277
GTX0486_487.bin.86.fa,75.87,0.65,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.86.fa,2127297,51821
GTX0486_487.bin.90.fa,82.13,5.66,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.90.fa,4999668,15759
GTX0486_487.bin.92.fa,90.74,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.92.fa,3845965,32554
GTX0486_487.bin.96.fa,98.28,0.49,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.96.fa,5759775,211678
GTX0486_487.bin.99.fa,89.72,0.7,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.99.fa,4110715,29073
GTX0491.bin.12.fa,86.46,1.99,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.12.fa,4350099,12767
GTX0491.bin.21.fa,67.28,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.21.fa,3643798,6526
GTX0491.bin.23.fa,83.55,0.23,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.23.fa,2431924,73330
GTX0491.bin.24.fa,94.83,9.09,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.24.fa,4535337,30142
GTX0491.bin.29.fa,79.84,2.31,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.29.fa,3650445,24287
GTX0491.bin.31.fa,97.14,1.74,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.31.fa,5808279,54248
GTX0491.bin.35.fa,51.41,0.2,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.35.fa,2240142,4448
GTX0491.bin.36.fa,97.44,5.98,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.36.fa,5799771,106754
GTX0491.bin.37.fa,63.1,3.45,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.37.fa,4722732,15677
GTX0491.bin.39.fa,93.19,3.29,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.39.fa,4928022,10443
GTX0491.bin.40.fa,94.94,6.05,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.40.fa,3704303,20668
GTX0491.bin.7.fa,92.6,1.93,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.7.fa,3960916,13402
GTX0491.bin.9.fa,61.03,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.9.fa,2513133,369193
GTX0481.bin.10.fa,54.1,1.85,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.10.fa,2673519,5010
GTX0481.bin.2.fa,78.02,1.84,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.2.fa,2398169,12393
GTX0481.bin.20.fa,89.71,4.32,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.20.fa,3003946,33688
GTX0481.bin.25.fa,88.99,5.22,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.25.fa,6535710,13843
GTX0481.bin.28.fa,67.14,2.89,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.28.fa,3016964,4574
GTX0481.bin.29.fa,86.02,2.16,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.29.fa,3114178,11320
GTX0481.bin.3.fa,77.32,6.28,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.3.fa,2463824,5351
GTX0481.bin.6.fa,98.03,0.74,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.6.fa,5008159,51576
GTX0481.bin.8.fa,97.22,3.16,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.8.fa,2865203,29574
GTX0481.bin.9.fa,90.12,3.6,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.9.fa,3425441,19563
GTX0493.bin.10.fa,92.64,2.99,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.10.fa,5657879,53752
GTX0493.bin.13.fa,75.63,4.29,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.13.fa,2511472,8583
GTX0493.bin.14.fa,95.38,5.08,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.14.fa,2872172,35259
GTX0493.bin.18.fa,88.91,2.24,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.18.fa,2669031,29742
GTX0493.bin.21.fa,58.62,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.21.fa,4107890,8216
GTX0493.bin.22.fa,96.47,3.44,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.22.fa,4841107,79142
GTX0493.bin.27.fa,52.18,0.86,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.27.fa,2262470,14624
GTX0493.bin.34.fa,69.07,6.87,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.34.fa,2626498,6000
GTX0493.bin.7.fa,97.15,2.59,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.7.fa,3686066,291182
GTX0494.bin.10.fa,82.71,4.9,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.10.fa,3558175,8270
GTX0494.bin.17.fa,61.39,3.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.17.fa,2348915,7516
GTX0494.bin.20.fa,60.82,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.20.fa,2751706,274058
GTX0494.bin.21.fa,83.9,4.08,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.21.fa,4460832,8977
GTX0494.bin.29.fa,88.96,5.04,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.29.fa,2773356,24404
GTX0494.bin.3.fa,51.72,1.72,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.3.fa,2027173,1264821
GTX0494.bin.9.fa,76.62,2.49,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.9.fa,5583363,24173
