genome,cluster,score
GTX0494.bin.21.fa,35_2,65.47656561259173
GTX0493.bin.21.fa,35_3,60.57733021529461
GTX0465.bin.32.fa,35_4,65.09452677879632
GTX0484.bin.11.fa,35_5,62.212412569202506
GTX0468.bin.68.fa,36_0,67.73933490051134
GTX0486_487.bin.90.fa,37_0,55.928764327761385
GTX0468.bin.26.fa,38_0,82.85493781685608
GTX0486_487.bin.54.fa,39_0,58.606906391782346
GTX0468.bin.9.fa,40_0,80.45187030942894
GTX0486_487.bin.92.fa,41_0,92.9963021795734
GTX0486_487.bin.74.fa,42_1,95.2862625360561
GTX0491.bin.21.fa,42_2,69.18732353472593
GTX0468.bin.60.fa,43_1,94.88225607135648
GTX0491.bin.29.fa,43_2,70.48268693640813
GTX0486_487.bin.57.fa,43_3,40.80424505258562
GTX0486_487.bin.5.fa,44_0,51.70309167278382
GTX0486_487.bin.50.fa,45_0,56.76018781570508
GTX0466.bin.9.fa,46_0,95.59670941290494
GTX0486_487.bin.99.fa,47_0,88.45174492414496
GTX0466.bin.25.fa,48_0,66.35565667225192
GTX0466.bin.47.fa,49_0,61.270045033952464
GTX0468.bin.30.fa,50_0,69.39903973808552
GTX0468.bin.50.fa,51_1,88.24524569514699
GTX0486_487.bin.33.fa,51_2,81.98383936996846
GTX0466.bin.69.fa,52_0,67.6637835813688
GTX0468.bin.65.fa,53_0,94.13049708462727
GTX0466.bin.23.fa,54_0,26.622317751884072
GTX0466.bin.82.fa,55_0,37.36903943096873
GTX0481.bin.8.fa,56_1,83.65545503426918
GTX0486_487.bin.103.fa,57_1,72.92005572981189
GTX0486_487.bin.70.fa,57_2,50.60816784297695
GTX0468.bin.45.fa,58_1,80.9237214213882
GTX0484.bin.17.fa,59_0,48.942870869301125
GTX0484.bin.1.fa,60_1,53.806249888769166
GTX0484.bin.28.fa,60_2,89.16553991096295
GTX0468.bin.49.fa,61_1,83.0739462143471
GTX0465.bin.17.fa,62_0,54.94779387345937
GTX0468.bin.43.fa,63_1,66.87600207312171
GTX0491.bin.40.fa,63_2,66.84764922643681
GTX0466.bin.53.fa,64_0,88.3414712581765
GTX0486_487.bin.8.fa,65_0,71.28523103490977
GTX0466.bin.81.fa,66_1,63.515840188263944
GTX0491.bin.37.fa,66_2,47.94763147917103
GTX0468.bin.79.fa,66_3,67.11942505322902
GTX0468.bin.7.fa,67_1,74.4693753815974
GTX0491.bin.24.fa,68_0,51.61958603275086
GTX0466.bin.2.fa,69_0,52.330550014988155
GTX0484.bin.26.fa,70_0,85.69946821165054
GTX0466.bin.86.fa,71_0,55.71217890211321
GTX0468.bin.44.fa,72_0,89.96812986213324
GTX0486_487.bin.61.fa,73_0,80.14447033068855
GTX0486_487.bin.77.fa,74_0,47.01809874038947
GTX0484.bin.21.fa,75_0,67.04881573359528
GTX0486_487.bin.48.fa,76_0,83.82778475106375
GTX0484.bin.22.fa,77_1,88.39200496620612
GTX0466.bin.74.fa,78_1,96.09153673447544
GTX0468.bin.25.fa,78_2,61.23393588265312
GTX0466.bin.67.fa,79_0,61.448716572055694
GTX0486_487.bin.30.fa,80_1,74.03565872116201
GTX0491.bin.12.fa,80_2,78.56304442919121
GTX0468.bin.76.fa,81_0,73.14293181425188
GTX0491.bin.35.fa,82_0,52.234082389286996
GTX0491.bin.31.fa,83_1,90.80719186568447
GTX0466.bin.71.fa,83_2,50.695601762725374
GTX0465.bin.6.fa,84_1,82.62463589582086
GTX0468.bin.3.fa,84_2,88.66498525835468
GTX0481.bin.25.fa,85_1,64.96061510944828
GTX0494.bin.20.fa,85_2,63.53892124202029
GTX0493.bin.10.fa,85_3,80.05519731404084
GTX0493.bin.22.fa,86_0,81.71920351056917
GTX0466.bin.22.fa,87_1,52.10758852990735
GTX0484.bin.14.fa,87_2,47.187356643486815
GTX0491.bin.23.fa,88_1,84.8326408424978
GTX0494.bin.10.fa,88_2,60.168752754776264
GTX0481.bin.2.fa,89_1,70.86658822484812
GTX0493.bin.18.fa,89_2,79.94668508464439
GTX0468.bin.12.fa,90_1,46.71642973758117
GTX0484.bin.4.fa,91_1,57.64237781105431
GTX0465.bin.15.fa,91_2,19.838238091013853
GTX0468.bin.59.fa,91_3,63.89590827065154
GTX0468.bin.22.fa,91_4,60.57186536368417
GTX0468.bin.80.fa,91_5,56.71772895034469
GTX0481.bin.20.fa,91_6,70.37373761420609
GTX0494.bin.29.fa,92_1,65.95373050816016
GTX0493.bin.14.fa,92_2,72.25363499543597
GTX0493.bin.34.fa,93_1,36.609075625191814
GTX0494.bin.9.fa,93_2,66.36166527602292
GTX0466.bin.44.fa,94_0,90.6682741081862
GTX0468.bin.37.fa,95_0,65.53937178871001
GTX0486_487.bin.22.fa,96_0,68.029701362961
GTX0465.bin.18.fa,97_0,65.5757289353445
GTX0466.bin.27.fa,98_0,57.261162809333904
GTX0466.bin.79.fa,99_0,65.21466169669051
GTX0468.bin.62.fa,100_0,79.72918055433578
GTX0484.bin.12.fa,101_0,54.583090063066564
