genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
GTX0491.bin.37.fa,47.94763147917103,NA,NA,NA,NA,NA,66_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.79.fa,67.11942505322902,NA,NA,NA,NA,NA,66_3,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.7.fa,74.4693753815974,NA,NA,NA,NA,NA,67_1,NA,NA,2,97.90,97.90,NA,NA
GTX0491.bin.24.fa,51.61958603275087,NA,NA,NA,NA,NA,68_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.2.fa,52.330550014988155,NA,NA,NA,NA,NA,69_0,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.26.fa,85.69946821165054,NA,NA,NA,NA,NA,70_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.86.fa,55.71217890211321,NA,NA,NA,NA,NA,71_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.44.fa,89.96812986213324,NA,NA,NA,NA,NA,72_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.61.fa,80.14447033068855,NA,NA,NA,NA,NA,73_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.77.fa,47.01809874038947,NA,NA,NA,NA,NA,74_0,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.21.fa,67.04881573359529,NA,NA,NA,NA,NA,75_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.48.fa,83.82778475106375,NA,NA,NA,NA,NA,76_0,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.22.fa,88.39200496620613,NA,NA,NA,NA,NA,77_1,NA,NA,5,99.56,99.28,NA,NA
GTX0466.bin.74.fa,96.09153673447544,NA,NA,NA,NA,NA,78_1,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.25.fa,61.23393588265312,NA,NA,NA,NA,NA,78_2,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.67.fa,61.4487165720557,NA,NA,NA,NA,NA,79_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.30.fa,74.03565872116201,NA,NA,NA,NA,NA,80_1,NA,NA,1,NA,NA,NA,NA
GTX0491.bin.12.fa,78.56304442919121,NA,NA,NA,NA,NA,80_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.76.fa,73.14293181425187,NA,NA,NA,NA,NA,81_0,NA,NA,1,NA,NA,NA,NA
GTX0491.bin.35.fa,52.234082389287,NA,NA,NA,NA,NA,82_0,NA,NA,1,NA,NA,NA,NA
GTX0491.bin.31.fa,90.80719186568449,NA,NA,NA,NA,NA,83_1,NA,NA,3,96.50,94.90,NA,NA
GTX0466.bin.71.fa,50.69560176272538,NA,NA,NA,NA,NA,83_2,NA,NA,1,NA,NA,NA,NA
GTX0465.bin.6.fa,82.62463589582086,NA,NA,NA,NA,NA,84_1,NA,NA,2,98.97,98.97,NA,NA
GTX0468.bin.3.fa,88.66498525835468,NA,NA,NA,NA,NA,84_2,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.25.fa,64.96061510944828,NA,NA,NA,NA,NA,85_1,NA,NA,1,NA,NA,NA,NA
GTX0494.bin.20.fa,63.538921242020294,NA,NA,NA,NA,NA,85_2,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.10.fa,80.05519731404084,NA,NA,NA,NA,NA,85_3,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.22.fa,81.71920351056917,NA,NA,NA,NA,NA,86_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.22.fa,52.10758852990735,NA,NA,NA,NA,NA,87_1,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.14.fa,47.18735664348682,NA,NA,NA,NA,NA,87_2,NA,NA,1,NA,NA,NA,NA
GTX0491.bin.23.fa,84.8326408424978,NA,NA,NA,NA,NA,88_1,NA,NA,3,99.49,99.35,NA,NA
GTX0494.bin.10.fa,60.16875275477626,NA,NA,NA,NA,NA,88_2,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.2.fa,70.86658822484813,NA,NA,NA,NA,NA,89_1,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.18.fa,79.9466850846444,NA,NA,NA,NA,NA,89_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.12.fa,46.716429737581166,NA,NA,NA,NA,NA,90_1,NA,NA,2,99.12,99.12,NA,NA
GTX0484.bin.4.fa,57.64237781105432,NA,NA,NA,NA,NA,91_1,NA,NA,2,97.74,97.74,NA,NA
GTX0465.bin.15.fa,19.838238091013853,NA,NA,NA,NA,NA,91_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.59.fa,63.89590827065154,NA,NA,NA,NA,NA,91_3,NA,NA,2,97.18,97.18,NA,NA
GTX0468.bin.22.fa,60.57186536368417,NA,NA,NA,NA,NA,91_4,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.80.fa,56.717728950344686,NA,NA,NA,NA,NA,91_5,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.20.fa,70.37373761420609,NA,NA,NA,NA,NA,91_6,NA,NA,1,NA,NA,NA,NA
GTX0494.bin.29.fa,65.95373050816015,NA,NA,NA,NA,NA,92_1,NA,NA,3,98.64,98.63,NA,NA
GTX0493.bin.14.fa,72.25363499543597,NA,NA,NA,NA,NA,92_2,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.34.fa,36.609075625191814,NA,NA,NA,NA,NA,93_1,NA,NA,1,NA,NA,NA,NA
GTX0494.bin.9.fa,66.36166527602292,NA,NA,NA,NA,NA,93_2,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.44.fa,90.66827410818621,NA,NA,NA,NA,NA,94_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.37.fa,65.53937178871001,NA,NA,NA,NA,NA,95_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.22.fa,68.02970136296099,NA,NA,NA,NA,NA,96_0,NA,NA,1,NA,NA,NA,NA
GTX0465.bin.18.fa,65.5757289353445,NA,NA,NA,NA,NA,97_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.27.fa,57.2611628093339,NA,NA,NA,NA,NA,98_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.79.fa,65.21466169669051,NA,NA,NA,NA,NA,99_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.62.fa,79.72918055433578,NA,NA,NA,NA,NA,100_0,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.12.fa,54.58309006306656,NA,NA,NA,NA,NA,101_0,NA,NA,1,NA,NA,NA,NA
