genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GTX0468.bin.53.fa,24_2,0.050000000000000044,average,ANImf,24
GTX0465.bin.1.fa,24_3,0.050000000000000044,average,ANImf,24
GTX0466.bin.21.fa,24_3,0.050000000000000044,average,ANImf,24
GTX0466.merged.0.fa,24_3,0.050000000000000044,average,ANImf,24
GTX0491.bin.33.fa,24_4,0.050000000000000044,average,ANImf,24
GTX0481.bin.29.fa,25_1,0.050000000000000044,average,ANImf,25
GTX0493.bin.7.fa,25_1,0.050000000000000044,average,ANImf,25
GTX0494.bin.3.fa,25_1,0.050000000000000044,average,ANImf,25
GTX0466.bin.4.fa,26_0,0.050000000000000044,average,ANImf,26
GTX0466.bin.52.fa,27_1,0.050000000000000044,average,ANImf,27
GTX0468.bin.72.fa,27_1,0.050000000000000044,average,ANImf,27
GTX0466.bin.55.fa,27_2,0.050000000000000044,average,ANImf,27
GTX0466.bin.6.fa,28_0,0.050000000000000044,average,ANImf,28
GTX0468.bin.4.fa,29_1,0.050000000000000044,average,ANImf,29
GTX0491.bin.36.fa,29_1,0.050000000000000044,average,ANImf,29
GTX0468.bin.17.fa,29_2,0.050000000000000044,average,ANImf,29
GTX0468.bin.1.fa,30_0,0.050000000000000044,average,ANImf,30
GTX0466.bin.7.fa,31_1,0.050000000000000044,average,ANImf,31
GTX0493.bin.27.fa,31_2,0.050000000000000044,average,ANImf,31
GTX0481.bin.10.fa,31_3,0.050000000000000044,average,ANImf,31
GTX0468.bin.6.fa,32_0,0.050000000000000044,average,ANImf,32
GTX0481.bin.28.fa,33_0,0.050000000000000044,average,ANImf,33
GTX0468.bin.14.fa,34_1,0.050000000000000044,average,ANImf,34
GTX0486_487.bin.1.fa,34_2,0.050000000000000044,average,ANImf,34
GTX0468.bin.19.fa,35_1,0.050000000000000044,average,ANImf,35
GTX0486_487.bin.73.fa,35_1,0.050000000000000044,average,ANImf,35
GTX0491.bin.7.fa,35_1,0.050000000000000044,average,ANImf,35
GTX0494.bin.21.fa,35_2,0.050000000000000044,average,ANImf,35
GTX0493.bin.21.fa,35_3,0.050000000000000044,average,ANImf,35
GTX0465.bin.32.fa,35_4,0.050000000000000044,average,ANImf,35
GTX0484.bin.11.fa,35_5,0.050000000000000044,average,ANImf,35
GTX0468.bin.68.fa,36_0,0.050000000000000044,average,ANImf,36
GTX0486_487.bin.90.fa,37_0,0.050000000000000044,average,ANImf,37
GTX0468.bin.26.fa,38_0,0.050000000000000044,average,ANImf,38
GTX0486_487.bin.54.fa,39_0,0.050000000000000044,average,ANImf,39
GTX0468.bin.9.fa,40_0,0.050000000000000044,average,ANImf,40
GTX0486_487.bin.92.fa,41_0,0.050000000000000044,average,ANImf,41
GTX0468.bin.35.fa,42_1,0.050000000000000044,average,ANImf,42
GTX0486_487.bin.74.fa,42_1,0.050000000000000044,average,ANImf,42
GTX0491.bin.21.fa,42_2,0.050000000000000044,average,ANImf,42
GTX0468.bin.60.fa,43_1,0.050000000000000044,average,ANImf,43
GTX0491.bin.29.fa,43_2,0.050000000000000044,average,ANImf,43
GTX0486_487.bin.57.fa,43_3,0.050000000000000044,average,ANImf,43
GTX0486_487.bin.5.fa,44_0,0.050000000000000044,average,ANImf,44
GTX0486_487.bin.50.fa,45_0,0.050000000000000044,average,ANImf,45
GTX0466.bin.9.fa,46_0,0.050000000000000044,average,ANImf,46
GTX0486_487.bin.99.fa,47_0,0.050000000000000044,average,ANImf,47
GTX0466.bin.25.fa,48_0,0.050000000000000044,average,ANImf,48
GTX0466.bin.47.fa,49_0,0.050000000000000044,average,ANImf,49
GTX0468.bin.30.fa,50_0,0.050000000000000044,average,ANImf,50
GTX0468.bin.50.fa,51_1,0.050000000000000044,average,ANImf,51
GTX0486_487.bin.33.fa,51_2,0.050000000000000044,average,ANImf,51
GTX0466.bin.69.fa,52_0,0.050000000000000044,average,ANImf,52
GTX0468.bin.65.fa,53_0,0.050000000000000044,average,ANImf,53
GTX0466.bin.23.fa,54_0,0.050000000000000044,average,ANImf,54
GTX0466.bin.82.fa,55_0,0.050000000000000044,average,ANImf,55
GTX0465.bin.25.fa,56_1,0.050000000000000044,average,ANImf,56
GTX0466.bin.89.fa,56_1,0.050000000000000044,average,ANImf,56
GTX0481.bin.8.fa,56_1,0.050000000000000044,average,ANImf,56
GTX0468.bin.34.fa,57_1,0.050000000000000044,average,ANImf,57
GTX0486_487.bin.103.fa,57_1,0.050000000000000044,average,ANImf,57
GTX0486_487.bin.70.fa,57_2,0.050000000000000044,average,ANImf,57
GTX0468.bin.45.fa,58_1,0.050000000000000044,average,ANImf,58
GTX0486_487.bin.40.fa,58_1,0.050000000000000044,average,ANImf,58
GTX0484.bin.17.fa,59_0,0.050000000000000044,average,ANImf,59
GTX0484.bin.1.fa,60_1,0.050000000000000044,average,ANImf,60
GTX0484.bin.28.fa,60_2,0.050000000000000044,average,ANImf,60
GTX0468.bin.49.fa,61_1,0.050000000000000044,average,ANImf,61
GTX0486_487.bin.36.fa,61_1,0.050000000000000044,average,ANImf,61
GTX0465.bin.17.fa,62_0,0.050000000000000044,average,ANImf,62
GTX0468.bin.43.fa,63_1,0.050000000000000044,average,ANImf,63
GTX0491.bin.40.fa,63_2,0.050000000000000044,average,ANImf,63
GTX0466.bin.53.fa,64_0,0.050000000000000044,average,ANImf,64
GTX0486_487.bin.8.fa,65_0,0.050000000000000044,average,ANImf,65
GTX0466.bin.81.fa,66_1,0.050000000000000044,average,ANImf,66
GTX0491.bin.37.fa,66_2,0.050000000000000044,average,ANImf,66
GTX0468.bin.79.fa,66_3,0.050000000000000044,average,ANImf,66
GTX0468.bin.7.fa,67_1,0.050000000000000044,average,ANImf,67
GTX0486_487.bin.47.fa,67_1,0.050000000000000044,average,ANImf,67
GTX0491.bin.24.fa,68_0,0.050000000000000044,average,ANImf,68
GTX0466.bin.2.fa,69_0,0.050000000000000044,average,ANImf,69
GTX0484.bin.26.fa,70_0,0.050000000000000044,average,ANImf,70
GTX0466.bin.86.fa,71_0,0.050000000000000044,average,ANImf,71
GTX0468.bin.44.fa,72_0,0.050000000000000044,average,ANImf,72
GTX0486_487.bin.61.fa,73_0,0.050000000000000044,average,ANImf,73
GTX0486_487.bin.77.fa,74_0,0.050000000000000044,average,ANImf,74
GTX0484.bin.21.fa,75_0,0.050000000000000044,average,ANImf,75
GTX0486_487.bin.48.fa,76_0,0.050000000000000044,average,ANImf,76
GTX0465.bin.23.fa,77_1,0.050000000000000044,average,ANImf,77
GTX0466.bin.45.fa,77_1,0.050000000000000044,average,ANImf,77
GTX0484.bin.22.fa,77_1,0.050000000000000044,average,ANImf,77
GTX0486_487.bin.26.fa,77_1,0.050000000000000044,average,ANImf,77
GTX0491.bin.39.fa,77_1,0.050000000000000044,average,ANImf,77
GTX0466.bin.74.fa,78_1,0.050000000000000044,average,ANImf,78
GTX0468.bin.25.fa,78_2,0.050000000000000044,average,ANImf,78
GTX0466.bin.67.fa,79_0,0.050000000000000044,average,ANImf,79
GTX0486_487.bin.30.fa,80_1,0.050000000000000044,average,ANImf,80
GTX0491.bin.12.fa,80_2,0.050000000000000044,average,ANImf,80
GTX0468.bin.76.fa,81_0,0.050000000000000044,average,ANImf,81
GTX0491.bin.35.fa,82_0,0.050000000000000044,average,ANImf,82
GTX0468.bin.46.fa,83_1,0.050000000000000044,average,ANImf,83
GTX0486_487.bin.49.fa,83_1,0.050000000000000044,average,ANImf,83
GTX0491.bin.31.fa,83_1,0.050000000000000044,average,ANImf,83
GTX0466.bin.71.fa,83_2,0.050000000000000044,average,ANImf,83
GTX0465.bin.6.fa,84_1,0.050000000000000044,average,ANImf,84
GTX0466.bin.84.fa,84_1,0.050000000000000044,average,ANImf,84
GTX0468.bin.3.fa,84_2,0.050000000000000044,average,ANImf,84
GTX0481.bin.25.fa,85_1,0.050000000000000044,average,ANImf,85
GTX0494.bin.20.fa,85_2,0.050000000000000044,average,ANImf,85
GTX0493.bin.10.fa,85_3,0.050000000000000044,average,ANImf,85
GTX0493.bin.22.fa,86_0,0.050000000000000044,average,ANImf,86
GTX0466.bin.22.fa,87_1,0.050000000000000044,average,ANImf,87
GTX0484.bin.14.fa,87_2,0.050000000000000044,average,ANImf,87
GTX0468.bin.70.fa,88_1,0.050000000000000044,average,ANImf,88
GTX0486_487.bin.86.fa,88_1,0.050000000000000044,average,ANImf,88
GTX0491.bin.23.fa,88_1,0.050000000000000044,average,ANImf,88
GTX0494.bin.10.fa,88_2,0.050000000000000044,average,ANImf,88
GTX0481.bin.2.fa,89_1,0.050000000000000044,average,ANImf,89
GTX0493.bin.18.fa,89_2,0.050000000000000044,average,ANImf,89
GTX0468.bin.12.fa,90_1,0.050000000000000044,average,ANImf,90
GTX0486_487.bin.69.fa,90_1,0.050000000000000044,average,ANImf,90
GTX0484.bin.4.fa,91_1,0.050000000000000044,average,ANImf,91
GTX0494.bin.17.fa,91_1,0.050000000000000044,average,ANImf,91
GTX0465.bin.15.fa,91_2,0.050000000000000044,average,ANImf,91
GTX0465.bin.10.fa,91_3,0.050000000000000044,average,ANImf,91
GTX0468.bin.59.fa,91_3,0.050000000000000044,average,ANImf,91
GTX0468.bin.22.fa,91_4,0.050000000000000044,average,ANImf,91
GTX0468.bin.80.fa,91_5,0.050000000000000044,average,ANImf,91
GTX0481.bin.20.fa,91_6,0.050000000000000044,average,ANImf,91
GTX0481.bin.3.fa,92_1,0.050000000000000044,average,ANImf,92
GTX0493.bin.13.fa,92_1,0.050000000000000044,average,ANImf,92
GTX0494.bin.29.fa,92_1,0.050000000000000044,average,ANImf,92
GTX0493.bin.14.fa,92_2,0.050000000000000044,average,ANImf,92
GTX0493.bin.34.fa,93_1,0.050000000000000044,average,ANImf,93
GTX0494.bin.9.fa,93_2,0.050000000000000044,average,ANImf,93
GTX0466.bin.44.fa,94_0,0.050000000000000044,average,ANImf,94
GTX0468.bin.37.fa,95_0,0.050000000000000044,average,ANImf,95
GTX0486_487.bin.22.fa,96_0,0.050000000000000044,average,ANImf,96
GTX0465.bin.18.fa,97_0,0.050000000000000044,average,ANImf,97
GTX0466.bin.27.fa,98_0,0.050000000000000044,average,ANImf,98
GTX0466.bin.79.fa,99_0,0.050000000000000044,average,ANImf,99
GTX0468.bin.62.fa,100_0,0.050000000000000044,average,ANImf,100
GTX0484.bin.12.fa,101_0,0.050000000000000044,average,ANImf,101
